date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-03-09,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,5.0,Red Point,wall-island,394.7,
2020-03-09,Lime Green,5.10a,6db84815dd0ddb03bb661f42c4bfca41,5.0,Red Point,wall-red,24.0,
2020-03-09,Tan,5.9,8a6028040f0125396cee9f8d3d5c25ea,,Attempt,wall-back-wall,322.3,
2020-03-09,Blue,5.10c,1f28af14dc81f93083720236797340dd,5.0,Attempt,wall-back-wall,588.1,
2020-03-04,Grey,5.9,a681f7f13982adc21a3eaaf509c504ac,,Onsight,wall-auto-belay,340.4,
2020-03-04,Red,5.10c,f2eb3aa854b39dfd914b364e8de3ce25,5.0,Onsight,wall-auto-belay,173.7,clipping short rope
2020-03-04,Purple,5.10a,24d62bc6af306d6953b346f8c7e568de,4.0,Attempt,wall-auto-belay,496.8,
2020-03-04,Lime Green,5.6,f4bbc735651e7ef9d2853424e3216037,5.0,Onsight,wall-auto-belay,343.2,
2020-03-04,Purple,5.9,e280d846eb5e31f55e1fcac12bc07cf4,,Red Point,wall-auto-belay,389.2,
2020-03-04,Pink,5.8,e4574f248eadd10bb87057c63b009400,5.0,Onsight,wall-auto-belay,364.2,
2020-03-04,Grey,5.8,c9182c1e94a2fc1ea631de561b77c066,,Onsight,wall-auto-belay,271.8,
2020-03-04,White,5.7,f9897b7c38dfe55cae6bd3abc44b9ac7,5.0,Onsight,wall-auto-belay,391.8,
