date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-30,Black,V6,4e5b72f1b146d10345742335fdcbaad1,3.0,Red Point,wall-boulders,359.0,
2018-10-29,Pink,V6,9db08ad58ea513ce9e42c4fa83dddddc,5.0,Flash,wall-boulders,288.8,
2018-10-29,Tan,V3,861f81704443686908e0e70e996bb6bf,4.0,Flash,wall-boulders,288.8,
2018-10-28,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,3.0,Red Point,wall-mezzanine,39.7,
2018-10-28,Purple Left,V2,195e8ab11ac32e8685a1c6077ae92c7a,3.0,Flash,wall-mezzanine,39.7,
2018-10-28,Red,V6,61b6113cb54a945e33aa2124a834c852,4.0,Red Point,wall-mezzanine,39.7,
2018-10-28,White,V4,b8563ce60721482eac25e8549af45463,3.0,Flash,wall-mezzanine,39.7,
2018-10-28,Black,V3,ef15d19a171d6eb85a943dff7ac6ca4a,3.0,Flash,wall-mezzanine,39.7,
2018-10-28,Blue,V6,57044903befa1711f20dc51d63dd960c,4.0,Red Point,wall-mezzanine,39.7,
2018-10-28,Yellow,V4,e037bc9ff8c5848b6ddb4289b305bc62,3.0,Flash,wall-mezzanine,39.7,
2018-10-28,Tan Left,V4,0f17b8250a24235bda022c123d1db8e4,3.0,Flash,wall-mezzanine,114.6,
2018-10-28,Blue,V7,180644413678ad591427360704165e94,3.0,Red Point,wall-mezzanine,114.6,
2018-10-28,Yellow,V5,6baead809775717e19b32c313350c750,3.0,Flash,wall-mezzanine,114.6,
2018-10-28,Pink,V5,faf2416774571d386d27c15a0c16e03c,3.0,Flash,wall-mezzanine,114.6,
2018-10-23,Tan,V8,04520fa710054d5441ae5b1c1d9f5dbf,5.0,Red Point,wall-boulders,505.7,
2018-10-23,Tan,V6,4c3c3a145496d1f000829503177039e7,4.0,Red Point,wall-boulders,581.0,
2018-10-23,Yellow,V5,d9d26ab70e15ce273b687c6655f0d268,3.0,Red Point,wall-boulders,423.0,
2018-10-23,Purple,V4,679ab6d58d75f6abd766dc821bab5cc5,3.0,Red Point,wall-boulders,793.8,
2018-10-23,Purple,V4,679ab6d58d75f6abd766dc821bab5cc5,3.0,Attempt,wall-boulders,793.8,
2018-10-23,White,V7,14fb1c9b84be9f48a28108c3fb4e9170,3.0,Red Point,wall-boulders,423.0,
2018-10-23,Blue,V7,180644413678ad591427360704165e94,3.0,Red Point,wall-mezzanine,114.6,
2018-10-19,Lime Green,V5,56518e49f21d877d83646b3f5528958b,3.0,Red Point,wall-boulders,505.7,
2018-10-09,White,V5,e0c9f11309f3689c1773ffa6ea3b0f8a,3.0,Red Point,wall-boulders,288.8,
2018-10-06,Yellow Left,V8,9f6abd3abf98e3607d5dd25a20422ac0,5.0,Red Point,wall-boulders,288.8,
