date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-17,Red,5.10b,95c980c51e68ab5e2c4d63a6f2ddefa1,5.0,Red Point,wall-back-wall,70.1,
2018-12-17,Yellow,5.9,4e5120265bc3314c7ce2056e3091ad7f,4.0,Onsight,wall-back-wall,221.1,
2018-12-17,Pink,5.8,7a46c58c28227618f827b678a1b3800f,4.0,Onsight,wall-back-wall,243.4,
2018-12-17,Yellow,5.10a,75ec87eade17a7f370f0be0750fc0a28,5.0,Red Point,wall-back-wall,251.9,
2018-12-11,White,5.9,6c34234082e5c83fc634e50dfb4b42e6,5.0,Onsight,wall-back-wall,16.3,
2018-12-11,Blue,5.10c,d7d5d958546aae0bcdb3c1bd1fa8088a,5.0,Red Point,wall-back-wall,17.1,
2018-12-11,Black,5.8,fcaf18c31fab6f55f07c1952f6db8235,4.0,Onsight,wall-back-wall,57.6,
2018-12-11,Lime Green,5.9,08786b72a79c8dd0e5976e4675c32c9f,5.0,Onsight,wall-back-wall,124.1,
2018-12-11,Tan,5.10c,8a2fb52a9a990a3b5188f14e4392cec5,5.0,Red Point,wall-back-wall,140.8,
2018-12-10,Tan,5.8,174398aeb4e67bd420703bad0f5fbf7d,4.0,Onsight,wall-back-wall,-1.5,
2018-12-10,Purple,5.9,89ab5991ceea5ba1e4e60fdd60926fa1,4.0,Onsight,wall-back-wall,-0.7,
2018-12-02,Yellow,5.10d,d5fb9572ffda5563dbc3adcfb05d026b,4.0,Red Point,wall-red,109.7,
2018-12-02,Blue,5.10a,cb81eb3f4bf56910ce09264355401b25,4.0,Flash,wall-back-wall,895.6,
2018-12-02,White,5.10c,18941b85269715b6f002e9830b5826a2,5.0,Onsight,wall-back-wall,921.4,
2018-12-02,Yellow,5.10b,2540fc03ff9c844ed187988efa0b9bfe,4.0,Red Point,wall-back-wall,1019.6,
2018-12-02,Red,5.10b,ce3ce496cc495e497fa5d14014e82bed,4.0,Red Point,wall-back-wall,1140.9,
2018-12-02,White,V5,d24ea5404ba33740217ab6c9aac2a1c0,5.0,Red Point,wall-slab,118.8,
2018-12-02,Tan,V3,b43a4ecee61cff5dda0e20db3b881096,5.0,Flash,wall-slab,118.8,
2018-12-02,Yellow,V4,0d3c8f669936e0b1cef22ea7651c3db6,4.0,Red Point,wall-boulders,736.4,
