date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-05-27,Blue,5.10a,a9076480df72c9ccbf5847d084b4d7d6,3.0,Onsight,wall-back-wall,743.3,
2019-05-27,Lime Green,5.12b,8cf706ebdc9ec659c321ddbd422f77cf,3.0,Onsight,wall-back-wall,895.6,
2019-05-27,Blue,5.10c,8d6b9110b15faedfad23b5633e832ed2,3.0,Onsight,wall-island,59.4,
2019-05-23,Lime Green,5.8,d32ae27ec09dccc77fa96ae5257fb879,3.0,Onsight,wall-back-wall,684.0,
2019-05-23,Purple,5.10b,f8bef2e33f6ad6355371b32edac9e7e5,3.0,Top Rope,wall-island,469.1,
2019-05-23,Black,5.10b,9afc1b1af77ceff0009d5b46b3a4556e,3.0,Onsight,wall-island,420.7,
2019-05-23,Lime Green,5.10d,9ae60e10af94ed54932f6d01b9df6678,3.0,Top Rope,wall-island,445.8,
2019-05-23,Red,V3,ee0e71d3b3faba9cd923da0eb4ed08df,3.0,Flash,wall-boulders,736.4,
2019-05-23,Tan,V1,3d710e451111716838acc48b4f5dc2da,3.0,Flash,wall-boulders,736.4,
2019-05-23,Yellow,V2,59e942beb3cb3e253945f18761e85cc2,3.0,Flash,wall-boulders,667.3,
2019-05-23,Black,5.10c,7b75ca6b1e359569248b64e82260e529,3.0,Flash,wall-back-wall,388.4,
2019-05-02,Tan,5.8,1b6110df173f2b24740cb069abf63c90,3.0,Onsight,wall-back-wall,945.1,
2019-05-02,Blue,V1,e09367d92ec3c8b8725c9f745aabb725,3.0,Flash,wall-slab,118.8,
