date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-31,White,5.10b,f381f8b579a5d66a67e333eed2c61a48,,Onsight,wall-island,590.5,
2020-01-31,Red,5.11a,11165d2de5cf6d3716df16d9755b2521,1.0,Onsight,wall-island,560.7,Wow that was awkward
2020-01-31,Blue,5.12a,662964a74003607f9c81c8d0930df6e5,,Onsight,wall-island,43.2,
2020-01-31,Purple,V6,68633f2098e41c7649ef90e4138b2115,5.0,Red Point,wall-mezzanine,39.7,"Finally was able to finish this thanks to Boris A's beta. I'm surprised by how hard the finishing beta is to figure out. This took me the longest on the set to finish. It's not physically harder than the rest, but much more challenging to unlock. Frustratingly well set. "
2020-01-29,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,,Onsight,wall-back-wall,70.9,
2020-01-29,Blue,5.10b,d1844ed942e833379c235383892197b7,,Onsight,wall-island,395.6,
2020-01-29,Purple,5.10d,8f4283e1e07bd9e600998014212bf639,,Onsight,wall-back-wall,124.1,
2020-01-29,Pink,5.11a,dbae47dc44da90e1389276778d9cdc89,,Onsight,wall-back-wall,628.3,
2020-01-29,Yellow,5.11d,ccda101f3b8737bb08bc47dd8b33b46d,4.0,Red Point,wall-red,261.8,
2020-01-29,Black,V0,289f13c1fad993636aa750a046134026,,Flash,wall-mezzanine,39.7,
2020-01-29,Lime Green,V1,a488a6fe1a733e451898ad335d13d216,,Flash,wall-mezzanine,39.7,
2020-01-29,Yellow,V3,6ab38b6e926c4f6a05c634847a3d59f2,,Flash,wall-mezzanine,39.7,
2020-01-29,Blue,V8,7bffa224073ea51037de9081e60a58f7,4.0,Red Point,wall-mezzanine,39.7,
2020-01-29,Tan,V4,869bc5cb7790360cfc736284f7cd7f6b,,Flash,wall-mezzanine,39.7,
2020-01-29,White,V2,a6832f00cfee2016daa46b26ce7e0b1a,,Flash,wall-mezzanine,39.7,
2020-01-29,Red,V2,e6b2f56a916388b74d02e04908a162fc,,Flash,wall-mezzanine,39.7,
2020-01-29,Yellow,V3,e7baec3392ef529bbc5a4a8edadac691,,Flash,wall-mezzanine,39.7,
2020-01-29,Black,V7,5fdfc37c4b802f5f059abd9a5aa2b1d7,5.0,Flash,wall-mezzanine,114.6,Fingery but solid
2020-01-29,Pink,V0,978a660473cb36223b2453d1800623cd,,Flash,wall-mezzanine,114.6,
2020-01-29,Pink,V5,5ebcde2841ed40034ec0bdfe0f96a9f5,5.0,Flash,wall-mezzanine,39.7,
2020-01-29,Lime Green,V5,e3bb1eb98f763513295475559cf650f7,4.0,Red Point,wall-mezzanine,114.6,
2020-01-29,White,V6,b6091f0aef659cc1b9562c4ff66f419c,3.0,Flash,wall-mezzanine,114.6,
2020-01-29,Blue,V5,a44ebf7fa6aa83d3202004edab015e6c,,Flash,wall-mezzanine,114.6,
2020-01-29,Yellow,V4,5d5f489e5bddf879d4632c3ce5d1e9f1,,Flash,wall-mezzanine,114.6,
2020-01-29,Tan,V5,71cc15c2a9a348ea7a4ac124e49decfd,,Flash,wall-mezzanine,114.6,
2020-01-29,Red,V4,e10a3455eebf7da9260427d3c6bfb2ff,,Flash,wall-mezzanine,114.6,
2020-01-29,Black,V1,00d5a16a93a1d4a569dc49cb4ac53816,,Flash,wall-mezzanine,114.6,
2020-01-29,White,V3,26f5811ddc1c846ae070f27b16433dba,,Flash,wall-mezzanine,114.6,
2020-01-26,Tan,5.8,a97bac0b9da6811daf7502198eca5b97,,Onsight,wall-red,175.1,
2020-01-26,Red,5.10a,78d421ed24e7aab1bd59d46244854a3a,,Onsight,wall-red,199.0,
2020-01-26,Pink,5.11a,9b9358492e49263ece80d3fe2e6cba56,,Onsight,wall-red,51.5,
2020-01-26,White,5.11b,228a0528463b222928086df0879bb63e,,Onsight,wall-red,231.5,
2020-01-26,Red,5.12a,33b193e9d3513c70bf9d68418fe5edd6,,Red Point,wall-red,110.4,
2020-01-26,Black,5.11c,047cf53843390ae50c5b711161ccb1ad,4.0,Onsight,wall-back-wall,335.5,
2020-01-24,Blue,V3,bfdda60d27aaa46264550cb3d337fbce,,Flash,wall-boulders,222.0,
2020-01-24,Black,V4,00cddf1ae13637beb94e08b2db4cdd9d,,Flash,wall-boulders,222.0,
2020-01-24,Pink,V6,36cb7bc4e3d3a278eff29781927243fc,,Flash,wall-boulders,222.0,
2020-01-24,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Flash,wall-boulders,161.2,
2020-01-24,Red,V8,bcfe3a56ace425216c1d995fe72be574,5.0,Red Point,wall-boulders,161.2,Nice moves ?
2020-01-24,Yellow,V9,da292398c1c50f8c991cc3329eb806e9,5.0,Red Point,wall-boulders,87.1,Scary! Who's the guest setter? 
2020-01-24,Red down,V7,608828ad946230d669af24c86debb2ec,,Red Point,wall-slab,192.9,
2020-01-22,Blue Right,V5,6495e2c4314de447f3e443ff8b97eb66,5.0,Flash,wall-boulders,161.2,Simple but solid outdoorsy climb. Challenging at the top.
2020-01-22,Yellow,V0,ced3345847c28d58e588ea76c908763b,,Flash,wall-boulders,161.2,
2020-01-22,Black,V3,0216b043f753fb408b6ae5fea32bf902,,Flash,wall-boulders,161.2,
2020-01-22,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Flash,wall-boulders,161.2,
2020-01-22,Red,5.10c,8da5d8cee664d98a1d96c214834cb17c,,Onsight,wall-back-wall,36.9,
2020-01-22,Blue,5.9,4aced0bf3c7e214843fcb490d33c4e47,,Onsight,wall-back-wall,56.0,
2020-01-22,Tan,5.9,8a6028040f0125396cee9f8d3d5c25ea,,Onsight,wall-back-wall,322.3,
2020-01-22,Lime Green,5.11a,cef386d0204fe866526125ee670ab7c9,,Onsight,wall-back-wall,488.9,
2020-01-22,Red,5.10d,af5b68c1c9b71e1216f055d774b97555,,Onsight,wall-back-wall,534.8,
2020-01-22,Lime Green,5.10c,ad18e73705b8a63e1470345dbe4cbbf7,,Onsight,wall-back-wall,684.0,
2020-01-22,Yellow,5.9,bcccb3724931ed2a1ce61a3e620ff0ee,,Onsight,wall-island,365.2,
2020-01-22,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,,Flash,wall-boulders,87.1,
2020-01-22,Blue,V5,ef270746ce2b38c63c579c5138d69c3f,4.0,Flash,wall-boulders,87.1,"Hard, delicate start, but good. I luckily caught the far volume with my left fingertips to kill the barndoor on my flash attempt. Figured out the start sans-volume afterwards. Most people seem to be using the arete to start, which presumably is off. "
2020-01-22,Tan,V4,9320a10b78c2c4e9da6ef75fbbf28e87,,Flash,wall-boulders,87.1,
2020-01-22,Black,V1,5b9d5be8269ec03906267a3bd1d5f9e5,,Flash,wall-boulders,87.1,
2020-01-22,Pink,V6,d29cbdbc0cb2ba9ad703d01f09b5e6cb,4.0,Red Point,wall-boulders,87.1,"I was convinced the toehook wouldn't work for me with my long legs, but it eventually did. I was pretty close to finishing it with without a toehook (or the high, left hold), but in the end the toehook was the easier and better solution."
2020-01-22,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,,Flash,wall-boulders,87.1,
2020-01-22,Lime Green,V4,a61aabf0a70c49ca343ed766cccd6398,,Flash,wall-boulders,87.1,
2020-01-17,Red down,V7,608828ad946230d669af24c86debb2ec,2.0,Red Point,wall-slab,192.9,"Fun like the 7 with the same start, but with a gimmicky finish. Also about as hard as the 5s on the same wall once you work out beta. "
2020-01-17,Yellow,V5,f9c5a5493ccc202ec3d0add93de7ea48,4.0,Red Point,wall-slab,48.7,"I found the finish moves to be the hardest on the slab wall (including 6s, 7s, & 8). Might just be me. "
2020-01-17,White,V5,40f680dbba8160cd4888e20714b7386e,,Red Point,wall-boulders,423.0,
2020-01-15,Red up,V6,c984bdddbae735657115337b4f6268fd,3.0,Flash,wall-slab,192.9,"Fun, but no harder than the 5s on this wall"
2020-01-15,Yellow,V3,e2022e18165b50136c13bc74ad3cbb99,,Flash,wall-slab,192.9,
2020-01-15,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Flash,wall-slab,192.9,
2020-01-15,White,V5,124cbd7d8c7258278c4218e3d82fa972,,Red Point,wall-slab,192.9,Skipped the pinch with a mantle
2020-01-15,Pink,V2,e459884c250f7aabc719c6d072015a42,,Flash,wall-slab,192.9,
2020-01-15,Lime Green,V7,0b096eec4f0c7bfd8dd5e4fec1de2525,4.0,Red Point,wall-slab,192.9,
2020-01-15,Lime Green,V4,b8e3786bfe29ddcb5a1e4a43367465c4,,Red Point,wall-slab,118.8,
2020-01-15,Black,V4,97f8851f1649c0c578c6bf41eab86f1e,,Flash,wall-slab,118.8,
2020-01-15,Red,V1,8cd5517f2c0150f64a59d9bfd05737e8,,Flash,wall-slab,118.8,
2020-01-15,White,V6,7941b1ed2ded20c5da5d256019e270af,,Flash,wall-slab,118.8,
2020-01-15,Yellow,V4,8980a0e37093e226f6ba9008cd3d63a9,4.0,Flash,wall-slab,118.8,
2020-01-15,Black,V5,2c0d8ed4d9c69fbb38e499ee5f715672,,Flash,wall-slab,118.8,
2020-01-15,Blue,V6,14f5f07936e2dedb4ee6f050d25d3c58,,Red Point,wall-slab,118.8,
2020-01-15,Tan,V1,17206715a23e5c8fc03b11b83ad790ec,,Flash,wall-slab,48.7,
2020-01-15,Lime Green,V0,7030e483fc8226ef35c0244926672edb,,Flash,wall-slab,48.7,
2020-01-15,Black,V5,9ea54cf3e28a79790a590ba68da8dc81,,Red Point,wall-slab,48.7,
2020-01-15,Pink,V3,c288d3b689c07fab3491050421a25022,,Flash,wall-slab,48.7,
2020-01-15,Blue,V2,aaa10bb717808023df910af93e6e3e3b,,Flash,wall-slab,48.7,
2020-01-15,White,V6,2cfd26a7618a83f132b0da19384b14e5,,Red Point,wall-slab,48.7,
2020-01-10,Green,V4,1acd909221c514ce5fa59b7036f6052c,2.0,Red Point,wall-boulders,581.0,
2020-01-10,White,V5,a6b37892d7af300d7ad0be0b1ddbca67,,Red Point,wall-boulders,505.7,
2020-01-10,White,V7,c9ec4e8145625f033e34a7ca53a7714e,,Red Point,wall-boulders,359.0,
2020-01-09,White,V3,9339078234104c7a0c464657e892a939,,Flash,wall-boulders,581.0,
2020-01-09,Blue,V6,6ba27f4a19e4ec72044c7700e2350e28,4.0,Red Point,wall-boulders,581.0,"Hard first move, but good"
2020-01-09,Tan,V0,81d8de61b948629e4906939bd04e8481,,Flash,wall-boulders,581.0,
2020-01-09,Black,V4,3e8a8400ad240270b70649d9b02e0c8e,,Red Point,wall-boulders,581.0,
2020-01-09,Yellow,V2,40fed2582fc460eef98edf5be375a3e4,,Flash,wall-boulders,581.0,
2020-01-09,Pink,V3,8d03ea868716aec0b2118914223c8b89,,Flash,wall-boulders,581.0,
2020-01-09,Red,V6,2eae3764a878320e7d18143cacb28d80,5.0,Red Point,wall-boulders,581.0,Committing cross in the middle. Frustrating to work out the beta but ended up liking this one. 
2020-01-09,Pink Low,V5,3f19fba696b801a0330569bef569205b,,Red Point,wall-boulders,423.0,Harder than v4
2020-01-09,Pink,V2,d21a5d8b879725a9bad86a67fff4ea29,,Flash,wall-boulders,423.0,
2020-01-09,Blue,V4,bca66e92f950f62019fb447d4ab2b25a,,Flash,wall-boulders,423.0,
2020-01-09,Red,V1,4b1511edc5e8d3ffe7140693173fa049,,Flash,wall-boulders,423.0,
