date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-03-11,Pink,V5,7c5313e733c256c30e86a607e6ef5a68,,Red Point,wall-boulders,359.0,
2020-03-11,Lime Green,V0,4cd7cb085c90b037ae290cedf5d4ced7,,Flash,wall-slab,118.8,
2020-03-11,Lime Green,V6,100ef8e8d40ca3716dcc58d7fa30c734,5.0,Red Point,wall-slab,192.9,
2020-03-10,Pink,V5,7c5313e733c256c30e86a607e6ef5a68,,Red Point,wall-boulders,359.0,
2020-03-10,Blue,5.8,8a97c35830f7fdb9fa18512621d2b5cb,,Top Rope,wall-island,470.0,
2020-03-10,Yellow,5.9,9d0a42d3f2db539bdde369755f91af98,,Top Rope,wall-island,446.7,
2020-03-09,Lime Green,V6,100ef8e8d40ca3716dcc58d7fa30c734,5.0,Red Point,wall-slab,192.9,
2020-03-09,Pink,V5,7c5313e733c256c30e86a607e6ef5a68,5.0,Red Point,wall-boulders,359.0,
2020-03-07,Pink,V4,f39d32e2c3a5125c7916dbe6c85af49a,,Red Point,wall-mezzanine,39.7,
2020-03-07,Lime Green,V3,8244ca179abaf72aeccfd6a70820a693,,Red Point,wall-boulders,793.8,
2020-03-07,Pink,V5,7c5313e733c256c30e86a607e6ef5a68,,Red Point,wall-boulders,359.0,
2020-03-07,Tan,V4,2bd8718c3164456377f903aabef45f11,5.0,Red Point,wall-boulders,359.0,
2020-03-07,Blue,V3,b99ce7245c886aeba1e11302348837a0,,Flash,wall-slab,192.9,
2020-03-07,Yellow,V1,4ffb93c44a7954338fffd567ea72392f,,Flash,wall-slab,192.9,
2020-03-07,Pink,V3,80cddf93f90cd364c057590dd7fb7ea4,,Flash,wall-boulders,667.3,
2020-03-02,Yellow,5.9,9d0a42d3f2db539bdde369755f91af98,,Top Rope,wall-island,446.7,
2020-03-02,Yellow,5.9,d2aa312133433efb9dab8c6359cc009a,,Top Rope,wall-back-wall,-0.7,
