date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-08-30,Red,5.11b,86830592b11a1b3b4f75ebed1ef2f263,3.0,Onsight,wall-back-wall,1199.9,
2019-08-30,Yellow,5.12a,6d0b3727ec762401e553d12034b68424,4.0,Red Point,wall-back-wall,1376.9,
2019-08-23,Black,5.12a,1e00dd6146ad1ccb046cd4b9a1f69b02,3.0,Red Point,wall-island,445.8,
2019-08-22,Red,5.10d,888e3c96a8833055ea7a0bc0f7a8f8b3,3.0,Onsight,wall-back-wall,1141.8,
2019-08-22,Black,V4,e71a873abc2f22362390cc6600817661,3.0,Flash,wall-boulders,359.0,
2019-08-22,Purple,V4,929f37755f767ba8fcae6dc1be7965d9,3.0,Flash,wall-boulders,288.8,
2019-08-22,Tan,V5,6ce6bc1b5641dab48a0695e483397714,3.0,Flash,wall-boulders,288.8,
2019-08-15,Purple,5.11d,e0620a64e2424a60d2765bfc17b2b9f3,3.0,Red Point,wall-island,420.7,
2019-08-13,Lime Green,5.11d,ce4ccbee6f39a06fd93a200cdb85ea22,3.0,Red Point,wall-red,25.4,
2019-08-13,Tan,5.10d,44f85f4af3e9e2c88eee717cd8a35a91,3.0,Onsight,wall-red,80.7,
2019-08-12,Blue,V5,9c96539c463001a7263b8521d3a95ef8,3.0,Flash,wall-boulders,793.8,
2019-08-12,Yellow,V4,269371e87b8f4e28312e1f7f1ae7d178,3.0,Flash,wall-boulders,736.4,
2019-08-12,Lime Green,V5,79629293de7234cc9fba990ecd4f2a9f,3.0,Flash,wall-boulders,667.3,
2019-08-10,Pink,5.12b,205b5f419d467e72dd2b02c697c6bd18,3.0,Red Point,wall-back-wall,17.1,
2019-08-10,White,5.11a,4ffec08fc77dfe65808fbf1d39b0b1ba,3.0,Onsight,wall-island,76.0,
2019-08-06,White,V6,73c1fda96bdbf55ed61afd7210f12d99,3.0,Red Point,wall-mezzanine,114.6,
2019-08-06,White,V5,6ed50f9e821dadade576b1cf9a39a3d1,3.0,Flash,wall-mezzanine,39.7,
2019-08-06,Tan,V5,2bf67d03cf69303c3d53258196e8b0e7,3.0,Red Point,wall-mezzanine,39.7,
2019-08-06,Blue,V5,00da261339892866f1b5ed5d9756f2a8,3.0,Red Point,wall-mezzanine,114.6,
2019-08-06,Black,V5,6188ad887724335b82ff6059305a1cf1,3.0,Red Point,wall-mezzanine,114.6,
2019-08-04,Blue,5.11b,658defabf37eb3713f3041df9cac69bd,3.0,Onsight,wall-back-wall,608.4,
2019-08-04,Blue,V5,c8387124129882e7a8a487aa9c7ba2eb,3.0,Red Point,wall-slab,192.9,
2019-08-02,Pink,5.10b,4e5abaa94c4b0f4d233c781b96113ba4,3.0,Onsight,wall-back-wall,871.9,
2019-08-02,White,5.11b,90e88e6a6dd99194da8e293b9f9eecfb,3.0,Onsight,wall-back-wall,967.8,
2019-08-01,Blue,V4,a46a976281521c6f49d3e5918b59ea89,3.0,Flash,wall-boulders,581.0,
2019-08-01,Yellow,V5,d449c3565034ff371fe6b52643d53e14,3.0,Flash,wall-boulders,736.4,
