date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-28,Pink,5.11d,5a4c12e68cf416567a08cdcd433e2005,4.0,Top Rope,wall-auto-belay,222.1,
2019-03-28,Blue,5.10c,28d920011c90248d182ed9653d3a6740,3.0,Top Rope,wall-auto-belay,249.8,
2019-03-28,Red,5.10a,77310b734169479ba2bfaf616b222e5e,3.0,Top Rope,wall-auto-belay,273.7,
2019-03-28,Black,5.12a,ea2833ced65d7b8e17d8a0496ce0630d,5.0,Top Rope,wall-auto-belay,273.1,
2019-03-28,Lime Green,5.10d,926ef63614761c2fe9c4a2052fd3a0c0,3.0,Top Rope,wall-auto-belay,303.3,
2019-03-28,Purple,5.11a,507c962f32ebb6a603428201c8913ed7,2.0,Top Rope,wall-auto-belay,302.7,
2019-03-28,Black,5.11a,f7dd163e997a08741ed8e39cb6cb05e0,4.0,Top Rope,wall-back-wall,967.8,
2019-03-28,Pink,5.11c,03981fbf054b57855d1eb153d3347234,4.0,Top Rope,wall-back-wall,830.9,
2019-03-14,Black,5.10c,93f36edd9f4742e31d36d73b6b6944a8,3.0,Top Rope,wall-auto-belay,173.7,
2019-03-14,Red,5.11c,a620920686a51758e34a64f7cb7f334b,5.0,Top Rope,wall-auto-belay,174.9,
2019-03-14,Yellow,5.11d,17ca9e2407dd5b6638c8889d94984a44,5.0,Top Rope,wall-auto-belay,196.9,
2019-03-14,Purple,5.10c,0a513bf8540486ffd7bec190680635b4,4.0,Top Rope,wall-auto-belay,198.2,
2019-03-10,White,5.11d,f5baa8376908234c418180f0671b7ddc,3.0,Top Rope,wall-back-wall,1228.7,
