date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-09-28,White,V8,e1004f59bd138ff8e4180faa9ee975e5,3.0,Red Point,wall-boulders,667.3,
2018-09-28,Yellow Right,V8,bdd321abde9fa2fd5ec4395089e34347,3.0,Red Point,wall-boulders,793.8,
2018-09-28,Red,V6,9235a767f7b298009fcb077aefdb2ee0,3.0,Red Point,wall-slab,48.7,
2018-09-28,Blue,V6,ee0b88af25add9e4fd6fbf61f433e1b8,3.0,Red Point,wall-slab,118.8,
2018-09-28,Black,V6,b65341b115100f26a9c5ef2eb768e366,3.0,Flash,wall-slab,192.9,
2018-09-28,Purple,V5,6bc3de0b14b6b949a4b6dc932ba864b3,3.0,Flash,wall-slab,192.9,
2018-09-28,Yellow Left,V3,4a3d4f3177b85ae957b323bf1ecc844b,3.0,Flash,wall-slab,192.9,
2018-09-26,Lime Green,V0,dfd7df0c064cb1e9afc887b79e7a7b30,3.0,Flash,wall-slab,48.7,
2018-09-26,Yellow,V4,f1819f795f7fc38a9ae5d3b8e7af24cc,3.0,Flash,wall-slab,48.7,
2018-09-26,White,V3,5f1c4b9bc20adc170ddb3f3856a0933a,3.0,Flash,wall-slab,48.7,
2018-09-26,Tan,V4,ef767666401f89bf87ac472c53fcd964,3.0,Red Point,wall-slab,48.7,
2018-09-26,Black,V2,e9f1e559623cdb743f31c8a00dc0017a,3.0,Flash,wall-slab,118.8,
2018-09-26,Red,V3,1fa12bab772b5a328f8d771d751c8cc3,3.0,Flash,wall-slab,118.8,
2018-09-26,White,V5,979c21a9a4431c8f42d774360fe57a59,3.0,Red Point,wall-slab,118.8,
2018-09-26,Purple,V5,6f791798cfe408f8239a3e710fe84f2c,3.0,Red Point,wall-slab,118.8,
2018-09-26,Lime Green Left,V1,284f324d139522ca7bdb2cf2f07bc0d9,3.0,Flash,wall-slab,118.8,
2018-09-26,Yellow Right,V2,842795bc70c90877eb7b7d697047ac00,3.0,Flash,wall-slab,192.9,
2018-09-26,Pink,V4,dd646bc417534081169183282d0a41c1,3.0,Flash,wall-slab,192.9,
2018-09-26,Lime Green,V0,0c176e71c45fa4c91b75add5121f181b,3.0,Flash,wall-slab,192.9,
2018-09-26,Blue,V1,ef689aaea940064be8cc2262c834ead5,3.0,Flash,wall-slab,192.9,
2018-09-21,Red,V3,454688c31ab342f270522f0e7194374c,4.0,Flash,wall-boulders,667.3,
