date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-31,Yellow,5.10c,3b0758532fe34ede5936bbb6c0c20963,,Top Rope,wall-back-wall,164.5,
2020-01-31,Yellow,5.8,d15738920cab1d3734559dbcc5d2b5a3,,Top Rope,wall-back-wall,243.4,
2020-01-30,Blue,5.10d,dc93142e641598dadef6a08d5051bd04,,Top Rope,wall-back-wall,142.5,
2020-01-30,Tan,5.9,b9cb1cf9ec9f75709e1890d93aafbd6b,,Top Rope,wall-back-wall,190.5,
2020-01-30,White,5.10b,4219eddf4be44b4812986a9ab710b8ec,,Top Rope,wall-back-wall,222.7,
2020-01-30,Purple,5.11b,ef0b5a4d4eec5c16a3310046d8708ea4,,Top Rope,wall-back-wall,243.9,
2020-01-30,Purple,5.10d,8f4283e1e07bd9e600998014212bf639,,Top Rope,wall-back-wall,124.1,
2020-01-30,Lime Green,5.10d,281943aa368f739163df242af290fd8f,,Top Rope,wall-back-wall,252.2,
2020-01-28,Lime Green,5.10a,f66e3542e8ea378346e9fb674cfd9dab,,Top Rope,wall-red,230.0,
2020-01-28,White,5.11b,228a0528463b222928086df0879bb63e,,Top Rope,wall-red,231.5,
2020-01-28,White,5.10d,c3427850c4f142dfbe48314fc995e4ed,,Top Rope,wall-island,126.0,
2020-01-28,White,5.10d,2a1846a0bf2d6e1644b03a98d8e68c99,,Top Rope,wall-island,226.9,
2020-01-28,Blue,5.9,678013e14a931b414eb953f2d643661f,,Top Rope,wall-island,280.2,
2020-01-28,Yellow,5.8,3152f1f0d966575f9d1fb03022ce242b,,Top Rope,wall-island,300.0,
2020-01-28,Black,5.10d,154bd82d1b68502ed2aa5407dbd54c4a,,Top Rope,wall-island,315.4,
2020-01-28,White,5.7,69512036b91d5564cd780988be95f960,,Onsight,wall-island,316.3,
2020-01-28,Red,5.8,783011e9ea84203655f6655f6ca2f49d,,Onsight,wall-island,354.2,
2020-01-28,Blue,5.12a,a3baca09fba3f8564485c6a72278d68c,,Top Rope,wall-island,340.1,
2020-01-24,White,5.11b,228a0528463b222928086df0879bb63e,,Top Rope,wall-red,231.5,
2020-01-24,White,5.10d,2a1846a0bf2d6e1644b03a98d8e68c99,,Top Rope,wall-island,226.9,
