date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-31,Blue,5.10c,a460c11911f8b4b683fe93b33fdf9945,3.0,Red Point,wall-island,300.0,
2018-10-31,Yellow,5.10c,2bfcdb08135305468cb32a0455c83433,3.0,Red Point,wall-auto-belay,453.6,
2018-10-31,Blue,5.10a,3c067909ba0b920306a6eebc8e4a6bd7,3.0,Red Point,wall-back-wall,968.7,
2018-10-31,Tan,5.7,547c055ebfa7dab4470776fb13b5ece4,3.0,Red Point,wall-auto-belay,418.1,
2018-10-31,Lime Green,5.9,3ba580b6334140a3ec6319099eb52586,3.0,Red Point,wall-back-wall,252.2,
2018-10-31,Blue,5.9,a0b01d738d70b37e524181969a3fb5e0,3.0,Red Point,wall-auto-belay,497.7,
2018-10-31,Red,5.9,dae10b94ab702b81a88f86317a621bbe,3.0,Red Point,wall-fox,66.4,
2018-10-31,Yellow,5.8,1f563b13c544872a9051896da0cc60de,3.0,Red Point,wall-fox,92.1,
2018-10-31,Red,5.8,3a3c41f5ac745cff2133aa260d66effa,3.0,Red Point,wall-fox,198.0,
2018-10-31,Green,5.10a,c8ab594c611fbbf6082b49aeae66c22d,3.0,Red Point,wall-fox,49.2,
2018-10-29,Yellow,5.8,1f563b13c544872a9051896da0cc60de,3.0,Red Point,wall-fox,92.1,
2018-10-29,Lime Green,5.9,3ba580b6334140a3ec6319099eb52586,3.0,Red Point,wall-back-wall,252.2,
2018-10-29,Green,5.10a,c8ab594c611fbbf6082b49aeae66c22d,3.0,Red Point,wall-fox,49.2,
2018-10-29,Blue,5.10a,3c067909ba0b920306a6eebc8e4a6bd7,3.0,Red Point,wall-back-wall,968.7,
2018-10-29,Pink,5.10a,e0fc30f83aa239dbbe1b01e851e9244d,3.0,Red Point,wall-red,81.4,
2018-10-29,Pink,5.10a,ab1e7f93ab332029263d82b2c32260f2,3.0,Red Point,wall-island,603.0,
2018-10-29,Blue,5.10a,cb81eb3f4bf56910ce09264355401b25,3.0,Red Point,wall-back-wall,895.6,
2018-10-29,Red,5.10a,a5bf0adea6e82688938323f0b4e0e97f,3.0,Red Point,wall-back-wall,243.6,
2018-10-29,Blue,5.9,a0b01d738d70b37e524181969a3fb5e0,3.0,Red Point,wall-auto-belay,497.7,
2018-10-29,Red,5.8,3a3c41f5ac745cff2133aa260d66effa,3.0,Red Point,wall-fox,198.0,
