date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-05-31,Yellow Right,V5,f6dd7c231627e08f73c1975f016c0308,2.0,Flash,wall-boulders,423.0,"fun climb, not fun finish"
2019-05-31,Tan Low,V6,dd26f02a5dfc6942edbecfa0add466f2,5.0,Flash,wall-boulders,505.7,all the fun!
2019-05-31,Lime Green Stand,V5,33510e21d3529ec7eb92c14c9748dfce,5.0,Flash,wall-boulders,423.0,another super fun climb
2019-05-31,Pink Stand,V6,4352d91a5b9769b49d10ac3277daf69a,3.0,Red Point,wall-boulders,505.7,
2019-05-31,Pink Low,V7,54a033e3173e1f5e91a9dcbd1cb59867,5.0,Red Point,wall-boulders,505.7,
2019-05-29,Black,V6,e3ace7db7fe95bbf25b96ff8c702d571,4.0,Flash,wall-boulders,288.8,I got all the beta
2019-05-29,Tan,V5,aee31f86fba435fb07fd9b8742859afb,3.0,Flash,wall-boulders,359.0,
2019-05-29,Blue,V6,e7874550eb671551910aaea1da7e3266,4.0,Flash,wall-boulders,288.8,
2019-05-16,Lime Green,V3,a62c19519c26150c0c68f7e76671430f,4.0,Flash,wall-boulders,793.8,
2019-05-16,Red,V3,ee0e71d3b3faba9cd923da0eb4ed08df,3.0,Flash,wall-boulders,736.4,
2019-05-16,Blue,V8,4f6a8b2c0ea6346e0667343cd3f46a38,4.0,Red Point,wall-boulders,667.3,very fun!
2019-05-16,White,V4,79c5d67be2cc220058b870d0ed3734f8,3.0,Flash,wall-boulders,793.8,
2019-05-16,Yellow,V5,74cc06ffef88d99458c9ec8b5a7cb989,4.0,Flash,wall-boulders,667.3,
2019-05-16,Pink,V6,b8d60d871fc6f07d5e13ed7afe42cd53,4.0,Flash,wall-boulders,793.8,
2019-05-16,Black,V7,cfea42e9c66ed94e1d8911d073ad8428,5.0,Flash,wall-boulders,667.3,nicely done
2019-05-16,Yellow,V7,84fa451536942a0ed971379107735cc9,5.0,Red Point,wall-boulders,793.8,"great!
"
2019-05-16,Tan,V0,a6a30d4f11d44d5721d2eb1e025c0045,3.0,Flash,wall-boulders,793.8,
2019-05-16,Tan,V1,3d710e451111716838acc48b4f5dc2da,3.0,Flash,wall-boulders,736.4,
2019-05-16,Yellow,V2,59e942beb3cb3e253945f18761e85cc2,3.0,Flash,wall-boulders,667.3,
2019-05-15,White,V2,05f26e32c26d509ef6b42f0182fcb05b,3.0,Flash,wall-boulders,667.3,
2019-05-15,Lime Green,V8,8864487942116071a11d59e0d0d219ea,5.0,Red Point,wall-boulders,667.3,
2019-05-15,Pink,V4,62e752f0c1f06319111a5d293140220e,3.0,Flash,wall-boulders,667.3,
2019-05-15,White,V2,e2a0ebbd66cbab7f766482bb4d0859e8,3.0,Flash,wall-boulders,736.4,
