date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-27,Lime Green,5.10d,92d0119ebfe560f135f1a6f300525d3e,3.0,Flash,wall-back-wall,588.1,
2019-03-27,Yellow,5.9,f5470d5285b058129e49a4d28f3f4a4f,3.0,Onsight,wall-back-wall,741.6,
2019-03-25,White,5.8,11cb2c909ceecb6dfea8393b8d3ec3b3,3.0,Onsight,wall-auto-belay,274.3,
2019-03-25,Tan,5.6,33a9a36df96d83a287cdf2fe1abfc6bc,3.0,Onsight,wall-auto-belay,251.1,
2019-03-25,Blue,5.10c,28d920011c90248d182ed9653d3a6740,3.0,Flash,wall-auto-belay,249.8,
2019-03-25,White,5.6,07a32e251f38e9278d67cb823e491b21,3.0,Onsight,wall-auto-belay,223.4,
2019-03-25,Red,5.11c,a620920686a51758e34a64f7cb7f334b,3.0,Flash,wall-auto-belay,174.9,
2019-03-25,Tan,5.8,079cdf71146f1a0495427e173343df72,3.0,Onsight,wall-auto-belay,150.1,
2019-03-25,Tan,5.8,079cdf71146f1a0495427e173343df72,3.0,Red Point,wall-auto-belay,150.1,
2019-03-21,Black,5.10a,13c0bc3fad397aa2867fb5657098a808,3.0,Onsight,wall-back-wall,164.5,
2019-03-21,Yellow,5.10a,308e38ccafd1ca4646c2f61bc2014cbe,3.0,Onsight,wall-back-wall,140.8,
2019-03-21,White,5.7,f995c2815700f698fe1cec2996eee649,3.0,Onsight,wall-auto-belay,174.3,
2019-03-21,Black,5.10c,93f36edd9f4742e31d36d73b6b6944a8,3.0,Onsight,wall-auto-belay,173.7,
2019-03-21,Red,5.10a,77310b734169479ba2bfaf616b222e5e,3.0,Onsight,wall-auto-belay,273.7,
2019-03-21,Yellow,5.9,45a7004461d8305f97d82064a54e92be,3.0,Onsight,wall-auto-belay,250.5,
2019-03-21,Red,5.8,8320601d1d82745e265062f782da8b73,3.0,Onsight,wall-auto-belay,342.5,
2019-03-21,Blue,5.5,99d687a3caf41aab9c73809769394aec,3.0,Onsight,wall-auto-belay,343.2,
2019-03-21,Yellow,5.7,966c5d90026c88617bd8924dd4978fca,3.0,Onsight,wall-auto-belay,304.0,
2019-03-21,Lime Green,5.10d,926ef63614761c2fe9c4a2052fd3a0c0,3.0,Red Point,wall-auto-belay,303.3,
2019-03-21,Lime Green,5.10d,926ef63614761c2fe9c4a2052fd3a0c0,3.0,Onsight,wall-auto-belay,303.3,
2019-03-21,Black,5.9,ab1d196333bdaeb3d6c753583a726bda,3.0,Onsight,wall-auto-belay,222.7,
2019-03-20,Tan,5.9,9e583005dc5a184bce1e83122612b262,3.0,Onsight,wall-back-wall,190.5,
2019-03-14,White,5.9,97ec77e23115afd5506202bacacff4d6,3.0,Top Rope,wall-island,364.3,
2019-03-14,White,5.9,97ec77e23115afd5506202bacacff4d6,3.0,Onsight,wall-island,364.3,
2019-03-14,Red,5.8,de3362fe0fb4da549718bfeadbf4e38d,3.0,Onsight,wall-island,394.7,
2019-03-14,Tan,5.10a,1d3b6829451b36e14aef53b5d4ec6726,3.0,Onsight,wall-island,76.0,
2019-03-14,Red,5.10d,ac3436e114d851ef34bb5646a3a4d30f,3.0,Onsight,wall-island,75.0,
2019-03-12,Tan,5.9,ee9cc9730eb9229660d1105dfa2beca2,3.0,Top Rope,wall-red,50.1,
2019-03-12,White,5.8,c360c7fed24729d68ec8985ce6f8685f,3.0,Top Rope,wall-red,79.7,
2019-03-12,Black,5.10c,7bad11631bf9889682bd47185364030d,3.0,Top Rope,wall-red,80.7,
2019-03-12,Tan,5.10a,d8fb004619c19429664e2429e738ab8a,3.0,Top Rope,wall-red,109.7,
2019-03-12,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,3.0,Top Rope,wall-red,132.5,
2019-03-12,Lime Green,5.6,5a3d5b574c50e47d753c64309bb7579e,3.0,Top Rope,wall-red,156.3,
2019-03-12,Blue,5.9,1fdeafd2e12ba315e859f5cc6e4fbd6a,3.0,Top Rope,wall-red,173.9,
2019-03-12,Yellow,5.7,ba93230b56a8c796a70cc8f104adbd04,3.0,Top Rope,wall-red,198.3,
2019-03-12,Red,5.10c,abdb1b3f923fc75fafd4c615792975ed,3.0,Top Rope,wall-red,231.5,
2019-03-12,Lime Green,5.9,8b62f4c05ec42463e978fef5bf2e9bca,3.0,Onsight,wall-back-wall,1200.6,
2019-03-12,Black,5.10a,16aedd8bc3edeec79db0872609033ca0,3.0,Top Rope,wall-back-wall,1251.0,
2019-03-12,Yellow,5.11a,821db391db1f02e50c74fe43cb7b381e,3.0,Top Rope,wall-back-wall,1274.8,
2019-03-12,Black,5.11b,9998fe3c530a523b7fbfa10e3189d489,3.0,Top Rope,wall-back-wall,1409.3,
2019-03-11,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Flash,wall-auto-belay,342.5,
2019-03-11,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,3.0,Flash,wall-auto-belay,304.0,
2019-03-11,Yellow,5.6,250ada8699382a9369cf3477d8cef4cb,3.0,Flash,wall-auto-belay,343.2,
2019-03-11,Blue,5.10d,362a23a312cc3a787775525d1c4e0142,3.0,Flash,wall-auto-belay,302.7,
2019-03-11,White,5.9,3329f512d882469afbab061a9584e219,3.0,Flash,wall-auto-belay,274.3,
2019-03-11,Red,5.10b,76c7b490994383734a7679d9553f8e5e,3.0,Flash,wall-auto-belay,273.7,
2019-03-11,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Flash,wall-auto-belay,249.2,
2019-03-11,Blue,5.10d,2aefb6c2f4fe3f1a89316559c6c075ad,3.0,Flash,wall-auto-belay,248.5,
2019-03-11,Grey,5.5,2571c21f5af6816199a6ce5906e3d124,3.0,Red Point,wall-auto-belay,222.1,
2019-03-11,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Onsight,wall-auto-belay,221.5,
2019-03-11,Purple,5.10c,0a513bf8540486ffd7bec190680635b4,3.0,Onsight,wall-auto-belay,198.2,
