date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-21,Pink,5.7,906c7ab25c7633b975bd5d4b8435542d,5.0,Flash,wall-back-wall,1292.9,
2020-01-21,Yellow,5.8,ddeaff00dd7f9f06e2043cf3b9a5a8f0,5.0,Flash,wall-back-wall,1274.1,
2020-01-21,White,5.10a,ba03617a77e032e454377c3d58838db1,5.0,Flash,wall-back-wall,1069.1,
2020-01-21,Red,5.11a,074ea0d61bbb4eb356eeda1736e130d9,5.0,Red Point,wall-back-wall,1067.3,yeowzah
2020-01-21,Blue,5.9,cbd680349f4447cdb1857e28cbece514,5.0,Flash,wall-back-wall,1046.0,
2020-01-21,Pink,5.10c,41d581885877455e84c7a1e686d81c56,5.0,Flash,wall-back-wall,1020.5,
2020-01-21,Pink,5.10c,74193c2f4f944f79a424b646634c1206,4.0,Onsight,wall-back-wall,922.4,
2020-01-20,Black,5.10b,e3bb65d47c22cddc19048ed526c5d751,3.0,Flash,wall-back-wall,1099.6,
2020-01-05,Yellow,5.6,4bdda810108d228def6941d092a976a5,,Red Point,wall-auto-belay,251.1,
2020-01-05,Pink,5.10a,d8ffb83c6af4967932c015e8c861f6af,4.0,Flash,wall-auto-belay,273.7,
2020-01-05,Red,5.11b,e1db27bce97ce8180c6fe740f505ff3a,2.0,Red Point,wall-auto-belay,302.7,
2020-01-05,Yellow,5.6,4fbea74535f1883298a376fc3bf08186,3.0,Flash,wall-auto-belay,343.2,
2020-01-02,Yellow,5.8,42a5556236596257a4756dcdb3807304,4.0,Red Point,wall-island,528.5,
2020-01-02,Black,5.10b,70483aa172a83469513e73395124fdbe,5.0,Flash,wall-island,529.4,
2020-01-02,Yellow,5.9,f3a926b76332455d0f100cf47dbf1819,5.0,Flash,wall-back-wall,315.7,
2020-01-02,White,5.9,7a493b5c797ed3e6b2ea8c599654fa6b,5.0,Flash,wall-back-wall,191.4,
2020-01-02,Yellow,5.10a,c5b5d8e3f08d93cef18184d436a4334f,5.0,Flash,wall-back-wall,243.4,
2020-01-02,Yellow,5.8,d61a027ebb96c24dba737439c58fc46e,5.0,Flash,wall-island,340.5,
2020-01-02,Blue,5.7,901d67b6b36adcb6d0f36042932b5546,4.0,Flash,wall-island,327.1,
