date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-24,White,5.9,c81074aa5457f4f5c5c972f85e4c0911,,Red Point,wall-auto-belay,479.6,
2020-09-24,Grey,5.7,98dc63ed8269b15bf9e21bc676d43891,,Onsight,wall-auto-belay,301.4,
2020-09-24,Red,5.9,127f1ae2c934a4277abccfa265c0088a,,Onsight,wall-auto-belay,222.7,
2020-09-19,Purple,V0,32c2119b379a0bba35e25eb684cb16bf,,Flash,wall-boulders,87.1,
2020-09-19,Pink,V0,d11410968f505b70a5af30b1ffabeeac,,Flash,wall-boulders,87.1,
2020-09-19,Yellow,V2,8d54bd55aedf0340b3de04f6814ae18c,,Flash,wall-boulders,87.1,
2020-09-19,White,V1,3f6a2325a0d2123f8aab1b8b5853976d,,Flash,wall-boulders,87.1,
2020-09-19,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Onsight,wall-auto-belay,274.3,
2020-09-19,Tan,5.8,335db78ef8350363d2c9d1e68c03c6aa,,Onsight,wall-back-wall,829.3,
2020-09-19,Yellow,5.8,c64d957f9d8978dc6bb162d03778c0bc,,Red Point,wall-back-wall,1377.6,
2020-09-18,Yellow,V0,45d14bce2ffd870804f71ea08ea9cbb4,,Flash,wall-boulders,793.8,
2020-09-17,Pink,3-4,d4ca40b4e71640f3d95bdd8183a746da,,Onsight,wall-island,108.8,
2020-09-17,Yellow,5.9,7bbdbfd8025e632fe4ea575e1f894c53,,Onsight,wall-red,133.9,
2020-09-17,Tan,5.8,a97bac0b9da6811daf7502198eca5b97,,Onsight,wall-red,175.1,
2020-09-12,Lime Green,5.7,5bb665bc5ab009b62711d7294fbe660f,,Onsight,wall-back-wall,993.7,
2020-09-12,Black,5.7,5ad09687ecac766db2f1f3ebff4eaa8c,,Red Point,wall-red,197.6,
2020-09-11,Black,5.7,2e0daaab08a4e68477243b44f4d308c9,,Red Point,wall-back-wall,923.3,
2020-09-11,Purple,3-4,dde6abba0623fb453a983e2f216cfecf,,Onsight,wall-island,245.4,
2020-09-11,Blue,5.8,515807c843faf5d468b99cd99a9a0c6e,,Onsight,wall-fox,197.3,
2020-09-11,Lime Green,5.7,97d4030daf57cf325bef89a9bfc5ecc8,,Onsight,wall-fox,49.2,
2020-09-11,Lime Green,5.7,117662037a5ad8cf470c2d4a6a93738c,,Onsight,wall-auto-belay,19.1,
2020-09-10,Pink,5.7,b4ee924464792093e328391131f0c224,,Onsight,wall-back-wall,1410.1,
2020-09-10,Grey,5.9,31c0f0213c9d82231c90f1a859e9435d,,Red Point,wall-fox,65.7,
2020-09-10,Purple,5.8,c189b17a2ee144ac1722004aceb9bcfc,,Onsight,wall-fox,47.8,
2020-09-07,Pink,V1,b5f1d45f3376b1aaf29d15213b794b69,,Flash,wall-mezzanine,39.7,
2020-09-07,Red,V0,0a191f7681cdc31371ea1bf5d77373d8,,Flash,wall-mezzanine,39.7,
2020-09-07,Red,5.8,cee6bb83a181e236a69d27934158c7d0,,Onsight,wall-back-wall,1176.5,
2020-09-07,Blue,5.7,cd71727a8821a8f1535bd6bd6a170649,,Onsight,wall-back-wall,1274.1,
2020-09-07,Yellow,5.8,7cffc82db102b3b458d93ec9c54eb74f,,Onsight,wall-red,26.8,
2020-09-07,Lime Green,5.8,92b410d2108a02340eda485cc78dcd4e,,Onsight,wall-island,162.0,
2020-09-07,Tan,5.8,d0a6bb5fdecca385c07a20ac8382ae58,,Onsight,wall-island,126.0,
2020-09-05,Black,5.7,2e0daaab08a4e68477243b44f4d308c9,,Onsight,wall-back-wall,923.3,
2020-09-05,Lime Green,5.8,75399cbcda30a4556bb8f3794dfed503,,Onsight,wall-island,75.0,
2020-09-05,Lime Green,V0,8d06857218d9570326674af1ec9e6880,,Flash,wall-mezzanine,114.6,
2020-09-05,Blue,5.7,9b5eff39f06a15608be3c2bd480daf4b,,Onsight,wall-red,52.9,
2020-09-05,Purple,5.8,57782037779dd464ddbceead7797bcde,,Onsight,wall-fox,122.2,
2020-09-05,Tan,5.6,9b492442c7c70fa02e4ca77465b1c1a8,,Onsight,wall-auto-belay,67.7,
2020-09-05,Pink,V1,bd663bd830659f181c49f40e99617878,,Flash,wall-slab,118.8,
2020-09-04,Blue,5.6,abcddc471ca4d6f391029c7babba0297,,Onsight,wall-island,93.7,
2020-09-03,Yellow,5.6,18b33366ff0873d94fe51f2e1f4c8b6b,,Red Point,wall-back-wall,1434.8,
2020-09-03,Lime Green,5.8,13ccc17e352a2bd76825c1ce86e0218f,,Onsight,wall-back-wall,1433.3,
2020-09-03,Yellow,5.6,ccae5ba72a77f0c3af916d496da7005b,,Red Point,wall-fox,28.3,
2020-09-03,Pink,5.8,33bd40402f51212ed1ed756ef503f1b8,,Onsight,wall-fox,26.9,
2020-09-03,Blue,5.7,5fb49882e665e03b5bd7372ab329e0eb,,Red Point,wall-fox,67.2,
