date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-09,Purple,5.7,f6ddf7fe16ee714c5a7824d1939277ce,3.0,Onsight,wall-back-wall,1120.9,
2019-01-09,Lime Green,5.8,3de90472436ea567030af4d6db05283d,3.0,Onsight,wall-back-wall,1098.7,
2019-01-09,Tan,5.7,6253cf1041376755f31c905fc6e9c8c6,3.0,Onsight,wall-back-wall,1045.1,
2019-01-09,Blue,5.9,53b3000422ba898e6929c61b381db964,3.0,Onsight,wall-back-wall,1044.1,
2019-01-09,Black,5.10b,23635a2a8675f828374c800835e29130,3.0,Onsight,wall-back-wall,946.0,
2019-01-09,Pink,5.9,83acd282fb93878ade46a71841ae1991,3.0,Onsight,wall-back-wall,921.4,
2019-01-09,Purple,5.10a,6557740dcc03116c71933aeca2ffae5b,4.0,Onsight,wall-back-wall,895.6,
2019-01-09,Lime Green,5.8,57561545a0c996a124a3587a3c779237,4.0,Onsight,wall-back-wall,1175.0,
2019-01-09,Pink,5.10b,f91b4d6287c54a229a2d2727bffa76d5,3.0,Onsight,wall-back-wall,1175.7,
2019-01-09,Red,5.8,d8e671fc5d1b135b3db105f0f6ff18ea,3.0,Onsight,wall-back-wall,967.8,
2019-01-09,Yellow,5.10a,fdd1f736ade770f46304afe50327fdfa,3.0,Onsight,wall-back-wall,1019.6,
2019-01-09,White,5.9,235c1632db84cc812e8490e505a08fe9,3.0,Onsight,wall-back-wall,1121.9,
2019-01-08,Lime Green,5.10c,3fd3670e94f3d0e3a88a6cf2595abe46,3.0,Attempt,wall-island,445.8,
