date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-29,Black,5.10a,b1ba2d4b313e01b10363cb543d2e8ac0,,Red Point,wall-red,155.6,
2019-11-26,Blue,5.11a,3553c1302cee960763106835a463e4f2,,Attempt,wall-back-wall,506.6,
2019-11-26,White,5.10d,551a2c0d77a2ab2414d99f98d67c6af4,,Attempt,wall-back-wall,443.3,
2019-11-26,Blue,5.11b,2ff674be2a650fe354c90fb700b704c7,,Red Point,wall-back-wall,322.3,
2019-11-26,Yellow,5.9,f3a926b76332455d0f100cf47dbf1819,,Onsight,wall-back-wall,315.7,
2019-11-26,Purple,5.10d,ab9e99b578dc0bc1b88231ef450af82d,,Red Point,wall-back-wall,589.1,
2019-11-26,Lime Green,5.11c,327b0dc400a168d5062d94f055b82cd7,,Onsight,wall-back-wall,17.1,
2019-11-26,White,5.10a,e34731c6f66caeb4fe6e512ecb19e5f5,,Onsight,wall-back-wall,56.0,
2019-11-26,Lime Green,5.11b,518e7050eb9e9376adfebe09b20f1384,,Onsight,wall-back-wall,164.5,
2019-11-26,White,5.11b,ed4cf113aa378087466d14bc57cc7e11,5.0,Onsight,wall-back-wall,251.9,
2019-11-26,White,5.10b,f2f2e0d392c218b1b4f2014895d15311,,Flash,wall-back-wall,190.5,
2019-11-26,Yellow,5.10b,807dfc32d5c3f169619829af80d6f91c,,Flash,wall-back-wall,830.9,
2019-11-26,White,5.12a,46c8ccdad51a67ac39e12ff881b93f1c,,Red Point,wall-back-wall,1167.3,
2019-11-26,Black,5.10a,b1ba2d4b313e01b10363cb543d2e8ac0,,Onsight,wall-red,155.6,
2019-11-26,Yellow,5.11c,9c704f8b8b799cc03a2e6c854e39a045,,Onsight,wall-island,603.0,
2019-11-26,Blue,5.10a,b46728a72e668ba94c553145613372b9,,Onsight,wall-island,141.6,
2019-11-20,Blue,5.11b,2b00305ba3f65f4a2fe22e7f95dc98c1,5.0,Onsight,wall-island,127.1,
2019-11-20,Pink,5.7,2fa4d14d7592de53b6dccacf8c9a0238,3.0,Onsight,wall-back-wall,-1.5,
2019-11-20,Black,5.12b,86c5c63ea07919564b4589f529ee3280,3.0,Red Point,wall-back-wall,191.4,
2019-11-20,Yellow,5.8,76d1adcb7bc9fbddfa993a8f9f19584b,3.0,Onsight,wall-back-wall,221.9,
2019-11-20,Black,5.12b,e49b62c8b3df1017f923d345a45b6cb2,3.0,Red Point,wall-back-wall,1251.0,
2019-11-20,Yellow,5.11b,afeb74e39818082b15263f727a990598,3.0,Onsight,wall-back-wall,1408.5,
2019-11-20,Red,5.11c,c97ff0250a0e6d28c68afc567c122d59,3.0,Onsight,wall-back-wall,871.9,
2019-11-20,Purple,5.11b,b09fa28bce358e5596bc8d47134de12b,3.0,Attempt,wall-back-wall,1045.1,
2019-11-20,White,5.11d,2cf275368462dae66a937154f6718d24,3.0,Attempt,wall-back-wall,1167.3,
2019-11-20,Blue,5.11c,8f8cc5963c1a08c1c33362ae85c7ab80,3.0,Attempt,wall-back-wall,388.4,
