date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-31,Red,V6,dc61f6cb7758fe209cc87b51d91a8c7c,5.0,Red Point,wall-boulders,667.3,
2019-03-31,Tan,V6,39d7cc3863f134ac2019fd23f328a602,4.0,Red Point,wall-boulders,423.0,
2019-03-31,Yellow,V5,9bfe189ff27a669cfa654a2dc0e1ef0b,3.0,Flash,wall-boulders,505.7,
2019-03-31,Pink,V3,04c105b247f2b2aca35d61603c64076d,3.0,Flash,wall-boulders,505.7,
2019-03-31,Blue,V2,1bfcbbb7b86a01cd8f3df464324c119b,3.0,Flash,wall-boulders,505.7,
2019-03-31,Yellow,V3,290be8894860118db93a80cb35462d00,3.0,Flash,wall-boulders,288.8,
2019-03-31,White,V5,c88d66943cc3a0a1a2ee5b954c9031a0,3.0,Flash,wall-boulders,288.8,
2019-03-31,Black,V1,08bd1a59932d3af0f79668787c6bbd82,3.0,Flash,wall-boulders,288.8,
2019-03-31,Lime Green,V3,8cd50bbb7dd21823ab413928093e2737,3.0,Flash,wall-slab,192.9,
2019-03-31,Tan,V1,612d90963193dcadc5681f4aa1331e38,3.0,Flash,wall-slab,192.9,
2019-03-31,Yellow,V0,8ce2e4f6a6c58c146c17efba2974b0f1,3.0,Flash,wall-slab,118.8,
2019-03-31,Yellow,V0,f0547225528505dd3ca697fba0cdc849,3.0,Flash,wall-slab,118.8,
2019-03-31,White,V4,d19626fecd21ed6a10095c2e3df39222,3.0,Flash,wall-slab,48.7,
2019-03-24,Yellow,V4,190c8d77eb36201b90c6d1de4d1a518d,3.0,Red Point,wall-boulders,359.0,
2019-03-24,Purple,V7,e21492dc7dcacc67b94a50b2836b12c3,3.0,Red Point,wall-boulders,359.0,
2019-03-24,Tan,V3,3220b017e45b9605c77253d277e3e113,3.0,Flash,wall-boulders,288.8,
2019-03-24,Blue,V1,daeb99ef9934ba3a2b0a77c57283cbb6,3.0,Flash,wall-boulders,359.0,
2019-03-23,Red,V6,8a0164f8fcb2d1c47f065d1d8f8c03b6,5.0,Flash,wall-slab,192.9,
2019-03-23,Black,V2,f1fa4a29d7421f0333ba36eb2a96d87b,3.0,Flash,wall-slab,192.9,
2019-03-23,Red,V7,c705dd8cfffd168c1af9b139339e4cc4,5.0,Red Point,wall-slab,48.7,
2019-03-23,Lime Green,V1,e5367a6032cca7b075d35b5265c4c244,3.0,Flash,wall-slab,48.7,
2019-03-23,Pink,V3,2ebb3bf712050b80ab96cbd63fba19c8,3.0,Red Point,wall-boulders,793.8,
2019-03-23,White,V4,cf3a34cb79a232e87770f411f1bf99d0,3.0,Flash,wall-boulders,793.8,
2019-03-23,Blue,V1,97d7fac0cfdeff320275de843417689c,3.0,Flash,wall-boulders,793.8,
2019-03-23,Purple,V3,86c2fd9fbbe4a0512f792bb264dc2b9d,3.0,Flash,wall-boulders,793.8,
2019-03-23,White,V3,44c8ef6321e34bf30a34b86764468681,3.0,Flash,wall-boulders,736.4,
2019-03-23,Black,V3,355219e07963f26349b7b163171f02ff,3.0,Flash,wall-boulders,581.0,
2019-03-23,Lime Green,V6,b076ddae2f1bb88d3daaeda6fe31048e,4.0,Red Point,wall-boulders,581.0,
2019-03-23,Yellow,V0,560bddfb714ae709e0b55fc8c01946ba,3.0,Flash,wall-boulders,581.0,
2019-03-23,White,V4,1f737a110f5a69dc64aa756d5d2e7fa0,3.0,Flash,wall-boulders,359.0,
2019-03-23,White,V4,1f737a110f5a69dc64aa756d5d2e7fa0,3.0,Red Point,wall-boulders,359.0,
