date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-15,Blue,5.6,c9f71554a7654974ca62c7608d9919fd,,Red Point,wall-auto-belay,222.1,
2020-02-15,Blue,5.6,c9f71554a7654974ca62c7608d9919fd,,Red Point,wall-auto-belay,222.1,
2020-02-15,Purple,5.9,3eab6c30f79c688587a7605616de59ec,,Red Point,wall-auto-belay,196.9,
2020-02-15,White,5.7,f9897b7c38dfe55cae6bd3abc44b9ac7,,Onsight,wall-auto-belay,391.8,
2020-02-15,Pink,5.8,e4574f248eadd10bb87057c63b009400,,Onsight,wall-auto-belay,364.2,
2020-02-15,Purple,5.9,e280d846eb5e31f55e1fcac12bc07cf4,,Onsight,wall-auto-belay,389.2,
2020-02-15,Yellow,5.10b,93dc298f9659086b95b642c7d256a905,,Onsight,wall-auto-belay,362.9,
2020-02-15,Blue,5.6,5901fe16b48c35f13d025f6d10678d8c,,Onsight,wall-auto-belay,361.6,
2020-02-15,Pink,V1,183e51b50241ab343b6f18d216abba16,,Flash,wall-boulders,359.0,
2020-02-15,Yellow,V0,46dc20b9a3055906ab3241d337407ad9,,Flash,wall-boulders,288.8,
2020-02-15,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Flash,wall-boulders,161.2,
2020-02-15,Pink,5.8,2d293d50d42c8ea7cb8657c85d038b74,,Red Point,wall-auto-belay,302.7,
2020-02-15,Purple,5.7,89628ea4002f05c5a1550bdc688d1c76,,Red Point,wall-auto-belay,273.1,
2020-02-13,Lime Green,V1,5aed781f9fde1b16bc1fc2098c0fb9bd,,Flash,wall-boulders,793.8,
2020-02-13,Yellow,V0,fd4da02fc305527a87d34fc9b01a0b5c,,Flash,wall-boulders,793.8,
2020-02-13,Red,5.10c,f2eb3aa854b39dfd914b364e8de3ce25,,Red Point,wall-auto-belay,173.7,
2020-02-13,Black,V0,289f13c1fad993636aa750a046134026,,Flash,wall-mezzanine,39.7,
2020-02-13,Lime Green,V1,a488a6fe1a733e451898ad335d13d216,,Flash,wall-mezzanine,39.7,
2020-02-13,White,V2,a6832f00cfee2016daa46b26ce7e0b1a,,Flash,wall-mezzanine,39.7,
2020-02-13,Pink,V0,978a660473cb36223b2453d1800623cd,,Flash,wall-mezzanine,114.6,
2020-02-13,Black,V1,00d5a16a93a1d4a569dc49cb4ac53816,,Flash,wall-mezzanine,114.6,
2020-02-07,Yellow,5.9,3021190a0ebf59022e0ab7505e4fe242,,Onsight,wall-auto-belay,249.8,
2020-02-07,Lime Green,5.8,dca9bc49aa2763359ed82794ff4a8c51,,Onsight,wall-auto-belay,223.4,
2020-02-07,Blue,5.6,c9f71554a7654974ca62c7608d9919fd,,Onsight,wall-auto-belay,222.1,
2020-02-07,Tan,5.8,2e4475cf1e07521134148bdbd8d61c98,,Onsight,wall-auto-belay,174.9,
2020-02-07,Purple,5.9,3eab6c30f79c688587a7605616de59ec,,Onsight,wall-auto-belay,196.9,
2020-02-07,White,5.7,38eb1fcb06373c94bde4290113082f0f,,Onsight,wall-auto-belay,195.7,
2020-02-07,Lime Green,5.6,f4bbc735651e7ef9d2853424e3216037,,Onsight,wall-auto-belay,343.2,
2020-02-07,Grey,5.9,a681f7f13982adc21a3eaaf509c504ac,,Onsight,wall-auto-belay,340.4,
2020-02-07,Pink,5.8,2d293d50d42c8ea7cb8657c85d038b74,,Onsight,wall-auto-belay,302.7,
2020-02-07,Purple,5.7,89628ea4002f05c5a1550bdc688d1c76,,Onsight,wall-auto-belay,273.1,
2020-02-07,Grey,5.8,c9182c1e94a2fc1ea631de561b77c066,,Onsight,wall-auto-belay,271.8,
2020-02-07,Red,5.7,720ece40522b26468b906492321794d0,,Onsight,wall-auto-belay,251.1,
