date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-04-10,Blue,V3,3c0c6f6a22c8d9aa895ce223c3514b9b,5.0,Red Point,wall-boulders,288.8,
2019-04-10,Black,V3,45932421bbcc8b1ca05501d61bc370c2,5.0,Red Point,wall-boulders,288.8,
2019-04-10,Yellow,V0,560bddfb714ae709e0b55fc8c01946ba,4.0,Flash,wall-boulders,581.0,
2019-04-10,Lime Green,V3,c9869e726e76031360b4b408cdbc43e8,5.0,Flash,wall-boulders,793.8,
2019-04-10,Yellow,V0,8ce2e4f6a6c58c146c17efba2974b0f1,4.0,Flash,wall-slab,118.8,
2019-04-10,Lime Green,V1,e5367a6032cca7b075d35b5265c4c244,4.0,Flash,wall-slab,48.7,
2019-04-10,Yellow,V1,3eb82755c853d4f14b2bdec574056e56,4.0,Flash,wall-boulders,288.8,
2019-04-04,Black,V2,f1fa4a29d7421f0333ba36eb2a96d87b,4.0,Flash,wall-slab,192.9,
2019-04-04,Black,V1,08bd1a59932d3af0f79668787c6bbd82,4.0,Flash,wall-boulders,288.8,
2019-04-04,Blue,V1,daeb99ef9934ba3a2b0a77c57283cbb6,4.0,Flash,wall-boulders,359.0,
2019-04-04,White,V4,d19626fecd21ed6a10095c2e3df39222,5.0,Red Point,wall-slab,48.7,
2019-04-04,Blue,V2,1bfcbbb7b86a01cd8f3df464324c119b,5.0,Red Point,wall-boulders,505.7,
2019-04-04,Tan,V1,612d90963193dcadc5681f4aa1331e38,5.0,Red Point,wall-slab,192.9,
2019-04-04,Tan,V0,1cbc311fe7a1b30dfba8b9d4c6184c6a,4.0,Flash,wall-mezzanine,39.7,
2019-04-01,Tan,5.6,33a9a36df96d83a287cdf2fe1abfc6bc,4.0,Top Rope,wall-auto-belay,251.1,
2019-04-01,White,5.7,f995c2815700f698fe1cec2996eee649,4.0,Top Rope,wall-auto-belay,174.3,
2019-04-01,Yellow,5.7,966c5d90026c88617bd8924dd4978fca,5.0,Top Rope,wall-auto-belay,304.0,
2019-04-01,Blue,5.5,99d687a3caf41aab9c73809769394aec,5.0,Top Rope,wall-auto-belay,343.2,
2019-04-01,White,5.8,11cb2c909ceecb6dfea8393b8d3ec3b3,4.0,Top Rope,wall-auto-belay,274.3,
2019-04-01,Lime Green,5.10d,926ef63614761c2fe9c4a2052fd3a0c0,5.0,Top Rope,wall-auto-belay,303.3,
2019-04-01,Red,5.10a,77310b734169479ba2bfaf616b222e5e,5.0,Top Rope,wall-auto-belay,273.7,
