date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-14,Tan,V3,eee0915b91eae098473431d3c95a2733,3.0,Flash,wall-boulders,359.0,
2019-11-14,Purple,V4,43857739f50195be5c0f62c4c0ca9cef,3.0,Red Point,wall-boulders,288.8,
2019-11-14,Pink Right,V5,456d312c78ca1b8a319c89b90eb4b545,3.0,Flash,wall-boulders,288.8,
2019-11-14,Blue,V3,2e7955d39151a01169eb9191b437da98,3.0,Flash,wall-boulders,288.8,
2019-11-14,Yellow,V4,edd0e9f4d6e5d21853fb8258aa8b03bd,3.0,Red Point,wall-boulders,288.8,
2019-11-14,Tan,V0,24b584cbb5e63a05e55b8892182e55c8,3.0,Flash,wall-boulders,288.8,
2019-11-14,Red,V3,9d0d450fcd34187a7f5707b6be3d40b7,3.0,Flash,wall-boulders,288.8,
2019-11-14,Pink Left,V4,732360242b3208853b2ff870dfd4ae59,3.0,Red Point,wall-boulders,359.0,
2019-11-14,Black,V1,381fba7b16aaefee8bbce0d27927aa83,3.0,Flash,wall-boulders,288.8,
2019-11-14,Blue,V2,e9c4b1cf0f8d06cc148fd2523d6c48a5,3.0,Flash,wall-boulders,359.0,
2019-11-14,Yellow,V2,b82a5e0791a7374473f9d168504998a4,3.0,Flash,wall-boulders,359.0,
2019-11-05,Lime Green,V1,c77dae2b30e8a996171695d39eea2b20,3.0,Flash,wall-mezzanine,39.7,
2019-11-05,Red,V3,a9b49495b85fefdbdcbabb5e6173d638,3.0,Flash,wall-mezzanine,39.7,
2019-11-05,Yellow,V2,4853c6bdcae8971aa42abadedfbaf3b7,3.0,Flash,wall-mezzanine,39.7,
2019-11-05,Blue,V5,26ff876291b6a16351c87b3c324a2623,3.0,Red Point,wall-mezzanine,39.7,
2019-11-05,Pink,V4,d8f4c48f962cd60cd72d3952ec585577,3.0,Red Point,wall-mezzanine,39.7,
2019-11-05,Tan,V3,96e32d384c12081f590bd5d68974cb6b,3.0,Flash,wall-mezzanine,114.6,
2019-11-05,Red,V4,6c0df1ab2ad03b661353483f07f34ba3,3.0,Red Point,wall-mezzanine,114.6,
2019-11-05,Black,V3,a56ab2dfa2c7e76d5f11fd42e8e4e927,3.0,Red Point,wall-mezzanine,114.6,
2019-11-05,Tan,V3,96e32d384c12081f590bd5d68974cb6b,3.0,Attempt,wall-mezzanine,114.6,
2019-11-05,White,V3,2ed61d0a3b39cc297b2c2404a27121ac,3.0,Flash,wall-mezzanine,39.7,
