date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-23,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,,Red Point,wall-island,366.1,
2020-09-23,Pink,3-4,d4ca40b4e71640f3d95bdd8183a746da,,Red Point,wall-island,108.8,
2020-09-23,Yellow,5.9,7bbdbfd8025e632fe4ea575e1f894c53,,Red Point,wall-red,133.9,
2020-09-23,Yellow,5.9,7bbdbfd8025e632fe4ea575e1f894c53,,Red Point,wall-red,133.9,
2020-09-23,Pink,5.7,b4ee924464792093e328391131f0c224,,Red Point,wall-back-wall,1410.1,
2020-09-17,Tan,5.8,335db78ef8350363d2c9d1e68c03c6aa,,Red Point,wall-back-wall,829.3,
2020-09-17,Tan,5.8,a97bac0b9da6811daf7502198eca5b97,,Red Point,wall-red,175.1,
2020-09-17,Yellow,5.9,7bbdbfd8025e632fe4ea575e1f894c53,,Red Point,wall-red,133.9,
2020-09-17,Tan,5.8,a97bac0b9da6811daf7502198eca5b97,,Red Point,wall-red,175.1,
2020-09-17,Lime Green,5.8,13ccc17e352a2bd76825c1ce86e0218f,,Red Point,wall-back-wall,1433.3,
2020-09-17,Yellow,5.8,7cffc82db102b3b458d93ec9c54eb74f,,Red Point,wall-red,26.8,
2020-09-14,Yellow,5.8,7c2bf0c77c87dd4a16094c10df3c2fc9,,Red Point,wall-back-wall,1097.8,
2020-09-14,Purple,5.8,73b7b24800347c39cf310d82bf48d4d3,,Red Point,wall-back-wall,1140.9,
2020-09-14,Black,5.9,dd84eed25e163e9802073c51914af5e7,,Red Point,wall-back-wall,1201.3,
2020-09-14,Tan,5.8,d0a6bb5fdecca385c07a20ac8382ae58,,Red Point,wall-island,126.0,
2020-09-14,Lime Green,5.8,c3ee5de86f10c0ce9c2b44cd168453c7,,Red Point,wall-island,470.0,
2020-09-12,Yellow,5.9,7bbdbfd8025e632fe4ea575e1f894c53,,Red Point,wall-red,133.9,
2020-09-12,Lime Green,5.8,75399cbcda30a4556bb8f3794dfed503,,Red Point,wall-island,75.0,
2020-09-12,Purple,5.9,e84f9a9c7d16f4e80a6d667b2972eb2c,,Red Point,wall-back-wall,870.9,
2020-09-04,Lime Green,5.8,92b410d2108a02340eda485cc78dcd4e,,Red Point,wall-island,162.0,
2020-09-04,Tan,5.8,335db78ef8350363d2c9d1e68c03c6aa,,Red Point,wall-back-wall,829.3,
2020-09-04,White,5.9,8c61faac65f3917cc84e5c325c4a8fce,,Red Point,wall-island,91.7,
2020-09-04,Yellow,5.6,18b33366ff0873d94fe51f2e1f4c8b6b,,Red Point,wall-back-wall,1434.8,
2020-09-04,Black,5.9,dd84eed25e163e9802073c51914af5e7,,Red Point,wall-back-wall,1201.3,
2020-09-02,Black,5.7,2e0daaab08a4e68477243b44f4d308c9,,Red Point,wall-back-wall,923.3,
2020-09-02,Lime Green,5.7,5bb665bc5ab009b62711d7294fbe660f,,Red Point,wall-back-wall,993.7,
2020-09-02,Purple,5.8,8728d2950f2038ae5c14b3b80f164708,,Red Point,wall-red,263.2,
2020-09-02,Yellow,5.7,4951c155dc64c969e7a30edd2b798294,,Red Point,wall-island,106.8,
2020-09-02,Pink,5.7,b4ee924464792093e328391131f0c224,,Red Point,wall-back-wall,1410.1,
