date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-22,Yellow,5.10a,67e362343df363e6b731b8147bfb466f,5.0,Top Rope,wall-island,92.7,
2020-02-22,Purple,5.10a,24d62bc6af306d6953b346f8c7e568de,5.0,Top Rope,wall-auto-belay,496.8,
2020-02-22,Lime Green,5.10a,6db84815dd0ddb03bb661f42c4bfca41,5.0,Top Rope,wall-red,24.0,
2020-02-22,White,5.10b,f381f8b579a5d66a67e333eed2c61a48,5.0,Top Rope,wall-island,590.5,
2020-02-22,Black,5.9,a77556ed377856515da5a2931643816b,5.0,Top Rope,wall-red,80.7,
2020-02-22,White,5.10a,46699f0628862cbc3ab6a2fe0fcda774,4.0,Top Rope,wall-back-wall,969.6,
2020-02-22,Tan,5.10a,d4bbbe4dd8644ecad075bbbc13256f34,3.0,Top Rope,wall-island,561.5,
2020-02-22,Blue,5.9,f7b7bdbc4af424ed56558c2b4fa9de08,4.0,Top Rope,wall-back-wall,995.5,
2020-02-15,Pink,5.8,2d293d50d42c8ea7cb8657c85d038b74,,Top Rope,wall-auto-belay,302.7,jumped around the lip
2020-02-15,Yellow,5.10b,93dc298f9659086b95b642c7d256a905,5.0,Top Rope,wall-auto-belay,362.9,
2020-02-15,Black,5.11a,b0073eb2f1133f75399de97c21ef7829,,Top Rope,wall-auto-belay,248.5,
2020-02-15,Pink,5.10d,62f662aa04896bf06e69b313b7f8a03c,4.0,Top Rope,wall-auto-belay,220.8,crimps vs slopers
2020-02-15,Red,5.10c,f2eb3aa854b39dfd914b364e8de3ce25,5.0,Top Rope,wall-auto-belay,173.7,
2020-02-15,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,5.0,Onsight,wall-back-wall,70.9,
2020-02-15,Blue,5.9,4aced0bf3c7e214843fcb490d33c4e47,5.0,Onsight,wall-back-wall,56.0,
2020-02-15,Yellow,5.8,42a5556236596257a4756dcdb3807304,4.0,Onsight,wall-island,528.5,all right hand clips
2020-02-15,Blue,5.10c,95a0970d2f161e8a22bfe127a4c5899c,,Top Rope,wall-auto-belay,304.0,
2020-02-15,Purple,5.9,3eab6c30f79c688587a7605616de59ec,,Top Rope,wall-auto-belay,196.9,
2020-02-15,Yellow,5.9,3021190a0ebf59022e0ab7505e4fe242,,Top Rope,wall-auto-belay,249.8,
2020-02-15,Grey,5.9,a681f7f13982adc21a3eaaf509c504ac,,Top Rope,wall-auto-belay,340.4,
2020-02-15,Purple,5.9,e280d846eb5e31f55e1fcac12bc07cf4,,Top Rope,wall-auto-belay,389.2,
2020-02-15,Pink,5.8,e4574f248eadd10bb87057c63b009400,,Top Rope,wall-auto-belay,364.2,
2020-02-15,Yellow,5.9,3021190a0ebf59022e0ab7505e4fe242,,Top Rope,wall-auto-belay,249.8,
2020-02-15,Purple,5.9,3eab6c30f79c688587a7605616de59ec,,Top Rope,wall-auto-belay,196.9,
2020-02-15,Blue,5.10c,95a0970d2f161e8a22bfe127a4c5899c,,Top Rope,wall-auto-belay,304.0,
2020-02-15,Yellow,5.8,42a5556236596257a4756dcdb3807304,4.0,Onsight,wall-island,528.5,all right hand clips
2020-02-15,Blue,5.9,4aced0bf3c7e214843fcb490d33c4e47,5.0,Onsight,wall-back-wall,56.0,
