date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-28,Black,V4,3780a16a30925d61c5e9b9a206d04867,3.0,Flash,wall-boulders,161.2,
2019-07-28,Blue,V3,20578db1d6fea207ca9d5dfd11cce5f6,3.0,Red Point,wall-boulders,161.2,
2019-07-28,White,V3,9bbc2e3293d69160945d5794d3e14b3b,3.0,Red Point,wall-boulders,87.1,
2019-07-28,White,V0,fd3f4e2e0f09615464bae5ba07f9ee81,3.0,Flash,wall-boulders,87.1,
2019-07-28,Black,V0,66e3b2861fb139e80c0f70a3db293211,3.0,Flash,wall-boulders,222.0,
2019-07-28,Blue High,V4,7d4d846bba97f79a489db2b10512b09e,3.0,Attempt,wall-boulders,423.0,
2019-07-28,Blue,V4,a46a976281521c6f49d3e5918b59ea89,3.0,Attempt,wall-boulders,581.0,
2019-07-28,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,3.0,Red Point,wall-boulders,736.4,
2019-07-28,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,3.0,Red Point,wall-boulders,736.4,
2019-07-28,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,3.0,Attempt,wall-boulders,736.4,
2019-07-23,Tan,V2,ada64d772fcb7bba68c9d03e554d647a,3.0,Flash,wall-boulders,423.0,
2019-07-23,Purple,V3,fa20e853677820c14affc8a3114ecd5a,3.0,Attempt,wall-boulders,423.0,
2019-07-23,Black,V3,6d6103c0004d53dd3f364525450f0ed8,3.0,Attempt,wall-slab,192.9,
2019-07-23,Yellow,V2,024ac2ea91f9dadde2a830106ba6576c,3.0,Flash,wall-slab,192.9,
2019-07-23,Lime Green,V1,f945c9a6a1b77e8d81c5c95890e65672,3.0,Flash,wall-slab,192.9,
2019-07-23,Tan,V3,1bbf3783a9ae92700503fb1ba84bc5db,3.0,Red Point,wall-slab,118.8,
2019-07-23,White,V2,fe83d69e47a63aca4fac26c673570a33,3.0,Flash,wall-slab,118.8,
2019-07-23,Black,V4,4d57466edd49bb5d783b1ddb42928579,3.0,Red Point,wall-slab,118.8,
2019-07-23,Yellow,V1,7531357f5562b837cb424c0a37b1fe29,3.0,Flash,wall-slab,118.8,
2019-07-23,Tan,V0,bb92a89554504aa6c3147433d9a18d52,3.0,Flash,wall-slab,48.7,
2019-07-18,Red,V1,51d8673246bb3453d7277b103df5bfc0,3.0,Flash,wall-slab,118.8,
2019-07-18,Yellow,V3,8bb82755b24c03843ffa8450a46bf7e8,3.0,Flash,wall-slab,48.7,
2019-07-14,Tan,V2,661b31e0eb064cc9b914c403f6a78248,3.0,Flash,wall-boulders,359.0,
2019-07-14,White,V2,30008c548df083af64980795154ba480,3.0,Flash,wall-boulders,288.8,
2019-07-14,Tan,V1,96292de46b4e248fabcbcd66b2debb12,3.0,Flash,wall-boulders,288.8,
2019-07-14,Yellow,V0,f0023a9020b734a4863762f380a4bfa4,3.0,Flash,wall-boulders,288.8,
2019-07-14,Tan,V3,ef3dd7a6f60cb3a959c9e6ecd8e4d120,3.0,Red Point,wall-boulders,161.2,
2019-07-14,Black,V1,375c381ba71d171854d3f99d4664192c,3.0,Flash,wall-boulders,161.2,
2019-07-14,Lime Green,V3,f0f6ffbf9081ddbc8493d256832b1038,3.0,Attempt,wall-boulders,161.2,
2019-07-14,Blue,V3,a85978f425bcd501c86667670d9c50ff,3.0,Red Point,wall-boulders,87.1,
2019-07-14,Red,V0,5f4b7da78ee928210ad061f05c5f0ae7,3.0,Flash,wall-boulders,87.1,
2019-07-14,Yellow,V1,b6330542ed4c5f204a0e49244999f4e0,3.0,Flash,wall-boulders,87.1,
2019-07-14,White RIGHT,V1,56d9121a64ba143f52508a934f0de558,3.0,Flash,wall-boulders,87.1,
2019-07-14,White,V2,de0fb48481d9886c19b13e9743dee092,3.0,Flash,wall-boulders,222.0,
2019-07-14,Pink,V2,9c18bcd4d43a9be39b94dd354f427a08,3.0,Flash,wall-boulders,87.1,
2019-07-14,Yellow,V4,b1c7091b162d86db5ef9c1e5a940d84d,3.0,Attempt,wall-boulders,222.0,
2019-07-14,White,V1,7cf75fef8979ae389e2b7c960668e4d4,3.0,Flash,wall-boulders,581.0,
2019-07-14,Lime Green,V0,00e85a17ac2b01aecbb44ee0964f931b,3.0,Flash,wall-boulders,581.0,
