date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-19,Yellow,5.10b,f7a74c7895e5994f94e4d34529a4f969,,Onsight,wall-back-wall,69.3,
2020-09-19,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,,Onsight,wall-island,366.1,
2020-09-19,White,5.10a,c2c520bd083b66a00aae9c0e217220fe,,Onsight,wall-island,396.5,
2020-09-19,Tan,5.9,b39db1e8a1fd6caffa17dffce744c88b,,Onsight,wall-island,44.3,
2020-09-19,Black,5.9,3b7306399e317bcd29aa1ce67c4ef924,,Onsight,wall-island,59.4,
2020-09-17,Red,5.11a,4f7a36f8c003158da3e7a1b5e816a279,,Top Rope,wall-island,141.6,
2020-09-17,Yellow,5.10b,0886629f8fd1fd678b16829a7c9a7ace,,Onsight,wall-island,164.0,
2020-09-17,White,5.10d,308e5bfc1e6c061aa7a61cc14793a22d,,Top Rope,wall-island,327.1,
2020-09-17,Red,5.10b,40d8e9dd2e87a321813155dfd7c2dce6,,Red Point,wall-island,340.5,
2020-09-17,Lime Green,5.10c,ad18e73705b8a63e1470345dbe4cbbf7,,Red Point,wall-back-wall,684.0,
2020-09-16,Purple,5.10a,7686dd33ac41882e9c0df14eb5c14238,,Red Point,wall-island,591.4,
2020-09-13,Lime Green,5.10a,6a8af2f7f41d44a8ea1a7c07fbe8fe7c,,Onsight,wall-auto-belay,302.1,
2020-09-13,Grey,5.7,98dc63ed8269b15bf9e21bc676d43891,,Onsight,wall-auto-belay,301.4,
2020-09-13,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Onsight,wall-auto-belay,274.3,
2020-09-13,Red,5.9,127f1ae2c934a4277abccfa265c0088a,,Onsight,wall-auto-belay,222.7,
2020-09-13,Pink,5.10b,8a9064e6605f5da74147714a38ecb463,,Red Point,wall-auto-belay,174.3,
2020-09-13,Yellow,V2,edbd9901b9a1b6e1ace17defaec1363f,,Flash,wall-slab,48.7,
2020-09-08,Pink,5.10c,5bea34eb86296f217c94bf280d79ea99,,Top Rope,wall-back-wall,221.1,
2020-09-08,White,5.10a,00327bfe261f835f23930ab7b482f28c,,Top Rope,wall-back-wall,896.6,
2020-09-08,Tan,5.10c,7567db21bee501f0f11bc06db322891f,,Top Rope,wall-island,422.5,
2020-09-08,White,5.9,8c61faac65f3917cc84e5c325c4a8fce,,Top Rope,wall-island,91.7,
