date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-31,Pink,5.10c,2d2d89f2311a4e8b466c58fe5eaca437,3.0,Top Rope,wall-island,560.7,
2019-07-31,Black,5.10d,96722ec5a6af4b7ab12468b453c4ea09,3.0,Attempt,wall-back-wall,190.5,
2019-07-31,Yellow,5.8,369a5419ddb01298ade786991f54304b,3.0,Onsight,wall-back-wall,-0.7,
2019-07-31,Purple,5.8,28cfe40c754fd71eb7e364bc41ad867a,3.0,Onsight,wall-island,365.2,
2019-07-31,Red,5.9,b11aa27aae898c8e7da38b7dfc5f35a8,3.0,Attempt,wall-back-wall,165.3,
2019-07-31,Yellow,5.10c,74b2961a251ccacd600fcedfae19a33d,3.0,Attempt,wall-back-wall,69.3,
2019-07-31,Purple,5.10c,b1aefff0a92480d7f980b36c205c56d6,3.0,Attempt,wall-back-wall,37.7,cheated
2019-07-25,Yellow,5.10c,e7c296afc127bfb19463730d86c1d068,3.0,Attempt,wall-island,327.1,
2019-07-24,White,5.9,bc6c2af75115565987b6a9cad5d7f3f6,3.0,Red Point,wall-island,420.7,
2019-07-24,Blue,5.9,90aa23562cd1f9327d6fede78e6a38e5,3.0,Onsight,wall-back-wall,221.9,
2019-07-24,Red,5.9,5dc58c27bb35f4a6eb21c3a77365db1b,3.0,Attempt,wall-back-wall,56.0,
2019-07-24,Pink,5.10a,c6e6e4c51e6838bf7899cdc8e34062bc,3.0,Top Rope,wall-back-wall,108.7,
2019-07-24,White,5.10a,f6178ef1d0e9f4f4b431497931012dc5,3.0,Attempt,wall-island,353.3,
2019-07-24,Pink,5.10b,4e5abaa94c4b0f4d233c781b96113ba4,3.0,Attempt,wall-back-wall,871.9,
2019-07-24,White,5.10a,5db6ac34b55de2063fb4b4f698eff163,3.0,Attempt,wall-back-wall,894.6,need to get clean
