date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-31,Yellow,5.8,3092485929d271da6e675e264546da34,3.0,Onsight,wall-island,92.7,
2019-03-31,Red,5.10c,abdb1b3f923fc75fafd4c615792975ed,3.0,Flash,wall-red,231.5,
2019-03-31,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,3.0,Onsight,wall-red,132.5,
2019-03-31,Black,5.10c,7bad11631bf9889682bd47185364030d,3.0,Flash,wall-red,80.7,
2019-03-31,Blue,5.10d,035a20935302d087ae0530ba1bc26774,3.0,Flash,wall-red,25.4,
2019-03-31,Black,5.7,8e83eff3b207cb27fd2d565e1c7bbffc,3.0,Onsight,wall-back-wall,1377.6,
2019-03-27,Red,5.8,8320601d1d82745e265062f782da8b73,3.0,Onsight,wall-auto-belay,342.5,
2019-03-27,Black,5.9,ab1d196333bdaeb3d6c753583a726bda,3.0,Onsight,wall-auto-belay,222.7,
2019-03-27,Yellow,5.7,966c5d90026c88617bd8924dd4978fca,3.0,Onsight,wall-auto-belay,304.0,
2019-03-27,Red,5.10a,77310b734169479ba2bfaf616b222e5e,3.0,Onsight,wall-auto-belay,273.7,
2019-03-27,Lime Green,5.10d,926ef63614761c2fe9c4a2052fd3a0c0,3.0,Onsight,wall-auto-belay,303.3,
2019-03-27,Blue,5.10c,28d920011c90248d182ed9653d3a6740,3.0,Red Point,wall-auto-belay,249.8,
2019-03-27,Purple,5.10c,0a513bf8540486ffd7bec190680635b4,3.0,Flash,wall-auto-belay,198.2,
2019-03-27,White,5.7,f995c2815700f698fe1cec2996eee649,3.0,Flash,wall-auto-belay,174.3,
2019-03-27,White,5.8,11cb2c909ceecb6dfea8393b8d3ec3b3,3.0,Onsight,wall-auto-belay,274.3,
2019-03-27,Yellow,5.9,45a7004461d8305f97d82064a54e92be,3.0,Onsight,wall-auto-belay,250.5,
2019-03-21,Blue,V1,97d7fac0cfdeff320275de843417689c,3.0,Flash,wall-boulders,793.8,
2019-03-21,Yellow,5.9,f5470d5285b058129e49a4d28f3f4a4f,3.0,Onsight,wall-back-wall,741.6,
2019-03-21,Red,5.10c,39caf7303cf1bcd9a0aa53fd62bbabb2,3.0,Onsight,wall-island,340.5,
2019-03-21,Pink,V3,2ebb3bf712050b80ab96cbd63fba19c8,3.0,Red Point,wall-boulders,793.8,
2019-03-21,Blue,V2,1bfcbbb7b86a01cd8f3df464324c119b,3.0,Flash,wall-boulders,505.7,
2019-03-21,Blue,V1,daeb99ef9934ba3a2b0a77c57283cbb6,3.0,Flash,wall-boulders,359.0,
2019-03-21,Lime Green,V3,8cd50bbb7dd21823ab413928093e2737,3.0,Red Point,wall-slab,192.9,
2019-03-21,Lime Green,V1,e5367a6032cca7b075d35b5265c4c244,3.0,Flash,wall-slab,48.7,
2019-03-21,White,V4,d19626fecd21ed6a10095c2e3df39222,3.0,Red Point,wall-slab,48.7,
2019-03-14,Pink,5.11b,f524e04704e83bb1efe946d418f9678f,3.0,Attempt,wall-red,110.4,
2019-03-14,White,5.10c,c02a991b9b9d1019d837898526cb9862,3.0,Attempt,wall-island,528.5,
2019-03-14,Black,5.10b,9afc1b1af77ceff0009d5b46b3a4556e,3.0,Onsight,wall-island,420.7,
2019-03-14,Lime Green,5.7,11dde1fc9c345dfa3aa0fff636444eca,3.0,Onsight,wall-auto-belay,197.6,
2019-03-14,White,5.7,f995c2815700f698fe1cec2996eee649,3.0,Onsight,wall-auto-belay,174.3,
2019-03-14,Blue,5.8,963ce19ee1492d6af81513af4fc3923b,3.0,Onsight,wall-back-wall,-1.5,
2019-03-14,Purple,5.10a,7c8653bdef5933fd9a4b7bba4af0e988,3.0,Onsight,wall-back-wall,56.8,
2019-03-14,Blue,5.10b,757c2879f0facdefa778886e8ba8446c,3.0,Attempt,wall-back-wall,1274.1,
2019-03-12,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Flash,wall-auto-belay,249.2,
2019-03-12,Blue,5.10d,362a23a312cc3a787775525d1c4e0142,3.0,Flash,wall-auto-belay,302.7,
2019-03-12,Black,5.10c,93f36edd9f4742e31d36d73b6b6944a8,3.0,Onsight,wall-auto-belay,173.7,
2019-03-12,Blue,5.10d,2aefb6c2f4fe3f1a89316559c6c075ad,3.0,Flash,wall-auto-belay,248.5,
2019-03-10,Blue,5.10a,1bbabbfcc57ae01cfe00198c98e00cbb,3.0,Onsight,wall-auto-belay,418.8,
2019-03-10,Black,5.10c,caaba158e9816b096bda6ea740f13588,3.0,Onsight,wall-back-wall,86.3,
2019-03-07,Lime Green,5.9,69882caa5c9aef62e5dcdb9c30d2a10d,3.0,Onsight,wall-back-wall,791.7,
2019-03-07,Tan,5.9,e4fb80aef2441a4cbcca37a8b0b089ac,3.0,Onsight,wall-back-wall,108.7,
2019-03-07,Lime Green,5.10b,cec048e02a0a9819c3192438f1552d50,3.0,Onsight,wall-back-wall,1141.8,
2019-03-07,Lime Green,5.8,de65ff0a08103b6268fa4c9e1ecd888e,3.0,Onsight,wall-back-wall,69.3,
2019-03-03,Black,5.10c,7bad11631bf9889682bd47185364030d,3.0,Flash,wall-red,80.7,
2019-03-03,White,5.8,c360c7fed24729d68ec8985ce6f8685f,3.0,Onsight,wall-red,79.7,
2019-03-03,Red,5.10c,abdb1b3f923fc75fafd4c615792975ed,3.0,Onsight,wall-red,231.5,
2019-03-02,White,5.8,f5e67ce5eeb8ded9d9033d8fd4473ec6,3.0,Onsight,wall-island,18.7,
2019-03-02,Black,5.9,7784f163a622e6737e043ac5d7457f8f,4.0,Onsight,wall-red,262.5,
2019-03-02,Tan,5.10a,d8fb004619c19429664e2429e738ab8a,3.0,Onsight,wall-red,109.7,
2019-03-02,Black,5.10c,7bad11631bf9889682bd47185364030d,3.0,Attempt,wall-red,80.7,
2019-03-02,Black,5.9,8e09a80af54389287e86c29f5eca88a5,3.0,Onsight,wall-island,227.5,
2019-03-02,Red,5.11b,dd4e1942251cb3932b126d2e626e3ff9,3.0,Attempt,wall-back-wall,1175.7,
2019-03-02,Purple,5.10d,223ecb2a652c2e3531218dd33d770336,3.0,Attempt,wall-back-wall,1310.0,
2019-03-02,Purple,5.9,1ea031b0e8515c999a2c4a10886cedf5,3.0,Onsight,wall-back-wall,1169.1,
