date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-12,Black,V6,05f86400d1ce6072c16a3d317acf0a62,4.0,Red Point,wall-boulders,793.8,banger
2019-02-12,Blue,V8,0ebd9aceadbd8b2889f3cb19ec6d8130,4.0,Red Point,wall-boulders,736.4,cool moves!
2019-02-12,Black,V6,831ff4b2eb73ae39a9c602ea4eb16564,4.0,Flash,wall-boulders,736.4,nice flow
2019-02-05,White,V6,5afc1e8fa9c0d7ad2a28c56aee141add,4.0,Flash,wall-slab,192.9,grading it against the 4 and 5s on the same set
2019-02-05,Purple,V8,c4d1215deaa7f2dab05be1ace2c92a61,4.0,Red Point,wall-slab,118.8,more then one way to get to Rome
2019-02-05,Tan,V5,b3aa8d94f751c7a68a32de98c1a85546,2.0,Flash,wall-slab,118.8,confused about what the actual beta is
2019-02-05,Pink,V4,b00efc7c0c386f3e167bd00218d9d41b,5.0,Red Point,wall-slab,118.8,slab climb at its finest
2019-02-05,White,V5,4773963ea1a0aa7b175699ceb757c468,3.0,Red Point,wall-slab,48.7,meh
2019-02-05,Red,V5,04f0c441069a8c5d203072b2edd3b2ae,3.0,Red Point,wall-slab,192.9,meh
2019-02-05,Blue,V4,c2b2b2197e87ae1d11ad4dedad08fc28,4.0,Flash,wall-slab,192.9,marshmallow
