date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-27,Purple,5.7,04d03c908674ac94d2e15bd8aaf58bf0,,Flash,wall-back-wall,829.3,
2020-02-27,Yellow,5.8,7c2bf0c77c87dd4a16094c10df3c2fc9,,Flash,wall-back-wall,1097.8,
2020-02-27,Blue,5.9,cbd680349f4447cdb1857e28cbece514,,Flash,wall-back-wall,1046.0,
2020-02-27,White,5.10a,ba03617a77e032e454377c3d58838db1,,Red Point,wall-back-wall,1069.1,
2020-02-27,Tan,5.9,8a6028040f0125396cee9f8d3d5c25ea,,Flash,wall-back-wall,322.3,
2020-02-27,White,5.8,d172daf54d05096b559d3c5787548234,,Flash,wall-back-wall,-2.4,
2020-02-27,Yellow,5.9,d2aa312133433efb9dab8c6359cc009a,,Flash,wall-back-wall,-0.7,
2020-02-27,Blue,5.9,4aced0bf3c7e214843fcb490d33c4e47,,Flash,wall-back-wall,56.0,
2020-02-27,Tan,5.9,b9cb1cf9ec9f75709e1890d93aafbd6b,,Flash,wall-back-wall,190.5,
2020-02-27,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,,Flash,wall-back-wall,70.9,
2020-02-27,White,5.7,f9897b7c38dfe55cae6bd3abc44b9ac7,,Flash,wall-auto-belay,391.8,
2020-02-27,Yellow,5.8,d15738920cab1d3734559dbcc5d2b5a3,,Flash,wall-back-wall,243.4,
2020-02-27,Pink,5.8,e4574f248eadd10bb87057c63b009400,,Flash,wall-auto-belay,364.2,
2020-02-27,Purple,5.9,e280d846eb5e31f55e1fcac12bc07cf4,,Flash,wall-auto-belay,389.2,
2020-02-27,Grey,5.7,20fd19c3ea5e69b5e3960e8d363ce6c4,,Flash,wall-fox,198.8,
2020-02-27,Blue,5.8,515807c843faf5d468b99cd99a9a0c6e,,Flash,wall-fox,197.3,
2020-02-27,Purple,5.8,57782037779dd464ddbceead7797bcde,,Flash,wall-fox,122.2,
2020-02-27,Grey,5.9,31c0f0213c9d82231c90f1a859e9435d,,Flash,wall-fox,65.7,
2020-02-27,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Red Point,wall-slab,192.9,
2020-02-27,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Attempt,wall-slab,192.9,
2020-02-27,Red,V1,4b1511edc5e8d3ffe7140693173fa049,,Red Point,wall-boulders,423.0,
2020-02-27,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Red Point,wall-slab,192.9,
2020-02-27,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Red Point,wall-boulders,161.2,
2020-02-27,Yellow,V3,e2022e18165b50136c13bc74ad3cbb99,,Attempt,wall-slab,192.9,
2020-02-27,Pink,V2,d21a5d8b879725a9bad86a67fff4ea29,,Red Point,wall-boulders,423.0,
2020-02-27,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,,Red Point,wall-boulders,87.1,
2020-02-27,Yellow,V3,6ab38b6e926c4f6a05c634847a3d59f2,,Red Point,wall-mezzanine,39.7,
2020-02-27,Red,V2,e6b2f56a916388b74d02e04908a162fc,,Red Point,wall-mezzanine,39.7,
2020-02-27,Yellow,V3,e7baec3392ef529bbc5a4a8edadac691,,Red Point,wall-mezzanine,39.7,
2020-02-27,White,V2,147d8ca3f32ca55777eb6d9ffb50cc52,,Red Point,wall-boulders,793.8,
2020-02-27,Pink,5.9,c2a6b39749cfd50eb6e1ae9ae0b0d300,,Red Point,wall-back-wall,741.6,
2020-02-27,Blue,5.9,f7b7bdbc4af424ed56558c2b4fa9de08,,Red Point,wall-back-wall,995.5,
2020-02-27,Lime Green,5.7,5bb665bc5ab009b62711d7294fbe660f,,Flash,wall-back-wall,993.7,
2020-02-27,Blue,5.9,f7b7bdbc4af424ed56558c2b4fa9de08,,Flash,wall-back-wall,995.5,
2020-02-27,Purple,5.9,b78eed444ec9192dd2f96b804492abed,,Flash,wall-back-wall,946.9,
2020-02-27,Tan,5.9,33d82a40a523fa360c5acb8d846a2140,,Flash,wall-back-wall,921.4,
2020-02-27,Red,5.9,417f6ae7ef91c804525a319030aea585,,Flash,wall-back-wall,871.9,
2020-02-27,Lime Green,5.8,10594556371853f56dc06019bd232dea,,Flash,wall-back-wall,870.9,
2020-02-26,Yellow,V0,46dc20b9a3055906ab3241d337407ad9,5.0,Red Point,wall-boulders,288.8,
2020-02-26,Pink,V1,183e51b50241ab343b6f18d216abba16,5.0,Red Point,wall-boulders,359.0,
2020-02-26,Tan,V2,25c4bb3056adf9efe04a669c321d4cc1,5.0,Red Point,wall-boulders,359.0,
2020-02-26,Black,5.9,dd84eed25e163e9802073c51914af5e7,,Flash,wall-back-wall,1201.3,
2020-02-26,Blue,V3,fc57de266615f969545394ac7e4e7a5a,,Red Point,wall-boulders,359.0,
2020-02-26,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Red Point,wall-slab,192.9,
2020-02-26,Blue,V0,4bcf0c78581adfc54be88a89560dbbf9,,Red Point,wall-slab,192.9,
2020-02-26,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Red Point,wall-boulders,161.2,
2020-02-26,Tan,V1,17206715a23e5c8fc03b11b83ad790ec,,Red Point,wall-slab,48.7,
2020-02-26,Lime Green,V0,7030e483fc8226ef35c0244926672edb,,Red Point,wall-slab,48.7,
2020-02-26,Yellow,V0,ced3345847c28d58e588ea76c908763b,,Red Point,wall-boulders,161.2,
2020-02-26,Red,V1,8cd5517f2c0150f64a59d9bfd05737e8,,Red Point,wall-slab,118.8,
2020-02-26,Black,V1,5b9d5be8269ec03906267a3bd1d5f9e5,,Red Point,wall-boulders,87.1,
2020-02-26,Black,V1,00d5a16a93a1d4a569dc49cb4ac53816,,Red Point,wall-mezzanine,114.6,
2020-02-26,Lime Green,V1,a488a6fe1a733e451898ad335d13d216,,Red Point,wall-mezzanine,39.7,
2020-02-26,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Red Point,wall-boulders,161.2,
2020-02-26,White,V2,a6832f00cfee2016daa46b26ce7e0b1a,,Red Point,wall-mezzanine,39.7,
2020-02-26,Black,V0,289f13c1fad993636aa750a046134026,,Red Point,wall-mezzanine,39.7,
2020-02-26,Tan,V0,81d8de61b948629e4906939bd04e8481,,Red Point,wall-boulders,581.0,
2020-02-26,Pink,V0,978a660473cb36223b2453d1800623cd,,Red Point,wall-mezzanine,114.6,
2020-02-26,Lime Green,V1,5aed781f9fde1b16bc1fc2098c0fb9bd,,Red Point,wall-boulders,793.8,
2020-02-26,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,,Red Point,wall-boulders,87.1,
2020-02-26,Blue,V2,aaa10bb717808023df910af93e6e3e3b,,Red Point,wall-slab,48.7,
2020-02-26,Red,V1,4b1511edc5e8d3ffe7140693173fa049,,Red Point,wall-boulders,423.0,
2020-02-26,Pink,V2,e459884c250f7aabc719c6d072015a42,5.0,Red Point,wall-slab,192.9,
2020-02-26,Yellow,V0,fd4da02fc305527a87d34fc9b01a0b5c,,Red Point,wall-boulders,793.8,
2020-02-26,White,V2,48cd062799dfaaa3e565d5e1670added,,Red Point,wall-boulders,667.3,
