date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-28,Blue,V1,ef689aaea940064be8cc2262c834ead5,3.0,Flash,wall-slab,192.9,
2018-10-28,Lime Green,V0,0c176e71c45fa4c91b75add5121f181b,3.0,Flash,wall-slab,192.9,
2018-10-28,Yellow Right,V2,842795bc70c90877eb7b7d697047ac00,3.0,Red Point,wall-slab,192.9,
2018-10-28,Lime Green Left,V1,284f324d139522ca7bdb2cf2f07bc0d9,3.0,Flash,wall-slab,118.8,
2018-10-28,Purple,V5,6f791798cfe408f8239a3e710fe84f2c,3.0,Red Point,wall-slab,118.8,
2018-10-28,Red,V3,1fa12bab772b5a328f8d771d751c8cc3,3.0,Red Point,wall-slab,118.8,
2018-10-28,Lime Green,V0,dfd7df0c064cb1e9afc887b79e7a7b30,3.0,Flash,wall-slab,48.7,
2018-10-28,Yellow,V0,a149472b359e1e233c84af613e1f231c,3.0,Flash,wall-boulders,288.8,
2018-10-28,Yellow Left,V0,983c49d6a1e5da0a8434a23cced35539,3.0,Flash,wall-boulders,793.8,
2018-10-28,Red Right,V1,bb8f270429ff141608aa56fcd4bd8435,3.0,Flash,wall-boulders,793.8,
2018-10-28,Lime Green,V0,ff196d0cc95824649b66c98010434e4d,3.0,Flash,wall-mezzanine,39.7,
2018-10-28,Black,V3,ef15d19a171d6eb85a943dff7ac6ca4a,3.0,Red Point,wall-mezzanine,39.7,
2018-10-28,Red,V2,5a3276efa112ed7a685226c0aa36deeb,3.0,Red Point,wall-mezzanine,114.6,
2018-10-28,Yellow,V3,4ca3d952bedda2b2acca8b43f7a6a853,3.0,Red Point,wall-boulders,581.0,
2018-10-28,Pink High,V2,c92af66b19904265c926c3f577a75b43,3.0,Red Point,wall-boulders,505.7,
2018-10-28,Blue,V1,1ca71a7046d1987c9e5eb55ac1511942,3.0,Flash,wall-boulders,423.0,
2018-10-28,Tan Right,V1,1637c33a91140163c71ca28a88fcabe5,3.0,Flash,wall-boulders,359.0,
2018-10-28,Purple,V0,b6518dfb60008d784604efb0ac846b30,3.0,Flash,wall-boulders,581.0,
2018-10-28,Red,V1,f5fa6eddae743ccd07d4fcc103f293c0,3.0,Flash,wall-boulders,288.8,
