date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-20,Black,5.8,e2d311a1eeffb60aff794efd1ea976f5,3.0,Top Rope,wall-island,182.8,
2018-12-20,Yellow,5.10b,d97d997436a508e751a17ca1b5815517,3.0,Top Rope,wall-island,245.4,
2018-12-20,Black,5.10a,c2c656e7d2d4807a3350c7b9bcbc55f2,3.0,Top Rope,wall-island,504.9,
2018-12-20,Yellow,5.9,2efbb82f29bf8c58e2e999b953a516cf,3.0,Top Rope,wall-island,468.2,
2018-12-20,White,5.9,6c34234082e5c83fc634e50dfb4b42e6,3.0,Top Rope,wall-back-wall,16.3,
2018-12-19,Grey,5.9,4f612997dbffa0e1282d0a4efae3e07f,3.0,Top Rope,wall-auto-belay,172.4,
2018-12-19,Purple,5.8,a021b9e4c918bf9c758c44f868758d71,3.0,Top Rope,wall-auto-belay,173.0,
2018-12-19,Yellow,5.11a,976398e1623fc0b52499bb8f042b7aa7,3.0,Top Rope,wall-auto-belay,195.7,
2018-12-19,Blue,5.10b,d16742559fbe4127343c09c54ce531de,3.0,Top Rope,wall-auto-belay,196.3,
2018-12-19,Lime Green,5.7,dc718ae1b29f222eab7341a11fef1681,3.0,Top Rope,wall-auto-belay,196.9,
2018-12-19,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Top Rope,wall-auto-belay,221.5,
2018-12-19,Blue,5.10d,2aefb6c2f4fe3f1a89316559c6c075ad,3.0,Top Rope,wall-auto-belay,248.5,
2018-12-19,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Top Rope,wall-auto-belay,249.2,
2018-12-19,Yellow,5.6,0ea5d14b53404c9e642b14223290c6ce,3.0,Top Rope,wall-auto-belay,249.8,
2018-12-16,Red,5.10b,59b41addff4cc76aeb134850c1ceccaf,3.0,Top Rope,wall-auto-belay,198.2,
2018-12-16,Purple,5.10c,ed7a05253beb0a3025dc73b3c831fea2,3.0,Top Rope,wall-auto-belay,222.7,
2018-12-13,Yellow,5.10a,75ec87eade17a7f370f0be0750fc0a28,3.0,Top Rope,wall-back-wall,251.9,
2018-12-13,Pink,5.8,7a46c58c28227618f827b678a1b3800f,3.0,Top Rope,wall-back-wall,243.4,
2018-12-13,Blue,5.8,04fa89ed02d1d2f6ec3fa90ec693fa26,3.0,Top Rope,wall-back-wall,164.5,
2018-12-13,Lime Green,5.9,08786b72a79c8dd0e5976e4675c32c9f,3.0,Top Rope,wall-back-wall,124.1,
2018-12-10,Lime Green,5.7,aaa574e01c8ad6790a393e38fe2abdc2,3.0,Onsight,wall-island,327.1,
2018-12-10,Red,5.9,d97fae65bc5bc58f038ea5aaa6ebda9b,3.0,Onsight,wall-island,340.1,
2018-12-10,Blue,5.9,a5479759db8908223e2cf2e8e8759103,3.0,Onsight,wall-island,420.7,
2018-12-04,Blue,5.9,a2cb0087a5168a8d295f1c84174849b5,3.0,Onsight,wall-back-wall,1167.3,
2018-12-04,Tan,5.9,56e118ce1b3fe2d48cdf68d7dca777bc,3.0,Top Rope,wall-back-wall,1292.9,
2018-12-04,Yellow,5.8,0fd5296256e3111c7ad7c8e82985ec2e,3.0,Onsight,wall-back-wall,1251.0,
2018-12-04,White,5.7,62ae72950807d8056e8ec4aa2efe4f1c,3.0,Onsight,wall-back-wall,1329.5,
