date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-16,White,V3,4d04f6c798b0b7c3eafc24bb682e26d6,3.0,Flash,wall-mezzanine,114.6,
2018-10-16,Yellow,V4,e037bc9ff8c5848b6ddb4289b305bc62,3.0,Flash,wall-mezzanine,39.7,
2018-10-16,White,V4,b8563ce60721482eac25e8549af45463,3.0,Red Point,wall-mezzanine,39.7,
2018-10-16,Black,V3,ef15d19a171d6eb85a943dff7ac6ca4a,3.0,Flash,wall-mezzanine,39.7,
2018-10-13,Black Right,V3,fe172359c5ecfac3f1a2089f98e84878,3.0,Flash,wall-mezzanine,114.6,
2018-10-13,Tan Right,V3,d3d7c4ec0d3f4263cead958cf795d172,3.0,Flash,wall-mezzanine,114.6,
2018-10-13,Red,V2,5a3276efa112ed7a685226c0aa36deeb,3.0,Flash,wall-mezzanine,114.6,
2018-10-09,White,V3,5f1c4b9bc20adc170ddb3f3856a0933a,3.0,Red Point,wall-slab,48.7,
2018-10-08,Purple,V5,6bc3de0b14b6b949a4b6dc932ba864b3,4.0,Red Point,wall-slab,192.9,
2018-10-03,Yellow,V4,f1819f795f7fc38a9ae5d3b8e7af24cc,4.0,Red Point,wall-slab,48.7,
