date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-09-12,Red,5.11b,86830592b11a1b3b4f75ebed1ef2f263,3.0,Red Point,wall-back-wall,1199.9,
2019-09-12,Black,5.12b,e49b62c8b3df1017f923d345a45b6cb2,3.0,Attempt,wall-back-wall,1251.0,
2019-09-12,Black,5.11a,c9f1de0e3c73884f06b1cc9ef31bd920,,Attempt,wall-back-wall,1330.2,
2019-09-12,Tan,5.8,a5e51f5ec204b69b0cbb466f9ce1c08e,,Onsight,wall-back-wall,-2.4,
2019-09-12,Pink,5.7,2fa4d14d7592de53b6dccacf8c9a0238,,Onsight,wall-back-wall,-1.5,
2019-09-12,Purple,5.10b,e5b107a70f3476120b75b68fb794a2ee,,Onsight,wall-back-wall,17.9,
2019-09-12,Black,5.9,6e189cffec5982c21cf831eec2a0d19a,,Onsight,wall-back-wall,56.8,
2019-09-12,Tan,5.10d,4ebf196ab0509ec26d4082feee2ae397,,Attempt,wall-back-wall,69.3,
2019-09-12,Red,5.9,fd3dabf53ebd596bc9f4269f16b629db,,Onsight,wall-back-wall,124.1,
2019-09-12,Yellow,V1,e2caaccc80deddfd3b0086ee36f4546c,,Flash,wall-slab,192.9,
2019-09-12,Pink,V5,8c240cf8241c21fdfa124acaf4884816,,Red Point,wall-slab,192.9,
2019-09-12,Blue,V4,16115e5c09bcba49a9e0b44e3b2d21c7,,Red Point,wall-slab,192.9,
2019-09-12,Black,V0,7da2163c087b7efec38d3a0cb3c1c92b,,Flash,wall-slab,192.9,
2019-09-12,White,V5,d5e87b9f9ea2fbe4d0c2ccbc25cb36c7,,Flash,wall-slab,118.8,
2019-09-12,Yellow,V2,c4ba75ef856a13a7268e0cfc53a14a36,,Flash,wall-slab,118.8,
2019-09-12,Pink,V4,68cbc88bb87e8ea4847e9035451e84ed,,Flash,wall-slab,118.8,
2019-09-12,Lime Green,V0,a95b543a2a87118f1613f9d1a6405c58,,Flash,wall-slab,48.7,
2019-09-12,Red,V1,16a9517132fea170dec60fed81a55182,,Flash,wall-slab,48.7,
2019-09-12,Yellow,V2,760e87c99b1d097e5ba8b34a0250f535,,Flash,wall-boulders,87.1,
2019-09-12,Pink,V6,1df756f8a40b61edfda26d1285aaef32,,Red Point,wall-boulders,87.1,
2019-09-12,Lime Green,V1,dd99d90fe7079f1d36a1dc02ed031108,,Flash,wall-boulders,87.1,
2019-09-12,Tan,V5,be9945a8cc6f712a1b72507f6dfe4aac,,Attempt,wall-boulders,87.1,
2019-09-12,Tan,V5,be9945a8cc6f712a1b72507f6dfe4aac,,Red Point,wall-boulders,87.1,
2019-09-12,Yellow,V4,6137b4922054345323f256a25c42e384,,Red Point,wall-boulders,87.1,
2019-09-12,Black,V2,56afa1da4583bef3e83f3fc151802db6,,Flash,wall-boulders,161.2,
2019-09-12,Red,V0,3b9e1b133dd398a6d0179788260ef8f6,,Flash,wall-boulders,161.2,
