date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-25,Pink,5.11a,b324838987e8507a768efb25d71afc4e,,Top Rope,wall-back-wall,1250.3,
2020-09-25,Lime Green,5.10a,fd3a2d37cd0bf2e8309362f2f2141e72,,Top Rope,wall-back-wall,86.3,
2020-09-25,Yellow,5.10b,f7a74c7895e5994f94e4d34529a4f969,,Top Rope,wall-back-wall,69.3,
2020-09-25,Black,5.10b,13ff387d591c3e41be5c624cad000c08,,Top Rope,wall-red,79.7,fell in middle cuz trouble reading double mantel - super fun though!!
2020-09-25,Pink,5.10b,f3049acd0ee8bdb9966954bff8a5366e,,Top Rope,wall-back-wall,1097.8,
2020-09-25,Black,5.10c,099acc5d0e6a2d3a2e91bfd67f96cbcf,,Top Rope,wall-island,128.1,
2020-09-25,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,,Top Rope,wall-red,156.9,
2020-09-25,Tan,5.10d,be30661c2bd96c8ed85c8b67488c80a7,,Top Rope,wall-red,81.4,
2020-09-25,Tan,5.10d,d99b80063f2e1a39ce6e071ed058829b,,Top Rope,wall-island,280.2,
2020-09-23,Tan,5.7,64638203ecde1a2f5424e2763286ca22,,Top Rope,wall-auto-belay,274.3,did 4 laps without touching ground
2020-09-23,White,5.9,c81074aa5457f4f5c5c972f85e4c0911,,Top Rope,wall-auto-belay,479.6,
2020-09-23,Pink,5.10b,8a9064e6605f5da74147714a38ecb463,,Top Rope,wall-auto-belay,174.3,
2020-09-23,Red,5.10c,671d3b5fbd63548a8e16e0a90bf68eda,,Top Rope,wall-auto-belay,45.9,
2020-09-23,Lime Green,5.11c,167fbe20dda9e4570b633122683d1020,,Top Rope,wall-auto-belay,222.1,tried twice but too crimpy
2020-09-23,Blue,5.10d,8e2979f75ce801c2e7f28b65e847c0a8,,Top Rope,wall-auto-belay,273.7,
2020-09-23,Red,V4,b5992281a72ad21ed4c7db8f7d2713c1,,Attempt,wall-boulders,667.3,"first try fell immediately, second try got to last hold but couldn't match"
2020-09-21,Blue,5.10b,f7548636652d93efbf4657686dc7dfc8,,Top Rope,wall-back-wall,791.7,
2020-09-21,White,5.10b,acbbd918e90273faf03358a99d9aed7f,,Top Rope,wall-back-wall,164.5,
2020-09-21,Purple,5.10b,8222645b166d65ed0c1574d1aef5c00a,,Top Rope,wall-back-wall,1069.1,
2020-09-21,Tan,5.10b,a9cdc38c490135fd400e16abf2e535a6,,Top Rope,wall-back-wall,1386.5,
2020-09-21,Purple,5.10b,b1c705fcc682935f5241dee86dc55024,,Top Rope,wall-back-wall,969.6,
2020-09-21,Blue,5.10b,3340b1d4e1c38fc25263543f90c7c995,,Top Rope,wall-red,173.9,
2020-09-13,White,5.11b,228a0528463b222928086df0879bb63e,,Top Rope,wall-red,231.5,
2020-09-13,White,5.11b,ed108b01441a16a29f705f137434b12e,,Top Rope,wall-island,468.2,misread second to last move and fell :(
2020-09-13,Red,5.11a,d7f4842bef0d7cba9df3c14cd4b475c4,,Top Rope,wall-back-wall,1386.5,first try fell on second move then started from beginning and sent!
2020-09-13,White,5.11c,02b2152b39971eb250bcb8e73dbf87e7,,Top Rope,wall-island,267.5,"fell once on crux, rested and finished - super fun! "
2020-09-13,Purple,5.9,092dcff42278458ef5c0555721534a36,,Top Rope,wall-back-wall,-2.4,
2020-09-13,Tan,5.10b,0bd4b006d802e099a172f552ed1821b6,,Top Rope,wall-back-wall,141.7,
2020-09-13,Yellow,5.11d,ca1aa1563d5acf8bd9d0cafd607c0ca3,,Top Rope,wall-back-wall,1018.7,too many hard moves haha
2020-09-13,Pink,5.11a,efbe1f181756efc6712feab4c7cf081d,,Top Rope,wall-island,212.3,fell on a few of the higher pockets - tired and strong big moves
2020-09-10,Red,5.10b,40d8e9dd2e87a321813155dfd7c2dce6,,Top Rope,wall-island,340.5,
2020-09-10,Pink,5.10d,2d7d62edbea7fd6305573cfcee84d5db,,Top Rope,wall-back-wall,108.7,
2020-09-10,Red,5.11a,074ea0d61bbb4eb356eeda1736e130d9,,Top Rope,wall-back-wall,1067.3,
2020-09-10,White,5.10d,308e5bfc1e6c061aa7a61cc14793a22d,,Top Rope,wall-island,327.1,
2020-09-10,Red,5.11b,25aa279574a3982e9b18c847290844ea,,Top Rope,wall-back-wall,741.6,fell on upper moves and they were very tough! used arete at beginning but prob not on
2020-09-10,Pink,5.11a,b324838987e8507a768efb25d71afc4e,,Top Rope,wall-back-wall,1250.3,got off after second move - too crimpy for this late in session
2020-09-10,White,5.10c,a86bca124bf3d326e6e57c9ab442f227,,Top Rope,wall-back-wall,1275.5,
