date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-30,Black,V7,8cb2176c6bbca076b73691a81e4bfda8,5.0,Red Point,wall-boulders,288.8,super fun. very scary last move! 
2019-01-30,Purple,V6,bfd5794355b44b002822cf5975b34566,4.0,Red Point,wall-boulders,288.8,found at least 10 different ways to fall off my crux move. happy to find a beta that worked! :)
2019-01-28,Pink,V7,429a5e22521d7c79237916ca964a01da,5.0,Red Point,wall-boulders,359.0,love the delicate footwork on this! 
2019-01-26,Yellow,V3,35e482e2b4594e52381028755ff61247,3.0,Flash,wall-boulders,288.8,
2019-01-25,Blue,V3,2a1d743ec2b91cbe1e388d759c3920c6,4.0,Flash,wall-boulders,581.0,enjoyable 
2019-01-24,Purple Low Start,V5,b345725ece30167490af119718682282,4.0,Red Point,wall-boulders,505.7,trickyyyyyy. satisfying tho! 
2019-01-23,Lime Green,V4,44aa15e83690d7a7ead7db684efae398,3.0,Flash,wall-boulders,288.8,
2019-01-23,Red,V5,b6059afb2b18e8cb9a47ace97be7f883,3.0,Flash,wall-boulders,359.0,
2019-01-22,Yellow,V5,0909cb4515145b822d27932913cd5dca,5.0,Red Point,wall-boulders,423.0,love! 
2019-01-22,Red,V6,bb936f36046fc64769b3ce972fa9640f,5.0,Red Point,wall-boulders,581.0,really nice compressiony movement. 
2019-01-20,Blue,V4,7ae07cc594bfbeee107a251c7b992c19,4.0,Red Point,wall-boulders,423.0,fun cave sequence + spicy finish! 
2019-01-12,Lime Green,V3,1713caf84e79fd07eb1d7019158b26ff,5.0,Flash,wall-mezzanine,39.7,really nice! 
2019-01-12,Blue,V4,4bf24c8aa0a2fc946cf6642e6ba130f3,4.0,Flash,wall-mezzanine,39.7,nice and balancey 
2019-01-12,Yellow,V4,c51e4387dab1fefb19acd973a3cf3538,4.0,Flash,wall-mezzanine,39.7,fun! 
2019-01-11,Purple,V6,68478a57c4632aaf2ccd0694e79b8abf,4.0,Red Point,wall-mezzanine,114.6,cool start and mantle
