date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-13,Purple,V9,a424c5cc6d834d9d7f0dbf108195980d,3.0,Red Point,wall-boulders,288.8,
2018-12-13,Tan,V8,8bf31125a2e86ab8c8977802c8706e90,3.0,Red Point,wall-boulders,793.8,
2018-12-13,Yellow,V8,a1dc784cef19884c06f8216a8831a53b,3.0,Red Point,wall-boulders,736.4,
2018-12-13,Lime Green,V6,e2e98633083d0c07559ad56fde1e8384,3.0,Red Point,wall-boulders,736.4,
2018-12-13,Yellow,V8,cbee5cc3be7125c227f4f0ce9575c26f,3.0,Red Point,wall-boulders,667.3,
2018-12-13,White,V6,ff0f0bb9c3f7487620e2a33ec3fc2cbc,3.0,Red Point,wall-boulders,667.3,
2018-12-11,White,5.13a,47a2902ad6adff0e32fe327255b1c6c0,3.0,Flash,wall-back-wall,191.4,
2018-12-11,Tan,V8,45c2c09d04e64b95afc4508b48e8d8a7,3.0,Red Point,wall-boulders,736.4,
2018-12-11,Black,V8,36066f5c6a994497f38e9d80b8f194da,3.0,Red Point,wall-boulders,667.3,
2018-12-11,Red,V8,ea2f878d9f588c40b55b09f6d87f509b,3.0,Red Point,wall-boulders,288.8,
2018-12-11,Black,V7,12d072acd8ee14f2e8a83003cc9a8e58,3.0,Red Point,wall-boulders,505.7,
2018-12-11,Tan,V7,d35ab5bf923b0977709942bbf1b0af06,3.0,Red Point,wall-boulders,423.0,
2018-12-11,Black,V7,977da3c5c1a72c017b9f51ebffabe5c9,3.0,Red Point,wall-slab,192.9,
