date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-13,Pink,V9,786296108c6cfc2722a4e163468aed7e,4.0,Red Point,wall-boulders,667.3,little sketch
2019-11-13,Black,V8,4737f56bae8661f27b781c43e92b1337,3.0,Red Point,wall-boulders,667.3,
2019-11-13,Blue,V9,70c35db539ee0522f27833ef76e342ad,5.0,Red Point,wall-boulders,581.0,
2019-11-13,Tan,V10,be244057fffac15ca0392b75cf764e47,3.0,Red Point,wall-boulders,505.7,
2019-11-13,Red,V8,01f6b8c7e24cb5fdded7c9c24f71361a,3.0,Red Point,wall-boulders,423.0,
2019-11-13,Red,V9,3af1e06954fd9db36cb724f8f9706368,3.0,Red Point,wall-boulders,359.0,
2019-11-13,White,V8,ec189d9116d9111f8615d06e648b8c8f,3.0,Red Point,wall-boulders,359.0,
2019-11-13,White,V10,0fe80ccad7ae9cdee450f0b75eb278a8,4.0,Red Point,wall-boulders,288.8,whats a heelhook?
2019-11-13,White,V10,97e7b6cb36a6bf627c662f4d5be23218,3.0,Red Point,wall-boulders,222.0,fun and reachy
2019-11-13,Yellow,V8,bb3b33c73dd53fc5a859384b89248be5,3.0,Red Point,wall-boulders,222.0,
2019-11-13,Blue,V8,1277bba79b3ff4135100e014c6c581f7,3.0,Flash,wall-boulders,161.2,
2019-11-12,Blue,V10,40d7d2f6d130d6e914d8d501cdf1eec7,5.0,Flash,wall-boulders,736.4,
