date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-29,Pink,5.11c,51782e05cb3d10eae5273e2b73781473,3.0,Attempt,wall-back-wall,994.6,
2018-11-29,Black,5.11c,20b9dc6fa852bb7ed76ccfb632799017,4.0,Top Rope,wall-island,246.0,
2018-11-29,Yellow,5.10d,0b0f0f1a07ff2a92216117c680a64a93,4.0,Top Rope,wall-back-wall,108.7,
2018-11-29,Blue,5.10c,d7d5d958546aae0bcdb3c1bd1fa8088a,3.0,Top Rope,wall-back-wall,17.1,
2018-11-17,Yellow,V4,e037bc9ff8c5848b6ddb4289b305bc62,3.0,Attempt,wall-mezzanine,39.7,
2018-11-17,Red,V6,61b6113cb54a945e33aa2124a834c852,5.0,Red Point,wall-mezzanine,39.7,
2018-11-17,Tan,V4,ef55d734d524bb2ca8a4c5a61f6dae92,4.0,Red Point,wall-slab,48.7,
2018-11-17,Yellow,V3,a183a744502653be60bdb41ff08c80bd,3.0,Flash,wall-slab,48.7,
2018-11-17,Yellow,V3,c7681bb87852118773ee3c0a72effd0d,3.0,Flash,wall-slab,192.9,
2018-11-10,Lime Green,5.10b,e963c996544d7ca5479b7358f109b425,5.0,Onsight,wall-island,107.8,
2018-11-10,Pink,5.11a,431fb09c101bfd0955cf55e179330fba,4.0,Attempt,wall-island,92.7,
2018-11-10,White,5.11b,f755e17010038a93f1eff2b49b682aaa,4.0,Attempt,wall-island,43.2,
2018-11-10,Yellow,5.9,965dc523ca296145bc0b855115097ef2,4.0,Onsight,wall-back-wall,190.5,
2018-11-10,White,5.8,de0391fbae80dca6f5c186971fb65b44,4.0,Onsight,wall-back-wall,124.1,
2018-11-10,Pink,5.10b,f91b4d6287c54a229a2d2727bffa76d5,4.0,Top Rope,wall-back-wall,1175.7,
2018-11-10,Yellow,5.10b,2540fc03ff9c844ed187988efa0b9bfe,3.0,Attempt,wall-back-wall,1019.6,
