date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-09-25,Blue,5.7,5fb49882e665e03b5bd7372ab329e0eb,4.0,Onsight,wall-fox,67.2,
2020-09-25,Yellow,5.10a,5386b87d83fc22783ae82f57ddbfd4e2,4.0,Onsight,wall-back-wall,1167.3,
2020-09-25,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,5.0,Flash,wall-red,156.9,
2020-09-25,Tan,5.8,43b6a31f7dd28554b06ddcbfb9dad186,5.0,Flash,wall-island,211.0,
2020-09-23,Lime Green,5.7,117662037a5ad8cf470c2d4a6a93738c,3.0,Red Point,wall-auto-belay,19.1,3 limbs
2020-09-23,Yellow,5.9,ea3065c1717c8f4b229e010165a7d543,5.0,Attempt,wall-auto-belay,148.8,
2020-09-23,Tan,5.8,43b6a31f7dd28554b06ddcbfb9dad186,5.0,Onsight,wall-island,211.0,
2020-09-23,Red,5.8,dcca31778f46d8220c6ca1b4fbc150f0,5.0,Onsight,wall-back-wall,1067.3,3 limbsies
2020-09-11,White,5.9,8c61faac65f3917cc84e5c325c4a8fce,3.0,Attempt,wall-island,91.7,3 limb day
2020-09-11,Lime Green,5.8,13ccc17e352a2bd76825c1ce86e0218f,3.0,Attempt,wall-back-wall,1433.3,3 limb day
2020-09-11,Pink,5.7,3190e65e6b619ab3077a753475598941,5.0,Flash,wall-back-wall,1122.8,3 limb day
2020-09-11,Yellow,5.8,7cffc82db102b3b458d93ec9c54eb74f,4.0,Onsight,wall-red,26.8,3 limb day
2020-09-10,Grey,5.8,91ecc7957480016590b6c715cc5d8a55,5.0,Flash,wall-auto-belay,249.8,
2020-09-10,Tan,5.7,64638203ecde1a2f5424e2763286ca22,3.0,Flash,wall-auto-belay,274.3,
2020-09-10,Black,5.8,fb1aa4b957257d5c68a03125eb00d188,2.0,Attempt,wall-auto-belay,68.9,
2020-09-10,Red,5.8,cee6bb83a181e236a69d27934158c7d0,4.0,Flash,wall-back-wall,1176.5,
2020-09-10,Lime Green,5.8,75399cbcda30a4556bb8f3794dfed503,5.0,Flash,wall-island,75.0,
2020-09-10,White,5.9,8c61faac65f3917cc84e5c325c4a8fce,3.0,Onsight,wall-island,91.7,
2020-09-10,Red,5.12a,b8e8f2d674d0ef3d2a7527845d988b1f,4.0,Top Rope,wall-island,77.1,"New project, right hand and foot made it past overhang. Would keep trying, but fingers out of strength--thx COVID"
2020-09-10,Yellow,V0,45d14bce2ffd870804f71ea08ea9cbb4,4.0,Flash,wall-boulders,793.8,
2020-09-10,Lime Green,V0,8d06857218d9570326674af1ec9e6880,5.0,Flash,wall-mezzanine,114.6,
2020-09-10,Red,V0,0a191f7681cdc31371ea1bf5d77373d8,5.0,Flash,wall-mezzanine,39.7,
2020-09-10,Pink,V1,b5f1d45f3376b1aaf29d15213b794b69,5.0,Flash,wall-mezzanine,39.7,
2020-09-07,Pink,5.10c,b4048d2d98de486e7b2f548e9bfd2f15,5.0,Attempt,wall-red,156.9,Yesss I still got it
2020-09-07,Purple,5.8,57782037779dd464ddbceead7797bcde,4.0,Onsight,wall-fox,122.2,easy peasies
2020-09-07,Purple,5.8,8728d2950f2038ae5c14b3b80f164708,4.0,Onsight,wall-red,263.2,
2020-09-07,Blue,5.10b,a25cf2e531b0ee4abe1813b0a31ac722,4.0,Attempt,wall-island,42.2,climbed half way
2020-09-07,Lime Green,5.8,75399cbcda30a4556bb8f3794dfed503,5.0,Red Point,wall-island,75.0,
2020-09-07,Blue,5.8,c93ef59c4fa25663bb4ae11777393e1a,5.0,Onsight,wall-island,446.7,
2020-09-04,Blue,5.8,515807c843faf5d468b99cd99a9a0c6e,3.0,Onsight,wall-fox,197.3,
2020-09-04,Lime Green,5.8,75399cbcda30a4556bb8f3794dfed503,5.0,Onsight,wall-island,75.0,
2020-09-04,Tan,5.8,335db78ef8350363d2c9d1e68c03c6aa,4.0,Onsight,wall-back-wall,829.3,
2020-09-04,Tan,5.9,541bc1906e20805d89567e0b7e5dad63,3.0,Attempt,wall-back-wall,1227.9,
2020-09-02,Blue,5.8,c93ef59c4fa25663bb4ae11777393e1a,4.0,Flash,wall-island,446.7,
2020-09-02,Black,5.7,5ad09687ecac766db2f1f3ebff4eaa8c,,Flash,wall-red,197.6,
2020-09-02,Pink,5.9,a9f18947d3ffb1170f9a124c61a38821,,Attempt,wall-red,50.1,
2020-09-02,Yellow,5.8,c64d957f9d8978dc6bb162d03778c0bc,,Flash,wall-back-wall,1377.6,
2020-09-02,Purple,5.9,e84f9a9c7d16f4e80a6d667b2972eb2c,,Red Point,wall-back-wall,870.9,
