date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-29,Blue,5.11c,b5e765de3907c58655e89ccd48907e63,,Top Rope,wall-back-wall,1354.3,os
2020-01-29,Pink,5.10c,4671590e5a4096be591bb0a452f8b1f9,,Top Rope,wall-back-wall,1376.2,os
2020-01-29,Yellow,5.11c,59466be082ad99a42c74aa18caf31771,,Top Rope,wall-island,141.6,
2020-01-29,Lime Green,5.11d,882852d17474c31560a1a1ae0cebf152,,Top Rope,wall-auto-belay,341.8,FINALLY!
2020-01-28,Tan,5.11b,7b1c4a998a3596c3a26cf310aab12a12,,Onsight,wall-island,328.0,
2020-01-28,Blue,5.12a,a3baca09fba3f8564485c6a72278d68c,,Red Point,wall-island,340.1,
2020-01-28,Red,5.12a,33b193e9d3513c70bf9d68418fe5edd6,,Top Rope,wall-red,110.4,
2020-01-28,Yellow,5.11d,9ac36959e8a862363cc354626e0a9dd6,,Top Rope,wall-island,603.0,
2020-01-28,White,5.11b,66b22a9a5dddba4fb6787544e97489de,,Top Rope,wall-island,59.4,
2020-01-25,Yellow,5.12b,c2117d1dacac04a608adbb0e548b8153,,Top Rope,wall-island,444.9,really enjoy this climb
2020-01-25,White,5.11b,228a0528463b222928086df0879bb63e,,Onsight,wall-red,231.5,
2020-01-25,Yellow,5.11d,ccda101f3b8737bb08bc47dd8b33b46d,,Top Rope,wall-red,261.8,os
2020-01-09,Black,5.11c,e20c8b62a86a5dd47d06205a0130786d,,Red Point,wall-back-wall,243.6,
