date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-04-27,Purple,5.8,c8069198bd7aeaebbb525c8e49b74e5e,3.0,Onsight,wall-back-wall,-2.4,
2019-04-27,Red,5.7,601792cf8eca45c7a40c78895364d141,3.0,Onsight,wall-back-wall,-1.5,
2019-04-27,Pink,5.10c,bac78825d129005f86c1f94f96c6f227,3.0,Onsight,wall-back-wall,37.7,
2019-04-27,Tan,5.10d,f973e60a6f5c3a754308c3cb9a361223,3.0,Red Point,wall-back-wall,56.0,
2019-04-27,Yellow,5.9,34d0d7a009b6394e650a25dc930d56e6,3.0,Onsight,wall-back-wall,69.3,
2019-04-27,Lime Green,5.10c,cc3278a57cd5239779d6f3f66aa85e2f,3.0,Top Rope,wall-back-wall,86.3,
2019-04-27,Purple,5.9,e4393227be16256b85ab2bc1f8085960,3.0,Onsight,wall-back-wall,124.1,
2019-04-25,Pink,5.11a,dc831d64802943da2d7db673a3fae2d5,3.0,Onsight,wall-island,107.8,
2019-04-25,Purple,5.10a,e3e34569a4a7dcb07cef8ad3fda0bc68,3.0,Onsight,wall-island,127.1,
2019-04-23,White,5.10b,280dbc898203f4ac0319d107dc16845e,3.0,Red Point,wall-red,24.0,
2019-04-23,Lime Green,5.7,3b9d2b6e3c3127f3b468ca7d33f781b3,3.0,Onsight,wall-red,25.4,
2019-04-23,Blue,5.6,6e413d95150d271e416cee0d0ecaa229,3.0,Onsight,wall-red,50.1,
2019-04-23,Yellow,5.8,e7a753ab3987f433ce765f5c358efe2b,3.0,Onsight,wall-red,51.5,
2019-04-23,White,5.11a,94113337af6a77de9f11d8db36e8673f,3.0,Onsight,wall-red,110.4,
2019-04-23,Lime Green,5.7,2f1bc7abe11c9334e0d9cd0cc6cd045a,3.0,Onsight,wall-red,132.5,
2019-04-23,Red,5.10a,4cacf3af508522ae4966c70c4cd4c657,3.0,Onsight,wall-red,133.2,
2019-04-23,Yellow,5.8,f2a31126bb1ae6902dfa24d85639dcf5,3.0,Onsight,wall-red,155.6,
2019-04-23,Blue,5.8,e8f6838e8f1dc8a20b97aabf5c39af1e,3.0,Onsight,wall-red,173.9,
2019-04-23,Black,5.11b,c15f4dc712aefd29affaaa3445b02ac2,3.0,Onsight,wall-red,156.3,
2019-04-23,Tan,5.10a,acb519b9faffa48ce4b0bf1ba1c11e33,3.0,Red Point,wall-red,174.5,
2019-04-23,White,5.9,4b9305449f13fe529a35cebe12394f9b,3.0,Onsight,wall-red,197.6,
2019-04-23,Purple,5.7,d18c7a59bfe39e45209b28ea4a5ea74b,3.0,Onsight,wall-red,230.0,
2019-04-23,Yellow,5.10a,7f6bc563a6af175ffdc785f894101aab,3.0,Onsight,wall-red,261.8,
2019-04-23,Pink,5.11c,ce78c20a2ef19dd425773da7fa389185,3.0,Red Point,wall-back-wall,70.1,
2019-04-22,Purple,5.7,f368854cc83f85bebfcd5ba46a1237d6,3.0,Onsight,wall-island,300.0,
2019-04-22,Tan,5.10c,1a441f527d295167b71dcd51d159f853,3.0,Onsight,wall-island,315.4,
2019-04-22,Pink,5.8,9154698584376d84d56d7b1b19bc0ca3,3.0,Onsight,wall-island,315.9,
2019-04-22,Blue,5.10b,d594f83435983020c5620ee28ead5806,3.0,Flash,wall-back-wall,1329.5,
2019-04-22,Blue,5.10b,d594f83435983020c5620ee28ead5806,3.0,Onsight,wall-back-wall,1329.5,
2019-04-22,Tan,5.11a,1f6036332c8df09171499bc8900a1dc3,3.0,Red Point,wall-back-wall,1376.9,
2019-04-19,Black,5.10b,14014ca02cbb66999dbbb627ea8931b0,3.0,Top Rope,wall-island,504.9,
2019-04-19,White,5.8,0a26ea74207e3580f510689808b789f8,3.0,Top Rope,wall-island,504.0,
2019-04-19,Black,V0,2a1e80f5e88f41462706af67e52f4e42,3.0,Flash,wall-boulders,581.0,
2019-04-19,Yellow,V2,1712247025379a2ac4ccc4b9dca52be6,3.0,Flash,wall-boulders,581.0,
2019-04-19,Lime Green,V3,7819cc1b570649956af6e2e7c08ac9e5,3.0,Flash,wall-boulders,581.0,
2019-04-19,Tan,V1,60654fa5f1b1fa3101b38b780280f502,3.0,Flash,wall-boulders,505.7,
2019-04-19,Lime Green High Start,V2,875bcf88390a404d5b29952805108c1b,3.0,Flash,wall-boulders,505.7,
2019-04-19,Lime Green Low Start,V4,f57e69b9e052a5428388b8480cdd459a,3.0,Red Point,wall-boulders,505.7,
2019-04-19,White,V1,b22b791c209a0523592762f2f2a20e43,3.0,Flash,wall-boulders,423.0,
2019-04-19,Lime Green,V0,8a07f497b6f25927f0982f6693f6ba0a,3.0,Flash,wall-boulders,359.0,
2019-04-19,Yellow,V2,bbbf2ba5d854dbaf42777b1dd2f7be1b,3.0,Flash,wall-boulders,288.8,
2019-04-19,Yellow,V1,3eb82755c853d4f14b2bdec574056e56,3.0,Flash,wall-boulders,288.8,
2019-04-19,White,V4,39882526e3a3e2234d9f0f0db9969cda,3.0,Flash,wall-boulders,288.8,
2019-04-19,Blue,V1,e3120f61a318bfd0a1791d13e9170c97,3.0,Flash,wall-boulders,359.0,
2019-04-19,White,V2,71f8d1da6fef08f3564907438c624950,3.0,Flash,wall-boulders,359.0,
2019-04-19,Blue,V0,f71afbff42fa038e87802af186a7a320,3.0,Flash,wall-boulders,288.8,
2019-04-19,Blue,V3,3c0c6f6a22c8d9aa895ce223c3514b9b,3.0,Flash,wall-boulders,288.8,
2019-04-19,Black,V3,45932421bbcc8b1ca05501d61bc370c2,3.0,Flash,wall-boulders,288.8,
2019-04-19,Pink,5.9,bf425bab87f098edbc69dd1bf54b857c,3.0,Onsight,wall-red,79.7,
2019-04-19,Tan,5.11c,ddc9b93c01c8507d7f392692ad1831e6,3.0,Onsight,wall-red,80.7,
2019-04-19,Yellow,5.9,f5470d5285b058129e49a4d28f3f4a4f,3.0,Onsight,wall-back-wall,741.6,
2019-04-19,Purple,5.7,84495abf3227cc7a723837e466cfade1,3.0,Onsight,wall-back-wall,743.3,
2019-04-19,White,5.8,22ea414b61b1e80e9eab9ff71e425bd7,3.0,Onsight,wall-back-wall,791.7,
2019-04-19,Blue,5.8,9a16f23eb4533805ed4aadf123fbbba3,3.0,Onsight,wall-back-wall,870.9,
2019-04-19,Yellow,5.10c,b6f12298afc4e08620fa75ebbb862dbd,3.0,Onsight,wall-back-wall,921.4,
2019-04-19,Tan,5.8,1b6110df173f2b24740cb069abf63c90,3.0,Onsight,wall-back-wall,945.1,
2019-04-19,Lime Green,5.7,c74cf0c7f310da1ed0e5524d72f65101,3.0,Onsight,wall-back-wall,994.6,
2019-04-19,Yellow,5.8,e5a7e92213fd1dadef0b4eaacf03d47a,3.0,Onsight,wall-back-wall,1019.6,
2019-04-19,Pink,5.7,a2cb0e3b63b66657a58b9baa79ce0d14,3.0,Onsight,wall-back-wall,1067.3,
2019-04-19,Black,5.9,9a46d50076e6748417ceab28be0a9ebb,3.0,Onsight,wall-back-wall,1068.2,
2019-04-19,Lime Green,5.8,d043d8c86c32ea40f555727af7a9d6ce,3.0,Onsight,wall-back-wall,1098.7,
2019-04-19,Red,5.6,d3ce6942e20a250983d36fce18e6100b,3.0,Onsight,wall-back-wall,1120.9,
2019-04-19,Yellow,5.7,e497fed202c9875f9f4bf4e0decd2ee0,3.0,Onsight,wall-back-wall,1140.9,
2019-04-19,Tan,5.9,3bc3ba0cb8b7dd7c9e4431346cbe1591,3.0,Onsight,wall-back-wall,1141.8,
2019-04-19,Blue,5.10c,575abab5bd5cecb8eb803fd1b1fc7902,3.0,Onsight,wall-back-wall,1167.3,
2019-04-19,Pink,5.8,831070b5ac10ef20d318f4847b9f07a1,3.0,Onsight,wall-back-wall,1168.2,
2019-04-19,Tan,5.10a,c399dd9af22cb0a4e3bfb10ef3c1f226,3.0,Onsight,wall-back-wall,328.9,
2019-04-19,Yellow,5.7,d843bcdc3aa13931fdcd62c0ad614d4d,3.0,Top Rope,wall-island,468.2,
2019-04-19,Purple,5.10b,f8bef2e33f6ad6355371b32edac9e7e5,3.0,Top Rope,wall-island,469.1,
2019-04-19,Black,5.10a,3d003702bd00a97676172f02e58e5330,3.0,Onsight,wall-island,590.5,
2019-04-19,Blue,5.11b,1be6b8a8e7e526fea25d86ce64b9128d,3.0,Onsight,wall-island,560.7,
2019-04-12,Lime Green,V3,c9869e726e76031360b4b408cdbc43e8,3.0,Flash,wall-boulders,793.8,
2019-04-12,Purple,V0,ff76c02ee0494311592c55782541a881,3.0,Flash,wall-boulders,793.8,
2019-04-12,Blue,V2,4309e198e89b565edc938dabaede673a,3.0,Flash,wall-boulders,793.8,
2019-04-12,White,V4,cfa054a8f14f2f928dfc9b739991c2e1,3.0,Red Point,wall-boulders,736.4,
2019-04-12,Yellow,V3,8887dac75a581dd59ff8f26e92efd89e,3.0,Flash,wall-boulders,667.3,
2019-04-12,Blue,V1,7b2cbbcf4f630ac9085adfd1729675fd,3.0,Flash,wall-boulders,667.3,
2019-04-12,White,V2,5211cad36f8cd430c24bb7cb71953871,3.0,Flash,wall-boulders,667.3,
2019-04-12,Black,V3,355219e07963f26349b7b163171f02ff,3.0,Red Point,wall-boulders,581.0,
2019-04-03,Lime Green,5.9,90c14f7dadb2b3f5ead99ced55caf5e6,3.0,Onsight,wall-back-wall,829.3,
2019-04-03,Yellow,5.10a,26b8dd5ec5bbb0b3c09d2f0c69867b5d,3.0,Onsight,wall-back-wall,871.9,
2019-04-03,Yellow,5.9,992b7a0f504dc6194cc4ec600892121a,3.0,Onsight,wall-back-wall,968.7,
2019-04-03,Blue,5.9,6d6d81a7be84ffe488bf49dee788e998,3.0,Onsight,wall-back-wall,993.7,
2019-04-03,Red,5.10c,1d0aa9293f991995d2e5e1f13929158a,3.0,Onsight,wall-back-wall,1018.7,
2019-04-03,Purple,5.10b,89608b1c6e6f3c39bb6e2f9ec5a7cefe,3.0,Onsight,wall-back-wall,1045.1,
2019-04-03,Purple,5.10d,6eb36825279e54c3899658aef728c858,3.0,Onsight,wall-back-wall,1121.9,
2019-04-03,Lime Green,5.11a,988f35266851d16d4a0b5245da253a28,3.0,Red Point,wall-back-wall,1175.7,
2019-04-03,Black,5.11a,f7dd163e997a08741ed8e39cb6cb05e0,3.0,Red Point,wall-back-wall,967.8,
2019-04-03,Lime Green,5.9,7a8a7029a318682e1cddfdfe63334e01,3.0,Onsight,wall-back-wall,894.6,
