date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-07-22,Tan,V1,d7ad535c19adf449ec1c70f7385d1dda,3.0,Red Point,wall-slab,192.9,
2019-07-22,Lime Green,V1,f945c9a6a1b77e8d81c5c95890e65672,3.0,Red Point,wall-slab,192.9,
2019-07-22,White,V2,fe83d69e47a63aca4fac26c673570a33,3.0,Red Point,wall-slab,118.8,
2019-07-22,Red,V1,51d8673246bb3453d7277b103df5bfc0,3.0,Red Point,wall-slab,118.8,
2019-07-22,Yellow,V1,7531357f5562b837cb424c0a37b1fe29,3.0,Red Point,wall-slab,118.8,
2019-07-22,Tan,V0,bb92a89554504aa6c3147433d9a18d52,3.0,Red Point,wall-slab,48.7,
2019-07-11,Lime Green,V0,00e85a17ac2b01aecbb44ee0964f931b,3.0,Red Point,wall-boulders,581.0,
2019-07-07,Tan,V2,661b31e0eb064cc9b914c403f6a78248,3.0,Red Point,wall-boulders,359.0,
2019-07-05,Blue Left,V2,546afc075597d0419b9fa38142bd2868,3.0,Red Point,wall-boulders,359.0,
2019-07-05,Tan,V1,96292de46b4e248fabcbcd66b2debb12,3.0,Red Point,wall-boulders,288.8,
2019-07-05,Yellow,V0,f0023a9020b734a4863762f380a4bfa4,3.0,Red Point,wall-boulders,288.8,
