date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-03-27,Yellow,5.8,3092485929d271da6e675e264546da34,3.0,Onsight,wall-island,92.7,
2019-03-27,Tan,5.8,a0660e19f7dd03f6783de454fc2f50eb,3.0,Red Point,wall-island,266.2,
2019-03-27,Yellow,5.8,67a5a7040c4f1d09dbdb04e21fb71827,3.0,Onsight,wall-island,353.3,
2019-03-27,Purple,5.7,84495abf3227cc7a723837e466cfade1,3.0,Onsight,wall-back-wall,743.3,
2019-03-25,Purple,5.7,d09d80631c054352fa2160df355bafc3,3.0,Top Rope,wall-auto-belay,497.7,
2019-03-25,Lime Green,5.9,8c03a96f1c2b6d4779936bed50457173,3.0,Onsight,wall-auto-belay,453.6,
2019-03-25,Black,5.9,8e09a80af54389287e86c29f5eca88a5,3.0,Onsight,wall-island,227.5,
2019-03-21,Yellow,5.7,f34c937606056768201242b288987f36,3.0,Top Rope,wall-red,24.0,
2019-03-21,Pink,5.8,a710f31d63105e7027b27c7d0070c690,3.0,Onsight,wall-red,174.5,
2019-03-21,Blue,5.9,1fdeafd2e12ba315e859f5cc6e4fbd6a,3.0,Red Point,wall-red,173.9,
2019-03-21,Lime Green,5.8,48956a2530ff1b2628da1119c3909470,3.0,Top Rope,wall-island,163.0,
2019-03-19,White,5.7,f995c2815700f698fe1cec2996eee649,3.0,Top Rope,wall-auto-belay,174.3,
2019-03-19,Lime Green,5.7,11dde1fc9c345dfa3aa0fff636444eca,3.0,Top Rope,wall-auto-belay,197.6,
2019-03-19,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Top Rope,wall-auto-belay,221.5,
2019-03-19,White,5.9,3329f512d882469afbab061a9584e219,3.0,Top Rope,wall-auto-belay,274.3,
2019-03-19,Pink,5.8,a3baed1839365f71ec5bc79f0cbd7c4f,3.0,Onsight,wall-auto-belay,342.5,
2019-03-19,Yellow,5.6,250ada8699382a9369cf3477d8cef4cb,3.0,Onsight,wall-auto-belay,343.2,
2019-03-16,Blue,5.7,9f434ceda270b40156f1a85b4e406b3e,3.0,Onsight,wall-island,327.5,
2019-03-16,Yellow,5.7,f34c937606056768201242b288987f36,3.0,Onsight,wall-red,24.0,
2019-03-16,Tan,5.9,ee9cc9730eb9229660d1105dfa2beca2,3.0,Top Rope,wall-red,50.1,
2019-03-13,White,5.9,03f286dcf45e388ed91b63fb01c0bf65,3.0,Top Rope,wall-auto-belay,363.6,
2019-03-13,Red,5.8,d0ddb8fc6540f6759a19fc3f23c5abf5,3.0,Top Rope,wall-auto-belay,481.3,
2019-03-13,Grey,5.9,8576afc668e499c95818767d1d8c0f91,3.0,Top Rope,wall-fox,49.2,
2019-03-13,Yellow,5.8,347658f96cc9ca5bcfb075c0cf3f7c2f,3.0,Onsight,wall-island,315.9,
2019-03-09,Tan,5.7,6253cf1041376755f31c905fc6e9c8c6,3.0,Onsight,wall-back-wall,1045.1,
2019-03-09,Lime Green,5.8,48956a2530ff1b2628da1119c3909470,3.0,Top Rope,wall-island,163.0,
2019-03-09,Black,V1,e9af4aa3550625490793ba36dbef7d4e,3.0,Flash,wall-boulders,581.0,
2019-03-09,Black,V1,53f6a9bbf290a18f0ad1ce3c12762c22,3.0,Flash,wall-boulders,793.8,
2019-03-06,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,3.0,Top Rope,wall-auto-belay,304.0,
2019-03-06,Tan,5.8,079cdf71146f1a0495427e173343df72,3.0,Onsight,wall-auto-belay,150.1,
2019-03-06,White,5.7,f995c2815700f698fe1cec2996eee649,3.0,Onsight,wall-auto-belay,174.3,
2019-03-06,Lime Green,5.7,11dde1fc9c345dfa3aa0fff636444eca,3.0,Onsight,wall-auto-belay,197.6,
2019-03-06,Pink,5.9,5d39d37989f108ea53cb5e8f3111b717,3.0,Onsight,wall-auto-belay,221.5,
2019-03-06,Tan,V1,aaf1483333b229eda081cdd3f40ff7f1,3.0,Flash,wall-mezzanine,39.7,
2019-03-06,Blue,V1,efb22ae4cd1bef7443bb49c135adb840,3.0,Flash,wall-mezzanine,39.7,
2019-03-06,Blue,V0,dab297a9dc9c45dba60dc8bd773c70e7,3.0,Flash,wall-mezzanine,114.6,
2019-03-06,White,V2,a8c1f1d1bbbd74e1752263591f4f7694,3.0,Flash,wall-mezzanine,114.6,
2019-03-06,Blue,V0,d83fd724dfc070cef430a4992d4a3853,3.0,Flash,wall-mezzanine,114.6,
