date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-21,Black,5.11b,ade052ca9209279ae58bdc1189bc14c5,3.0,Red Point,wall-back-wall,1175.7,
2019-06-21,Black,5.11b,ade052ca9209279ae58bdc1189bc14c5,3.0,Attempt,wall-back-wall,1175.7,
2019-06-21,Lime Green,V4,d0fc2727f4bb05324556be3f5eaf6a21,5.0,Flash,wall-mezzanine,114.6,
2019-06-21,Blue,V2,684e830b3e864916d7d8ec5a511c3335,5.0,Flash,wall-mezzanine,114.6,
2019-06-21,Lime Green,V3,f0f6ffbf9081ddbc8493d256832b1038,3.0,Red Point,wall-boulders,161.2,
2019-06-21,Tan,V3,75bcd5fd4942d36233a9669d87d71929,5.0,Flash,wall-boulders,359.0,
2019-06-01,Black,5.11c,097beceee6510976ce27152be64bcab8,3.0,Top Rope,wall-island,91.7,
2019-06-01,Purple,5.10a,e3e34569a4a7dcb07cef8ad3fda0bc68,3.0,Top Rope,wall-island,127.1,
2019-06-01,Tan,5.10d,7329deeb332b9f32bffca04fd844263f,3.0,Top Rope,wall-back-wall,829.3,
2019-06-01,Tan,5.12a,2707072e4809f5469e355f1bfe13fff7,3.0,Top Rope,wall-back-wall,967.8,
2019-06-01,Lime Green,5.11a,988f35266851d16d4a0b5245da253a28,3.0,Attempt,wall-back-wall,1175.7,
