date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-11-29,Pink,V4,a475a4a8880f25835b4b2a2a2c2f7b30,5.0,Red Point,wall-boulders,423.0,
2018-11-28,Tan,V4,fc4e5ebfcafaeda4e4c6c5acdf9924bd,5.0,Flash,wall-boulders,423.0,
2018-11-28,Blue,V4,ce6e44cb9e08e6d1f0c71f4a1f3007b5,5.0,Flash,wall-boulders,505.7,
2018-11-28,Lime Green,V3,fd0ba91bb06387cf6aee0de1e3d32ae1,5.0,Flash,wall-boulders,423.0,
2018-11-26,Blue,V6,36b5baf33623223aea0b0953f5c728ea,5.0,Red Point,wall-boulders,288.8,
2018-11-25,Purple,5.8,119b31b4dba526aea5d62c31f626cf25,3.0,Onsight,wall-back-wall,1018.7,
2018-11-25,Black,5.9,f22c054a3e4904170725ae656afa3a7b,3.0,Onsight,wall-back-wall,945.1,
2018-11-25,White,V3,9f266a781d2555dfb2c582289b0cf833,3.0,Red Point,wall-mezzanine,39.7,
2018-11-25,Lime Green,5.9,1523c1debae6dbc45d4a4921049ff109,3.0,Onsight,wall-island,42.2,
2018-11-25,Yellow,5.10b,106be21a345dd9db9fa81f68bdde4538,3.0,Onsight,wall-back-wall,1353.6,
2018-11-23,Lime Green Left,V3,64445ee603a26886e61f0355c1f5d248,5.0,Flash,wall-mezzanine,114.6,
2018-11-23,Blue,V4,3e3c763c392a94dd257e9758710681f0,5.0,Red Point,wall-mezzanine,114.6,
2018-11-23,Pink,V3,395a27895a6aa1356fbceec4a69e68da,3.0,Red Point,wall-mezzanine,39.7,
2018-11-21,Pink,V5,5adbbbc161bf5dd9e4bef68b5ce65fab,5.0,Flash,wall-mezzanine,114.6,
2018-11-21,Purple,V0,305ffa1d42f836a43e24bee9b5fde416,5.0,Flash,wall-mezzanine,114.6,
2018-11-21,Lime Green,V2,3e97eacc3fc07b75005c532daa28ef21,5.0,Flash,wall-mezzanine,39.7,
2018-11-21,Black,V4,7d08c87341db6f56baaa7a78195285b6,5.0,Flash,wall-mezzanine,39.7,
2018-11-21,Yellow,V4,5460d00441d47251ac79d5346a4eb407,5.0,Flash,wall-mezzanine,39.7,
2018-11-21,Tan,V0,69e3a0d2cf95c8bfb1b64d25e0e1f17b,5.0,Flash,wall-mezzanine,39.7,
2018-11-21,Purple,V2,17155fa4e32f7056b1b4f013be75ae02,5.0,Flash,wall-mezzanine,39.7,
2018-11-17,Yellow,V7,d67342406fa599fad854e2a51b9fbc28,3.0,Red Point,wall-boulders,505.7,let's just say I've done this about 50 times. lost count after 20..
2018-11-07,Purple,V0,1684f1e4b734ea9499254398e41b5e4b,3.0,Flash,wall-slab,192.9,
2018-11-07,Yellow,V3,c7681bb87852118773ee3c0a72effd0d,5.0,Red Point,wall-slab,192.9,cheese looking holds are always fun
2018-11-07,Pink,V4,eb50fde2f6e2c8dac6455bd3052d565e,3.0,Red Point,wall-slab,192.9,
2018-11-07,Tan,V2,7297dc08f72fc34b95b276256ee2acff,3.0,Flash,wall-slab,192.9,
2018-11-07,Black,V5,6a4317f40f7ce10dfff26cb728016089,3.0,Red Point,wall-slab,118.8,
2018-11-05,White,V3,5f166f02935d1b50802c9448008188a3,3.0,Flash,wall-boulders,793.8,
2018-11-05,White,V3,5f166f02935d1b50802c9448008188a3,3.0,Flash,wall-boulders,793.8,
2018-11-01,Blue,V3,540dc9ec5b6a91cf32824140c1a49d74,5.0,Flash,wall-boulders,667.3,
