date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-01-29,Grey,5.9,8576afc668e499c95818767d1d8c0f91,4.0,Onsight,wall-fox,49.2,
2019-01-29,Green,5.9,a78d6eef7d703791dd237eb65dd793ea,4.0,Onsight,wall-fox,198.0,
2019-01-29,White,5.11c,f7e3abb0385697a067722017f445bab5,5.0,Onsight,wall-red,155.6,
2019-01-29,Yellow,5.10b,7ef986fa088045af399482255eae8388,4.0,Onsight,wall-fox,28.3,
2019-01-29,Black,5.10c,7bad11631bf9889682bd47185364030d,5.0,Onsight,wall-red,80.7,
2019-01-29,Tan,5.10a,d8fb004619c19429664e2429e738ab8a,5.0,Onsight,wall-red,109.7,
2019-01-28,Yellow,5.10b,2ab8a816edc08aab5ef7ad21e092f405,4.0,Onsight,wall-red,132.5,
2019-01-28,Tan,5.9,ee9cc9730eb9229660d1105dfa2beca2,5.0,Onsight,wall-red,50.1,
2019-01-28,White,5.8,c360c7fed24729d68ec8985ce6f8685f,5.0,Onsight,wall-red,79.7,
2019-01-26,Red,5.11b,f7233d69cb14c8e3f01e9a8239b839f4,4.0,Onsight,wall-back-wall,1386.5,
2019-01-26,Yellow,5.10d,0b0f0f1a07ff2a92216117c680a64a93,4.0,Onsight,wall-back-wall,108.7,
2019-01-26,Lime Green,5.10b,cec048e02a0a9819c3192438f1552d50,3.0,Onsight,wall-back-wall,1141.8,
2019-01-26,Purple,5.9,1ea031b0e8515c999a2c4a10886cedf5,4.0,Onsight,wall-back-wall,1169.1,
2019-01-25,Pink,5.8,9abd042079ae086070583176cccf5898,3.0,Onsight,wall-back-wall,1140.9,
2019-01-19,Yellow,5.9,51abd9d1d62562b97a0447b48c0b5430,4.0,Onsight,wall-island,560.7,
2019-01-19,Yellow,5.9,f1c779b1601ff61251a62c706122e0c4,5.0,Onsight,wall-back-wall,1121.9,
2019-01-18,Black,5.8,aa0e73d2114a720caec6715b7075f264,4.0,Onsight,wall-back-wall,741.6,
2019-01-17,Blue,5.10d,964f70f47d1fb523e0e0a3b344325dc0,5.0,Onsight,wall-island,141.6,
2019-01-17,White,5.10c,da9b8a266b2e2616ec807a87b2a40da2,3.0,Onsight,wall-island,245.4,
2019-01-16,Red,5.10a,4451dfe5d32c60b2dc4043317c65b7bd,5.0,Onsight,wall-island,211.7,
2019-01-16,Purple,5.10b,266f3f05f36df97cba09559cbf5d29d5,4.0,Onsight,wall-back-wall,1068.2,
2019-01-16,Black,5.9,8e09a80af54389287e86c29f5eca88a5,3.0,Onsight,wall-island,227.5,
2019-01-16,Blue,5.8,cecb24a19e79c93fe3de29444a4d3f63,5.0,Onsight,wall-island,246.0,
2019-01-12,Pink,5.10c,b9c7a17cfb26845393f16007fb1e69c2,4.0,Onsight,wall-island,107.8,
2019-01-12,Tan,5.11b,e3b3ee55c62a6270f960469dd0f8a1e0,5.0,Onsight,wall-auto-belay,498.5,maybe my favorite route ever
2019-01-12,White,5.10d,dd800400b3a885964918446b9cd6f8d2,4.0,Onsight,wall-island,182.8,
2019-01-12,Purple,5.10a,084548166765eb3f945cef7f7e7a19de,5.0,Onsight,wall-island,183.8,
2019-01-12,Lime Green,5.10c,7e19c64fb2ede71b15d966b56d6358a2,4.0,Onsight,wall-back-wall,993.7,
2019-01-12,Black,5.10b,23635a2a8675f828374c800835e29130,3.0,Onsight,wall-back-wall,946.0,
2019-01-12,Blue,5.9,53b3000422ba898e6929c61b381db964,4.0,Onsight,wall-back-wall,1044.1,
2019-01-10,Black,5.11b,6d705ebeaff16ab21030d4d98c8f4c32,4.0,Flash,wall-auto-belay,273.1,
2019-01-10,Yellow,5.10a,fdd1f736ade770f46304afe50327fdfa,5.0,Onsight,wall-back-wall,1019.6,
2019-01-10,Black,5.9,d2e718619044988367e024b81ee38bee,4.0,Onsight,wall-auto-belay,391.2,
2019-01-10,Yellow,5.10b,cc9072937710765037b6b143a40b4d9b,3.0,Onsight,wall-auto-belay,480.4,
2019-01-10,Blue,5.10a,1bbabbfcc57ae01cfe00198c98e00cbb,4.0,Onsight,wall-auto-belay,418.8,
2019-01-10,Lime Green,5.9,8c03a96f1c2b6d4779936bed50457173,5.0,Onsight,wall-auto-belay,453.6,
2019-01-08,Tan,5.9,4240b9328b74f7a83446c7a805b99ee8,3.0,Onsight,wall-auto-belay,249.2,
2019-01-05,Lime Green,5.7,cffcf511f698da73bc005a0c57a5df9a,5.0,Onsight,wall-auto-belay,304.0,
2019-01-05,Blue,5.10d,362a23a312cc3a787775525d1c4e0142,5.0,Onsight,wall-auto-belay,302.7,
2019-01-05,Red,5.10b,76c7b490994383734a7679d9553f8e5e,5.0,Onsight,wall-auto-belay,273.7,
2019-01-05,White,5.9,3329f512d882469afbab061a9584e219,5.0,Onsight,wall-auto-belay,274.3,
2019-01-05,Blue,5.10b,d16742559fbe4127343c09c54ce531de,4.0,Onsight,wall-auto-belay,196.3,
2019-01-05,Yellow,5.11a,976398e1623fc0b52499bb8f042b7aa7,5.0,Onsight,wall-auto-belay,195.7,
2019-01-05,Blue,5.9,988fa13399711efee84db1f5c7a16115,4.0,Onsight,wall-back-wall,829.3,
2019-01-04,Lime Green,5.9,69882caa5c9aef62e5dcdb9c30d2a10d,1.0,Onsight,wall-back-wall,791.7,
2019-01-03,Black,5.11a,9ef0e5cb2b10f5eaed971ea662854a68,4.0,Onsight,wall-auto-belay,220.8,
2019-01-02,White,5.9,9cc824de98cd56884d48c0db5b7adbbf,5.0,Onsight,wall-island,75.0,
2019-01-02,Yellow,5.9,ae26a3a89888277167afc1bab5613de6,4.0,Onsight,wall-island,42.2,
