date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-28,Tan,5.10b,ca9a900bf774893c97d2f02ad169c78b,,Top Rope,wall-island,468.2,
2020-02-28,Tan,5.10c,911a3fab504895d45dcd360d5cf3574c,,Onsight,wall-island,591.4,
2020-02-28,Lime Green,5.10c,e323ab45980d52796b22e7c77595ec4b,,Onsight,wall-island,530.3,
2020-02-28,Black,5.10b,7347b407ef8ecdbdafd8546dadfb85d1,,Red Point,wall-island,396.5,
2020-02-28,Tan,5.11a,889abb10ab5b39d740d53144e866726b,5.0,Onsight,wall-island,59.4,
2020-02-28,Red,5.11b,257fb4905bb6513986df16888c6dc9c7,5.0,Red Point,wall-island,444.9,
2020-02-24,Pink,5.11a,b324838987e8507a768efb25d71afc4e,,Top Rope,wall-back-wall,1250.3,
2020-02-24,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,5.0,Top Rope,wall-island,394.7,
2020-02-24,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,,Top Rope,wall-island,394.7,
2020-02-24,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,,Top Rope,wall-island,394.7,
2020-02-24,Black,5.10b,7347b407ef8ecdbdafd8546dadfb85d1,,Top Rope,wall-island,396.5,
2020-02-24,Black,5.10b,7347b407ef8ecdbdafd8546dadfb85d1,,Top Rope,wall-island,396.5,
2020-02-24,Purple,5.10d,8f4283e1e07bd9e600998014212bf639,,Onsight,wall-back-wall,124.1,
2020-02-24,Lime Green,5.11b,ab4b8642a8c1c55fc1e807a0241ad65d,,Top Rope,wall-back-wall,108.7,
2020-02-24,Blue,5.11a,91946120ad5236f8d57763c2bb969ea7,,Top Rope,wall-back-wall,1175.0,
2020-02-24,Yellow,5.11b,86e30b5aef1bf19b3b567b5f9896051f,,Attempt,wall-back-wall,1229.4,
2020-02-22,Pink,5.11a,b324838987e8507a768efb25d71afc4e,,Attempt,wall-back-wall,1250.3,
2020-02-22,White,5.10c,a86bca124bf3d326e6e57c9ab442f227,,Top Rope,wall-back-wall,1275.5,
2020-02-22,Red,5.11a,3e4a5964bf8701e189e2ed365b5943f7,,Top Rope,wall-back-wall,1292.9,
2020-02-22,Lime Green,5.12b,b1b4c33845ca214292629a06a081af8a,,Attempt,wall-back-wall,1169.1,
2020-02-22,Yellow,5.10a,5386b87d83fc22783ae82f57ddbfd4e2,,Top Rope,wall-back-wall,1167.3,
2020-02-22,White,5.10c,a73ba2cb99ac603ded6f257460121335,,Top Rope,wall-back-wall,1142.8,
2020-02-22,White,5.10c,5743ff77ddd0bb90114ff91fa17b80f6,,Top Rope,wall-back-wall,1199.9,
2020-02-22,Red,5.8,cee6bb83a181e236a69d27934158c7d0,,Top Rope,wall-back-wall,1176.5,
2020-02-22,Tan,5.9,541bc1906e20805d89567e0b7e5dad63,,Top Rope,wall-back-wall,1227.9,
