date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-11-30,Tan,5.7,9ca9a4cbe9b1e566b8259e1f75fba4e7,3.0,Onsight,wall-auto-belay,304.0,
2019-11-30,Blue,5.8,32c346b8060d1e7ddc9e7ef8a414dc45,3.0,Onsight,wall-auto-belay,274.3,
2019-11-30,Black,5.10b,b968ba4430741a72c07510e328ef2d3b,3.0,Onsight,wall-auto-belay,303.3,
2019-11-30,Blue,V2,e9c4b1cf0f8d06cc148fd2523d6c48a5,3.0,Flash,wall-boulders,359.0,
2019-11-26,Lime Green,5.7,948216317be0497afa5f43d129131bc2,3.0,Onsight,wall-auto-belay,198.2,
2019-11-26,Pink,5.10a,d8ffb83c6af4967932c015e8c861f6af,3.0,Onsight,wall-auto-belay,273.7,
2019-11-26,White,5.8,7224cb9ec952f72a64bc57ada47a5009,3.0,Onsight,wall-auto-belay,174.9,
2019-11-26,Yellow,V0,d938da407de62e7c8b0591a4ba31611c,3.0,Flash,wall-slab,118.8,
2019-11-26,Tan,V1,11989873e17619fe5343a1ba64b7f9fa,3.0,Flash,wall-slab,192.9,
2019-11-26,Blue,5.9,a34a395e57877a93cf1bc8978f4b8ffd,3.0,Onsight,wall-auto-belay,197.6,
