date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-08-30,Blue,5.11b,2b00305ba3f65f4a2fe22e7f95dc98c1,4.0,Attempt,wall-island,127.1,
2019-08-29,Purple,5.12a,43bae0f84317f33ac1549a16e2f6c69b,3.0,Top Rope,wall-island,211.7,
2019-08-29,Blue,5.11c,8ff8ccb0e9f6cadd5fac00e8cd5975d9,3.0,Top Rope,wall-back-wall,921.4,
2019-08-20,Purple,5.12a,15caa1753c9eb7ba7e829ff8179ab042,3.0,Top Rope,wall-back-wall,895.6,
2019-08-18,Yellow,5.12a,6d0b3727ec762401e553d12034b68424,3.0,Attempt,wall-back-wall,1376.9,
2019-08-18,Pink,5.11d,fb76cafe83074886612f954215722eac,3.0,Attempt,wall-island,105.7,
2019-08-18,Red,5.12b,decb82b841b408466c3e214464d6d6b9,3.0,Attempt,wall-island,141.6,
2019-08-18,Blue,5.12c,f4d0f700290745d4fa16c1bb97297dba,3.0,Top Rope,wall-back-wall,1274.8,
2019-08-18,Pink,5.11d,c4c61dac2f994f694391af970bb51085,3.0,Attempt,wall-back-wall,243.4,
2019-08-18,Black,5.12a,1e00dd6146ad1ccb046cd4b9a1f69b02,3.0,Attempt,wall-island,445.8,
2019-08-18,Purple,5.12a,e5d8b6e0417cebd4071adb0b45eb0eba,3.0,Attempt,wall-island,561.5,
