date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-28,Blue,V0,d83fd724dfc070cef430a4992d4a3853,3.0,Flash,wall-mezzanine,114.6,
2019-02-28,Blue,V0,dab297a9dc9c45dba60dc8bd773c70e7,3.0,Flash,wall-mezzanine,114.6,
2019-02-28,Blue,V1,efb22ae4cd1bef7443bb49c135adb840,3.0,Flash,wall-mezzanine,39.7,
2019-02-28,Tan,V1,aaf1483333b229eda081cdd3f40ff7f1,3.0,Flash,wall-mezzanine,39.7,
2019-02-28,Red,V2,8a5c18af1d5ac39654c00e1b10cd3f1b,3.0,Flash,wall-mezzanine,39.7,
2019-02-28,Yellow,V2,0a8a95c29af09a9e76cef087c4d9ec8d,3.0,Flash,wall-mezzanine,39.7,
2019-02-28,White,V2,a8c1f1d1bbbd74e1752263591f4f7694,3.0,Flash,wall-mezzanine,114.6,
2019-02-28,Lime Green,V3,47b45273f03fab666c6db859a233b5a7,3.0,Flash,wall-mezzanine,114.6,
2019-02-28,Yellow,V3,8f106539f91ba41883c66433be3f5b12,3.0,Flash,wall-mezzanine,114.6,
2019-02-28,Red,V3,176245e355e89768178dc17c42ae0dd1,3.0,Flash,wall-mezzanine,114.6,
2019-02-28,Lime Green,V3,9c2210860f6a7693ed212627846f6c5b,3.0,Flash,wall-mezzanine,39.7,
2019-02-28,Pink,V4,c91a7a5393a51c6091e16fa699aa89ff,3.0,Red Point,wall-mezzanine,39.7,
2019-02-28,Pink,V4,d68f70afbc34c8a56bd9d6649203df5f,3.0,Red Point,wall-mezzanine,114.6,
2019-02-20,Red,5.7,acf9ae504cd53872f5f2df6794bed19d,3.0,Onsight,wall-island,60.4,
2019-02-20,Yellow,5.9,ae26a3a89888277167afc1bab5613de6,3.0,Onsight,wall-island,42.2,
2019-02-20,Blue,5.9,1fdeafd2e12ba315e859f5cc6e4fbd6a,3.0,Onsight,wall-red,173.9,
2019-02-20,Red,5.10c,abdb1b3f923fc75fafd4c615792975ed,3.0,Onsight,wall-red,231.5,
2019-02-20,Pink,5.8,a710f31d63105e7027b27c7d0070c690,3.0,Onsight,wall-red,174.5,
2019-02-20,Red,5.10c,abdb1b3f923fc75fafd4c615792975ed,3.0,Onsight,wall-red,231.5,
2019-02-20,Red,5.10c,1b4596da8cfd7d8a90c7302479a91682,3.0,Onsight,wall-back-wall,1330.2,
2019-02-18,Blue,V4,c2b2b2197e87ae1d11ad4dedad08fc28,3.0,Red Point,wall-slab,192.9,
2019-02-17,Red,V5,04f0c441069a8c5d203072b2edd3b2ae,3.0,Red Point,wall-slab,192.9,
2019-02-16,Blue,5.8,963ce19ee1492d6af81513af4fc3923b,3.0,Onsight,wall-back-wall,-1.5,
2019-02-16,Lime Green,5.9,35608cd0ebab47d2193b4e5c8ed794bf,3.0,Onsight,wall-back-wall,37.7,
2019-02-16,Tan,5.10a,c399dd9af22cb0a4e3bfb10ef3c1f226,3.0,Onsight,wall-back-wall,328.9,
2019-02-16,Tan,5.11b,7f52d2123e95be5e9e7d32b532baa8b1,3.0,Top Rope,wall-red,261.8,
2019-02-16,White,5.8,f5e67ce5eeb8ded9d9033d8fd4473ec6,3.0,Top Rope,wall-island,18.7,
2019-02-16,Tan,5.7,87e0ccdf0133cb691fdcb900b76684af,3.0,Top Rope,wall-island,504.0,
2019-02-16,White,5.10c,c02a991b9b9d1019d837898526cb9862,3.0,Top Rope,wall-island,528.5,
2019-02-16,Yellow,5.9,51abd9d1d62562b97a0447b48c0b5430,3.0,Top Rope,wall-island,560.7,
2019-02-16,White,5.11d,d001bdacd05970e660f41fe14177c1bd,3.0,Attempt,wall-back-wall,628.3,
2019-02-16,Yellow,5.11c,ea41970c5746004a8ed6edd3e3687e19,3.0,Attempt,wall-back-wall,743.3,
2019-02-16,Yellow,5.11c,7f6caa103947f0d92ee222997a5aac58,3.0,Attempt,wall-island,420.7,
2019-02-10,Blue,5.7,ffbd8f18f7257dc039b9aa3434c87489,3.0,Onsight,wall-back-wall,1199.9,
2019-02-10,Red,5.9,dde8156e9ceb184cab2cf2da2b7efd7c,3.0,Onsight,wall-back-wall,1227.9,
2019-02-10,Blue,5.10b,cbd5bc382b569491a04024689cbb6c7b,3.0,Onsight,wall-back-wall,252.2,
2019-02-09,Blue,V1,50083e9d51b64842ed16e0df244be875,3.0,Flash,wall-boulders,793.8,
2019-02-09,Lime Green,V3,0f22038a7abae5f46e4bdee832a14100,3.0,Flash,wall-boulders,736.4,
2019-02-09,Pink,V4,2c90225324578927e7749d4bd2ee5f44,3.0,Red Point,wall-boulders,667.3,
2019-02-09,Black,V1,e9af4aa3550625490793ba36dbef7d4e,3.0,Flash,wall-boulders,581.0,
2019-02-09,Lime Green,V2,726864e5a5b713ef4081c53abdf80793,3.0,Flash,wall-boulders,581.0,
2019-02-09,Lime Green,V2,726864e5a5b713ef4081c53abdf80793,3.0,Flash,wall-boulders,581.0,
2019-02-09,Blue,V3,2a1d743ec2b91cbe1e388d759c3920c6,3.0,Flash,wall-boulders,581.0,
2019-02-09,Black,V4,88ce1f8973b407b2cbb6f0d8d8a01078,3.0,Red Point,wall-slab,48.7,
2019-02-09,Lime Green,V3,bf75a495c35d8d077dffa78241cb9d17,3.0,Red Point,wall-slab,48.7,
2019-02-09,Tan,V5,b3aa8d94f751c7a68a32de98c1a85546,3.0,Red Point,wall-slab,118.8,
2019-02-08,Red,V2,7b1a237a6966ddf01ddc6b608ac28544,3.0,Flash,wall-boulders,793.8,
2019-02-07,Tan,V2,18955133edf9f75e1d1930adfa4233c0,3.0,Flash,wall-boulders,423.0,
2019-02-07,Black,V1,53f6a9bbf290a18f0ad1ce3c12762c22,3.0,Flash,wall-boulders,793.8,
2019-02-07,Lime Green,V0,f3bfa601b83ec4f5272993730534a62a,3.0,Flash,wall-boulders,793.8,
2019-02-07,Lime Green,V0,4307398f52fe8a65c686a2aaf47492d0,3.0,Flash,wall-boulders,667.3,
2019-02-07,Lime Green,V3,5b6506e0a13d9c1e5031cf503718239d,3.0,Flash,wall-boulders,793.8,
2019-02-07,Purple,V2,6365a6ddab39ad83e744422ac50d736c,3.0,Flash,wall-boulders,793.8,
2019-02-07,Yellow,V4,ce120a5b50c6851e7a7970b2b8e6f25b,3.0,Flash,wall-boulders,793.8,
2019-02-06,Red,V3,cf54b3890b323d900dd2d885c851565e,3.0,Flash,wall-boulders,288.8,
2019-02-06,Yellow,V3,35e482e2b4594e52381028755ff61247,3.0,Flash,wall-boulders,288.8,
2019-02-06,Yellow,V3,35e482e2b4594e52381028755ff61247,3.0,Flash,wall-boulders,288.8,
2019-02-06,Lime Green,V4,44aa15e83690d7a7ead7db684efae398,3.0,Flash,wall-boulders,288.8,
2019-02-06,Blue,V0,64ea47c11037bc93138094d78936ecae,3.0,Flash,wall-boulders,359.0,
2019-02-06,Red,V5,b6059afb2b18e8cb9a47ace97be7f883,3.0,Flash,wall-boulders,359.0,
2019-02-06,White,V1,ab36be18dc16afdfc462f2efedf59e65,3.0,Flash,wall-boulders,359.0,
2019-02-06,Black,V2,3a4e4e98e14179e12c6a35c8c03a2573,3.0,Flash,wall-boulders,359.0,
2019-02-06,Lime Green,V0,46e6224b81223c9a6daa42106e04ed28,3.0,Flash,wall-boulders,423.0,
2019-02-06,Pink,V2,bf2afe97a9a0636bf80037f9c710ccbc,3.0,Flash,wall-slab,48.7,
2019-02-06,Blue,V2,46aac43d651588eeb536d2265e2a2b27,3.0,Flash,wall-slab,48.7,
2019-02-06,Black,V3,013b40bd6cef5f1c302536af90a731f1,3.0,Flash,wall-slab,118.8,
2019-02-06,Red,V2,334c0a6d0fdb2450a9cfa7886f17b1ed,3.0,Flash,wall-slab,118.8,
2019-02-06,Yellow,V0,32cab75cc453e00b7071e6d008026006,3.0,Flash,wall-slab,118.8,
2019-02-06,Lime Green,V0,95008bdb438aa1cc49b25ab851a8179d,3.0,Flash,wall-slab,192.9,
2019-02-06,Black,V1,0cda2b1dda67ea0939b4eab24b771519,3.0,Flash,wall-slab,192.9,
2019-02-06,White,V6,5afc1e8fa9c0d7ad2a28c56aee141add,3.0,Red Point,wall-slab,192.9,
2019-02-03,Pink,5.11b,7a9b37b0783be3eb71e07c4645010042,3.0,Onsight,wall-back-wall,388.4,
2019-02-03,Blue,5.10d,035a20935302d087ae0530ba1bc26774,3.0,Onsight,wall-red,25.4,
2019-02-03,Tan,5.10a,d8fb004619c19429664e2429e738ab8a,3.0,Onsight,wall-red,109.7,
2019-02-03,Tan,5.9,ee9cc9730eb9229660d1105dfa2beca2,3.0,Onsight,wall-red,50.1,
2019-02-03,Yellow,5.8,0fd5296256e3111c7ad7c8e82985ec2e,3.0,Onsight,wall-back-wall,1251.0,
2019-02-03,Yellow,5.8,2ce4be69981cf89df5b9ccb4d919f0ae,3.0,Onsight,wall-back-wall,1310.0,
2019-02-02,Yellow,5.11a,d8d43b4cdc805abd0cc4d37ec51e076a,3.0,Onsight,wall-back-wall,442.1,
2019-02-02,Red,5.10c,3e57b6426b55cddd81a18e644136f8fd,3.0,Onsight,wall-back-wall,684.0,
2019-02-02,Lime Green,5.10d,92d0119ebfe560f135f1a6f300525d3e,3.0,Onsight,wall-back-wall,588.1,
