date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-06-27,Pink,V8,9a1423acc494f2f524c416b9a0f2bd26,5.0,Red Point,wall-boulders,793.8,
2019-06-27,Tan,V4,92a1dfda6f20775d246716e5eedd6279,4.0,Red Point,wall-boulders,667.3,
2019-06-27,White,V7,4fabe44e6c419e2eba7334e231d0d7dd,5.0,Red Point,wall-boulders,667.3,
2019-06-27,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,4.0,Flash,wall-boulders,736.4,
2019-06-27,Lime Green,V6,b1db6c1d3272e79c2d8dd4dd4c4463be,4.0,Flash,wall-boulders,736.4,
2019-06-27,Yellow,V5,d449c3565034ff371fe6b52643d53e14,4.0,Flash,wall-boulders,736.4,
2019-06-27,Pink,V6,9b96b7bdb42a7c191dc81f8331b4313c,4.0,Flash,wall-boulders,736.4,
2019-06-27,Black,V5,1014e66a5332d24fad4073a8d3124cde,4.0,Red Point,wall-boulders,736.4,
2019-06-27,Lime Green,V2,251d52490fcdb4f8d5c9f0aa65dcfbdc,4.0,Flash,wall-boulders,793.8,
2019-06-27,White,V3,dc22e056c53bea7211bde34eaaf3b79d,5.0,Flash,wall-boulders,793.8,
2019-06-27,White,V2,9c8923a43dfdfbb7a30e15635bb87f25,4.0,Flash,wall-boulders,667.3,
2019-06-27,Red,V3,cb4fc02d93152b28c723804b78dcb7b7,4.0,Flash,wall-boulders,667.3,
2019-06-27,Tan,V1,808ff2ac7d083bdad288cda3be76b4bc,4.0,Flash,wall-boulders,793.8,
2019-06-27,Yellow,V0,712fde24ff1ccde003d3599a5b7b22af,4.0,Flash,wall-boulders,793.8,
2019-06-09,Blue,V4,690c508ddb59f947d415f14fd03d4b19,3.0,Red Point,wall-slab,118.8,
2019-06-09,Yellow,V3,f96b54f8dd517597acc993aff88b4166,4.0,Flash,wall-slab,118.8,
2019-06-09,Pink,V6,3ae49af5a3855bf4fa85b75a332fe3f8,3.0,Red Point,wall-slab,118.8,
2019-06-09,Tan,V0,d3a46448b55ab0014abb6cf2477ee9a0,3.0,Flash,wall-slab,192.9,
2019-06-09,Lime Green,V3,4b55747ec6981448c9b65b81da373471,4.0,Flash,wall-slab,192.9,
2019-06-09,White,V1,32d657fe1d6ede4aa176a56127325d4b,4.0,Flash,wall-slab,192.9,
2019-06-09,Red,V5,796902e30948c9cf758474d85909958d,4.0,Red Point,wall-slab,192.9,
2019-06-09,Blue,V6,e7874550eb671551910aaea1da7e3266,5.0,Red Point,wall-boulders,288.8,
2019-06-09,Lime Green Stand,V5,33510e21d3529ec7eb92c14c9748dfce,4.0,Red Point,wall-boulders,423.0,
2019-06-09,Pink Low,V7,54a033e3173e1f5e91a9dcbd1cb59867,5.0,Red Point,wall-boulders,505.7,
2019-06-01,Tan,V1,c43c157c05eae8d3d107070153d415a1,4.0,Flash,wall-boulders,423.0,
2019-06-01,White,V3,6469b1c646b93cda0518f42172c56501,4.0,Flash,wall-boulders,423.0,
2019-06-01,Black,V2,278df74275da07288126f5247712da42,4.0,Flash,wall-boulders,505.7,
2019-06-01,Blue Stand,V3,09c71afc4d6506775ca8663eb6764915,4.0,Flash,wall-boulders,505.7,
2019-06-01,Blue Low,V5,f4c6aad67722d102c7464ac787e6ce5a,4.0,Flash,wall-boulders,505.7,
2019-06-01,Tan Stand,V4,9a7960f4b43d43e26d5375bf503c6adc,4.0,Red Point,wall-boulders,505.7,
2019-06-01,Tan Low,V6,dd26f02a5dfc6942edbecfa0add466f2,3.0,Red Point,wall-boulders,505.7,
2019-06-01,Tan Low,V6,dd26f02a5dfc6942edbecfa0add466f2,4.0,Red Point,wall-boulders,505.7,
2019-06-01,Pink Stand,V6,4352d91a5b9769b49d10ac3277daf69a,4.0,Flash,wall-boulders,505.7,
2019-06-01,White,V3,b901c5a7044c4eb0f47cd1858f84edef,4.0,Flash,wall-boulders,581.0,
2019-06-01,Lime Green,V4,746621c51934510070839cadb2b37c0b,4.0,Flash,wall-boulders,581.0,
2019-06-01,Black,V2,6435404e42efd4d2097d5b3242739aac,3.0,Flash,wall-boulders,581.0,
2019-06-01,Yellow,V5,4d4f97506ad7d2f53b93e4395a7e453c,4.0,Red Point,wall-boulders,581.0,
2019-06-01,Blue,V0,30082ec4babc41bcea1470e480d23850,4.0,Flash,wall-boulders,581.0,
