date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-02-20,Blue,V0,dab297a9dc9c45dba60dc8bd773c70e7,3.0,Flash,wall-mezzanine,114.6,
2019-02-20,Blue,V0,d83fd724dfc070cef430a4992d4a3853,3.0,Flash,wall-mezzanine,114.6,
2019-02-13,Black,V1,53f6a9bbf290a18f0ad1ce3c12762c22,3.0,Flash,wall-boulders,793.8,
2019-02-13,Blue,V1,50083e9d51b64842ed16e0df244be875,3.0,Flash,wall-boulders,793.8,
2019-02-13,Purple,V2,6365a6ddab39ad83e744422ac50d736c,3.0,Red Point,wall-boulders,793.8,
2019-02-08,Black,V3,9422cec1fdd256e8eec2670378d221ca,3.0,Red Point,wall-mezzanine,114.6,
2019-02-06,Yellow,V4,c51e4387dab1fefb19acd973a3cf3538,3.0,Red Point,wall-mezzanine,39.7,
2019-02-06,Black,V1,0cda2b1dda67ea0939b4eab24b771519,3.0,Red Point,wall-slab,192.9,
2019-02-06,Red,V2,334c0a6d0fdb2450a9cfa7886f17b1ed,3.0,Red Point,wall-slab,118.8,
2019-02-03,Blue,V0,64ea47c11037bc93138094d78936ecae,3.0,Flash,wall-boulders,359.0,
2019-02-03,White,V1,ab36be18dc16afdfc462f2efedf59e65,3.0,Flash,wall-boulders,359.0,
2019-02-03,Black,V2,3a4e4e98e14179e12c6a35c8c03a2573,3.0,Red Point,wall-boulders,359.0,
2019-02-03,Lime Green,V0,95008bdb438aa1cc49b25ab851a8179d,3.0,Flash,wall-slab,192.9,
2019-02-03,Yellow,V0,32cab75cc453e00b7071e6d008026006,3.0,Flash,wall-slab,118.8,
2019-02-03,Blue,V2,46aac43d651588eeb536d2265e2a2b27,5.0,Red Point,wall-slab,48.7,
