date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-10-30,Pink,5.9,88fe68f90d26bebd89a52906c75593a1,5.0,Top Rope,wall-island,366.1,
2020-10-30,Tan,5.9,efd519203b7644946e43f1213412be10,4.0,Top Rope,wall-red,109.7,
2020-10-30,Yellow,5.9,ea3065c1717c8f4b229e010165a7d543,5.0,Top Rope,wall-auto-belay,148.8,
2020-10-30,Blue,5.8,162401467113e914cae7c8a8f49782f1,4.0,Top Rope,wall-auto-belay,341.8,
2020-10-30,Red,5.9,127f1ae2c934a4277abccfa265c0088a,5.0,Top Rope,wall-auto-belay,222.7,
2020-10-30,Blue,5.9,6940b2cefd45b9780a55c6dc9c46df36,4.0,Top Rope,wall-auto-belay,45.3,
2020-10-30,White,5.9,41d06e84c5801f6b1c0217d383139c81,4.0,Top Rope,wall-red,230.0,
2020-10-30,Lime Green,5.9,c71147b2cf2c6ece84693ddad2e2e548,5.0,Top Rope,wall-red,155.6,
2020-10-26,Red,5.9,127f1ae2c934a4277abccfa265c0088a,3.0,Top Rope,wall-auto-belay,222.7,
2020-10-26,Grey,5.9,b838163690d6b04437f57b960ae962b3,4.0,Top Rope,wall-auto-belay,44.7,
2020-10-26,White,5.9,c81074aa5457f4f5c5c972f85e4c0911,4.0,Top Rope,wall-auto-belay,479.6,
2020-10-23,Black,5.9,2af6f3b84a1c4bd4c9eca2073fbf2144,4.0,Top Rope,wall-back-wall,743.3,
2020-10-23,Red,5.9,36419782b145d6bdc0271af687e71231,5.0,Top Rope,wall-back-wall,921.4,
2020-10-23,Blue,5.9,89ae3a8f08358c0debd1e9db718b5399,5.0,Top Rope,wall-back-wall,946.9,
2020-10-22,White,5.9,139f9e6c8a21e2ac9c3257b4c848e2b4,4.0,Top Rope,wall-back-wall,1201.3,
2020-10-22,Red,5.9,9f124ea615996a9dcb96b153969ca08f,5.0,Top Rope,wall-back-wall,1250.3,
2020-10-15,Lime Green,5.8,aa225b4d458e23ca187a38f0570172a9,4.0,Top Rope,wall-back-wall,1355.0,
2020-10-15,Yellow,5.9,7bbdbfd8025e632fe4ea575e1f894c53,3.0,Top Rope,wall-red,133.9,
2020-10-15,White,5.9,0b0fc38e4dfb6f9544325b1259172b6a,4.0,Top Rope,wall-red,26.8,
2020-10-09,Purple,5.9,30cb05624d12b1c1c4e4f9c097d439ce,5.0,Top Rope,wall-back-wall,192.2,
2020-10-09,Red,5.10a,2b3fd2fb300f273265ffd473d214963b,5.0,Top Rope,wall-island,266.2,
