date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-10-31,Black,5.9,6bc813cb9feff755b4ca7d7eb6425945,,Onsight,wall-island,228.2,
2020-10-31,Pink,5.8,03034da52d567545a09e61406a7ad3cc,,Onsight,wall-island,315.9,
2020-10-31,Yellow,5.9,bf59c999c761d099547787d1b78b3360,,Onsight,wall-island,300.9,
2020-10-31,Blue,5.9,e3a2429736b1f8443e90bd7edc5c93eb,,Onsight,wall-back-wall,251.9,
2020-10-31,Tan,5.8,43b6a31f7dd28554b06ddcbfb9dad186,,Onsight,wall-island,211.0,
2020-10-31,Yellow,5.10b,0886629f8fd1fd678b16829a7c9a7ace,,Onsight,wall-island,164.0,
2020-10-31,White,5.10a,4fc1f1b8517e3ceefac677481c4abc04,,Onsight,wall-red,133.9,
2020-10-31,Yellow,5.10b,9732366291d737b9f01dd9f0a8585816,,Onsight,wall-red,81.4,
2020-10-31,Blue,5.10b,15f94f126b5ce0207c6dbf5dfd81eea7,,Onsight,wall-red,50.1,
2020-10-31,Black,5.10c,099acc5d0e6a2d3a2e91bfd67f96cbcf,,Onsight,wall-island,128.1,
2020-10-30,Black,5.9,f01e6a54f92b71bd25f5af5f0fd72efb,,Onsight,wall-red,79.7,
2020-10-29,Blue,5.8,00080a9d1c969bd33fee8e8c0d0051da,,Onsight,wall-red,261.8,
2020-10-29,White,5.9,41d06e84c5801f6b1c0217d383139c81,,Onsight,wall-red,230.0,
2020-10-29,Blue,5.9,4195fcb5ad77ff91f4612db1e8d0639a,,Onsight,wall-back-wall,57.6,
2020-10-29,Lime Green,5.8,d86ffb5c7b84a7ad5ead29f0bde68bb6,3.0,Onsight,wall-auto-belay,19.1,
2020-10-29,Blue,5.9,6940b2cefd45b9780a55c6dc9c46df36,3.0,Onsight,wall-auto-belay,45.3,
2020-10-29,Yellow,5.7,456257968d19846724c908ccf2cbff7b,,Onsight,wall-auto-belay,67.7,
2020-10-29,Tan,5.10a,13cab5fca8ed272335de4af7976ff1ee,3.0,Onsight,wall-auto-belay,68.9,
2020-10-23,Black,5.10a,276b74006ab810ee630e55fa8db2695e,,Onsight,wall-red,197.6,
2020-10-23,Yellow,5.8,a5e697d00cb97e2f6bdddcda5ef5ad3f,,Onsight,wall-red,175.1,
2020-10-23,Yellow,5.8,7f78ee6566f051ceabd090067f32d07d,,Onsight,wall-back-wall,-2.4,
