date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-28,Yellow,5.10a,a8168a0133f81754eab9895da2b1cae1,,Attempt,wall-red,109.7,
2020-02-28,Black,5.10b,e3bb65d47c22cddc19048ed526c5d751,,Attempt,wall-back-wall,1099.6,
2020-02-28,Black,5.10b,e3bb65d47c22cddc19048ed526c5d751,,Attempt,wall-back-wall,1099.6,
2020-02-27,White,5.7,e0d17f287bdf4c778c8d4223239f0794,5.0,Onsight,wall-red,25.4,
2020-02-27,Tan,5.9,541bc1906e20805d89567e0b7e5dad63,,Attempt,wall-back-wall,1227.9,
2020-02-27,Blue,5.9,2b18d255c8e8fbae543027d4875d6201,,Onsight,wall-back-wall,1353.6,
2020-02-27,Purple,5.9,b78eed444ec9192dd2f96b804492abed,,Top Rope,wall-back-wall,946.9,
2020-02-27,Purple,5.9,b78eed444ec9192dd2f96b804492abed,,Flash,wall-back-wall,946.9,
2020-02-27,Lime Green,5.7,5bb665bc5ab009b62711d7294fbe660f,,Onsight,wall-back-wall,993.7,
2020-02-27,Blue,5.9,cbd680349f4447cdb1857e28cbece514,,Red Point,wall-back-wall,1046.0,
2020-02-27,Yellow,5.8,7c2bf0c77c87dd4a16094c10df3c2fc9,,Onsight,wall-back-wall,1097.8,
2020-02-27,Purple,5.8,73b7b24800347c39cf310d82bf48d4d3,,Onsight,wall-back-wall,1140.9,
2020-02-27,Lime Green,5.10a,6db84815dd0ddb03bb661f42c4bfca41,,Red Point,wall-red,24.0,
2020-02-27,White,5.7,e0d17f287bdf4c778c8d4223239f0794,,Onsight,wall-red,25.4,
2020-02-27,Blue,5.9,28c55459f34c54a90030b117c0c6d4be,,Onsight,wall-red,50.1,
2020-02-27,Lime Green,5.9,ef112763a9504e29413de114f16cf113,,Attempt,wall-red,132.5,
2020-02-27,White,5.7,940533195b4810604b9f24da64c1133c,,Onsight,wall-red,155.6,
2020-02-27,Tan,5.8,a97bac0b9da6811daf7502198eca5b97,,Onsight,wall-red,175.1,
2020-02-27,Purple,5.8,8728d2950f2038ae5c14b3b80f164708,,Onsight,wall-red,263.2,
2020-02-27,Pink,5.9,9e4b0924a7d7ea5538be15d949d7140d,,Onsight,wall-island,394.7,
2020-02-27,Black,5.10a,422eb4cf58bb8d9ddd1e232528f2fa1f,,Attempt,wall-island,182.8,
2020-02-27,Black,5.9,54e7b29b8a7ee142ab1ad90113fa39f0,,Red Point,wall-island,246.7,
2020-02-27,Yellow,5.9,d2aa312133433efb9dab8c6359cc009a,,Attempt,wall-back-wall,-0.7,
2020-02-27,Yellow,5.8,d15738920cab1d3734559dbcc5d2b5a3,,Onsight,wall-back-wall,243.4,
