date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-12-05,Lime Green,V0,35f5d8d239fd760596d702b7eee7ede9,,Flash,wall-slab,192.9,
2019-12-05,Red,V3,f8471788822aee2cbc217073ef6ac350,,Flash,wall-slab,192.9,
2019-12-05,Pink,V2,c237c8b33a0918328e89b5c1cb0d25ca,,Flash,wall-slab,192.9,
2019-12-05,Black,V5,66534e523878ae755a0834bbda01aebb,,Flash,wall-slab,192.9,
2019-12-05,White,V0,8aaa3a4f74a032d8936f77e684dfdf03,,Flash,wall-slab,118.8,
2019-12-05,Yellow,V4,a94cc983f866c08aa4f2e4f6a6de336a,,Flash,wall-slab,118.8,
2019-12-05,Red,V5,52db780f4058ecbc2c61123936403ac1,,Red Point,wall-slab,118.8,
2019-12-05,Black,V3,9b71b0b23b89df1d775d286c5a39fa63,,Flash,wall-slab,118.8,
2019-12-05,Lime Green,V5,81e52c00ba9ce5a04927abbdd265d724,,Red Point,wall-slab,118.8,
2019-12-05,Yellow,V4,eb59ff8b1376a15ff5eb04c011c27bfb,,Flash,wall-slab,48.7,
2019-12-05,Red,V6,27f6cc1905e4f599e8a0b74b8554335a,,Red Point,wall-slab,48.7,
2019-12-05,White,V1,9f5df0d2145f0513d2c2ac4cad343cac,,Flash,wall-slab,48.7,
2019-12-05,Tan,V3,7deb2e19b6fb227d80ef431e88fa0089,,Flash,wall-slab,48.7,
2019-12-05,Blue,V1,5031f54a3295a6c94ae1d07eaf162387,,Flash,wall-slab,48.7,
2019-12-05,Lime Green,V2,249c531dcbbf175dade9a0fda91957d3,,Flash,wall-slab,48.7,
2019-12-05,Black,V6,da1f659f1ad5418441b3d13f77153cbd,,Red Point,wall-slab,48.7,
