date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-02-18,Tan,5.8,2e4475cf1e07521134148bdbd8d61c98,,Onsight,wall-auto-belay,174.9,
2020-02-18,White,5.7,38eb1fcb06373c94bde4290113082f0f,,Onsight,wall-auto-belay,195.7,
2020-02-18,Purple,5.9,3eab6c30f79c688587a7605616de59ec,,Flash,wall-auto-belay,196.9,
2020-02-18,Pink,5.8,2d293d50d42c8ea7cb8657c85d038b74,,Flash,wall-auto-belay,302.7,
2020-02-18,Lime Green,V1,5aed781f9fde1b16bc1fc2098c0fb9bd,,Flash,wall-boulders,793.8,
2020-02-18,Pink,V2,e459884c250f7aabc719c6d072015a42,,Flash,wall-slab,192.9,
2020-02-18,Black,V1,5b9d5be8269ec03906267a3bd1d5f9e5,,Flash,wall-boulders,87.1,
2020-02-18,Yellow,V0,ced3345847c28d58e588ea76c908763b,,Flash,wall-boulders,161.2,
2020-02-15,Lime Green,V1,a488a6fe1a733e451898ad335d13d216,,Flash,wall-mezzanine,39.7,
2020-02-15,Lime Green,V0,7030e483fc8226ef35c0244926672edb,,Flash,wall-slab,48.7,
2020-02-15,Tan,V1,17206715a23e5c8fc03b11b83ad790ec,,Flash,wall-slab,48.7,
2020-02-15,Lime Green,V3,e1707bd7763bcd7b1b921e95103a833c,,Red Point,wall-boulders,87.1,
2020-02-15,Red,V3,1bd59122a529a7b90bb0d6fe404ff817,,Red Point,wall-boulders,87.1,
2020-02-15,Tan,V2,7a2b4c834d4d16ece848cb04db0cf4ff,,Flash,wall-boulders,161.2,
2020-02-15,Blue Left,V1,c68bb581c1344dd43dfeb8a45514eacf,,Flash,wall-boulders,161.2,
2020-02-15,Lime Green,V1,a488a6fe1a733e451898ad335d13d216,,Flash,wall-mezzanine,39.7,
