date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-08-16,Blue,V9,157d592854ebad7d3d81359b22d34335,4.0,Red Point,wall-boulders,667.3,
2019-08-16,Tan,V4,407f6c7fc7123385949fc75943d2190b,4.0,Flash,wall-boulders,793.8,
2019-08-16,Pink,V3,5f89626fbd4028ecbfc303b4f055bc9f,4.0,Flash,wall-boulders,793.8,
2019-08-16,Yellow Right,V5,0a18dbe769936d43c334adbf68bd94fa,4.0,Flash,wall-boulders,667.3,
2019-08-16,Yellow Left,V6,c3460f8eb90efb0034f454d4013cf638,3.0,Flash,wall-boulders,667.3,
2019-08-16,Pink,V10,fb9d2d31aac0debea81b609f297ac11e,5.0,Red Point,wall-boulders,736.4,
2019-08-16,Black,V7,94d595e4fb902b0ad2eae10b373eacc6,4.0,Flash,wall-boulders,793.8,
2019-08-16,Red,V6,31bc5b0b461bc4ecfb9151f9563a558a,4.0,Flash,wall-boulders,793.8,
2019-08-16,White,V1,ba23dc663af8989d5d4e9dcd151a257e,3.0,Flash,wall-boulders,793.8,
2019-08-16,Lime Green,V8,be89f5d7bf9f74fed668a656b8ac59b1,3.0,Flash,wall-boulders,793.8,
2019-08-09,Pink,V10,fb9d2d31aac0debea81b609f297ac11e,5.0,Red Point,wall-boulders,736.4,
2019-08-08,Lime Green,V7,346d41415c04d79fa3c6101859eafd1e,3.0,Red Point,wall-boulders,87.1,
2019-08-08,White,V0,fd3f4e2e0f09615464bae5ba07f9ee81,3.0,Flash,wall-boulders,87.1,
2019-08-08,Blue,V5,2f42405f19519d2694320dda0724b767,4.0,Flash,wall-boulders,87.1,
2019-08-08,White,V3,9bbc2e3293d69160945d5794d3e14b3b,3.0,Flash,wall-boulders,87.1,
2019-08-08,Tan,V0,cd8a640ef189dfc80aa3f3ebe676ca2a,3.0,Flash,wall-boulders,161.2,
2019-08-08,Pink,V5,bd900a36736dacdab8b8fd16268e7f16,3.0,Flash,wall-boulders,161.2,
2019-08-08,Black,V4,3780a16a30925d61c5e9b9a206d04867,3.0,Flash,wall-boulders,161.2,
2019-08-08,Blue,V3,20578db1d6fea207ca9d5dfd11cce5f6,4.0,Flash,wall-boulders,161.2,
2019-08-08,White,V1,16274d2086f05c8bc15960c37b0fbabf,3.0,Flash,wall-boulders,161.2,
2019-08-08,Red,V7,54f0324e1b3887b6f37ced74fc34cef3,4.0,Flash,wall-boulders,161.2,
2019-08-08,White,V1,2fb86a77df85f35098b30250861aa2a5,3.0,Flash,wall-boulders,161.2,
2019-08-08,Lime Green,V3,e8076d96542c51c34bf5a33fdae6d990,3.0,Flash,wall-boulders,161.2,
2019-08-08,Black,V0,66e3b2861fb139e80c0f70a3db293211,3.0,Flash,wall-boulders,222.0,
2019-08-08,Tan,V6,05b5bda9cce51221707962bc2facaa9c,4.0,Flash,wall-boulders,222.0,
2019-08-08,Blue,V7,2e1c8a2ad302762b9dcc09a4bbeef17d,3.0,Red Point,wall-boulders,222.0,
2019-08-08,Yellow,V5,dd4295c254e1fe73c10f31cc8fe0c673,3.0,Flash,wall-boulders,222.0,
2019-08-08,Pink,V2,05924c0693537187d4cb03096ffe46a6,3.0,Flash,wall-boulders,222.0,
2019-08-08,Tan,V2,661b31e0eb064cc9b914c403f6a78248,3.0,Flash,wall-boulders,359.0,
2019-08-08,Black,V6,d1cf9cc363a9c9232c5332ad22b8b04f,3.0,Flash,wall-boulders,359.0,
2019-08-08,Blue,V4,a5678d795e55e3b9b4a098ca77021bef,3.0,Flash,wall-boulders,736.4,
2019-08-08,Tan,V1,808ff2ac7d083bdad288cda3be76b4bc,2.0,Flash,wall-boulders,793.8,
2019-08-08,Red Low,V9,0e9441b30fd4381db61f2985c3d358dc,4.0,Red Point,wall-boulders,793.8,
2019-08-08,Red High,V8,571c4086172829f51a23327dc991e0a1,3.0,Red Point,wall-boulders,793.8,
2019-08-08,White,V3,dc22e056c53bea7211bde34eaaf3b79d,3.0,Flash,wall-boulders,793.8,
2019-08-08,Lime Green,V2,251d52490fcdb4f8d5c9f0aa65dcfbdc,4.0,Flash,wall-boulders,793.8,
2019-08-08,Red,V6,669fb7797907bc86a00bb2800035be2b,3.0,Flash,wall-boulders,793.8,
2019-08-08,Yellow,V0,712fde24ff1ccde003d3599a5b7b22af,3.0,Flash,wall-boulders,793.8,
2019-08-08,Black,V5,d3a2d45593701d55788fc233588f1504,4.0,Flash,wall-boulders,793.8,
2019-08-08,Yellow,V5,d449c3565034ff371fe6b52643d53e14,3.0,Flash,wall-boulders,736.4,
2019-08-08,Lime Green,V8,8ef4d0c977e73c31b140bcfc83a8a7e9,3.0,Red Point,wall-boulders,222.0,
2019-08-08,Purple,V10,c5ea30a4e3cef468178fbcfeae8cbabf,5.0,Red Point,wall-boulders,359.0,
