date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2019-10-27,Yellow,V2,ee4b6cce795e06f6d1bc24013947ec31,4.0,Flash,wall-mezzanine,39.7,
2019-10-27,Pink,V1,2abf771dd47a743f213aeab6952aef52,5.0,Flash,wall-mezzanine,39.7,
2019-10-27,Black,V5,d1529c7dbd14dabc946616289243e604,5.0,Attempt,wall-mezzanine,39.7,
2019-10-27,Tan,V3,96e32d384c12081f590bd5d68974cb6b,4.0,Flash,wall-mezzanine,114.6,I loved it till my butt couldn't fit on the finish hold sitting.
2019-10-27,Red,V2,33efde04bb65f86081d0df92f65a7030,2.0,Attempt,wall-slab,48.7,the crimps that become your feet later are super slick. Sprained my ankle on that one.
2019-10-27,Lime Green,V1,7ca468cc337692ccc0ce64d3bb3e1c9c,3.0,Flash,wall-slab,118.8,
2019-10-27,Pink,V4,7c65ecd43d534459153e02e7842e9b47,5.0,Flash,wall-boulders,87.1,
2019-10-27,Yellow,V3,02254f8b4527f15017b6b2d9a6141602,3.0,Flash,wall-boulders,288.8,
2019-10-27,White Low Start,V4,fae6020c4ba341d60cd5eef64a8492e7,5.0,Flash,wall-boulders,505.7,
2019-10-27,Pink,V2,ea736d7ca3d4de797697abbe98d26239,3.0,Flash,wall-boulders,581.0,
2019-10-27,Black,V3,e137d99bc38560c750e5f67a56dbd0bf,5.0,Flash,wall-boulders,667.3,
