date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-30,Purple,5.10b,e602c79a29e7e41b0e6dbbbdf84e80b3,4.0,Top Rope,wall-red,230.0,"chunky bottom with some balance moves, then a grippy slab up top."
2018-10-27,Yellow,5.10b,2540fc03ff9c844ed187988efa0b9bfe,4.0,Top Rope,wall-back-wall,1019.6,
2018-10-27,Blue,5.10b,f5ceae6221a5aa2c7285d358c09b6f7d,5.0,Top Rope,wall-back-wall,1067.3,"beast of a start but rocking after that. kind of tight, but big dynamic moves"
2018-10-24,Black,5.10a,977255cd7329a0e0a26bdaf059f8f155,4.0,Top Rope,wall-red,173.9,
2018-10-24,Green,5.10a,c8ab594c611fbbf6082b49aeae66c22d,3.0,Top Rope,wall-fox,49.2,"not fun, not interesting. not worth repeating."
2018-10-24,Lime Green,5.10a,5b48a91d46dc941f93ce7c6dfc362113,5.0,Top Rope,wall-back-wall,1409.3,
2018-10-24,Purple,5.10a,eb5b01ae3e859057434a81e627be6523,4.0,Top Rope,wall-back-wall,1097.8,could be a 5.9 except for one tricky volume
2018-10-10,Tan,5.10b,a76546f20781855e6da200b8037993b6,4.0,Top Rope,wall-red,52.9,solid hands the whole route
2018-10-08,Blue,5.10c,e356899a542f044f5c99413f88206fb0,5.0,Top Rope,wall-island,141.6,balancy start but solid holds the whole way up
2018-10-08,Pink,5.11a,d64a38d2314a5074d1f8354643cf5b77,4.0,Top Rope,wall-back-wall,1167.3,sketchy feet
2018-10-08,Red,5.11b,328c2c0ae6d634b85402125dc27d7658,5.0,Top Rope,wall-back-wall,1018.7,
2018-10-08,Tan,5.9,012c31701a6a1d67ebc155106d5e69df,3.0,Top Rope,wall-back-wall,1019.6,very juggy
2018-10-08,Black,5.11b,2f0303b6fda1c3577a35649c1013d8b6,2.0,Top Rope,wall-red,261.8,
2018-10-08,Yellow,5.10b,7abb6f3cf8e1533c5e1470943bbd14f6,3.0,Top Rope,wall-fox,156.6,
2018-10-08,Purple,5.10a,43190de90584cd0fe565b0c10f9e45da,3.0,Top Rope,wall-fox,49.2,
2018-10-08,White,5.10b,63b63e46b81ba37f62859ffe8044f7f9,4.0,Top Rope,wall-island,394.7,
2018-10-08,Yellow,5.10c,d970b3daf838724c68acb159069cf94f,5.0,Top Rope,wall-red,198.3,
2018-10-08,Blue,5.11a,d593167c1e39fa8789fd25fcde39e013,3.0,Top Rope,wall-island,211.7,
