date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-03-12,Red,5.11b,257fb4905bb6513986df16888c6dc9c7,,Attempt,wall-island,444.9,
2020-03-12,Blue,5.10c,1f28af14dc81f93083720236797340dd,,Red Point,wall-back-wall,588.1,
2020-03-12,Red,5.11b,25aa279574a3982e9b18c847290844ea,,Top Rope,wall-back-wall,741.6,
2020-03-12,Yellow,5.10d,b2274ab026d3a4c6000173fc6af35354,,Onsight,wall-back-wall,872.9,
2020-03-12,White,5.10a,00327bfe261f835f23930ab7b482f28c,,Onsight,wall-back-wall,896.6,
2020-03-12,Blue,5.10b,f7548636652d93efbf4657686dc7dfc8,,Onsight,wall-back-wall,791.7,
2020-03-12,White,5.10b,4219eddf4be44b4812986a9ab710b8ec,,Red Point,wall-back-wall,222.7,
2020-03-12,Yellow,5.8,d15738920cab1d3734559dbcc5d2b5a3,,Red Point,wall-back-wall,243.4,
2020-03-12,Tan,5.9,b9cb1cf9ec9f75709e1890d93aafbd6b,,Red Point,wall-back-wall,190.5,
2020-03-11,Pink,V3,80cddf93f90cd364c057590dd7fb7ea4,,Flash,wall-boulders,667.3,
2020-03-11,Yellow,V4,5292cff6e8ba2ec9e6ab22a12037a49e,,Red Point,wall-boulders,793.8,
2020-03-11,Pink,V3,5c96390726dd7695c4257bd16f184591,,Red Point,wall-boulders,87.1,
2020-03-11,Blue,V3,b99ce7245c886aeba1e11302348837a0,,Red Point,wall-slab,192.9,
2020-03-11,Pink,V4,018e24449d90d45363a0f5c0c10d952c,,Flash,wall-slab,48.7,
2020-03-11,Yellow,V4,67b8a959e83191c8f04b2bb8bfd7fa13,,Red Point,wall-boulders,505.7,
2020-03-11,Lime Green,V3,8244ca179abaf72aeccfd6a70820a693,,Flash,wall-boulders,793.8,
2020-03-11,Black,V2,5af24fee1e9fa8d40391d7afb8cc0bf2,,Flash,wall-slab,118.8,
2020-03-11,Purple,V3,0703ceed94217615839eb5ec976f1643,,Flash,wall-boulders,423.0,
2020-03-11,White,V2,ba60033c32d66c09445a41f3da726385,,Flash,wall-boulders,581.0,
2020-03-11,Black,V0,8da26145647c2f1b1245ccf1393dbe3d,,Red Point,wall-boulders,793.8,
2020-03-11,Black,V0,8da26145647c2f1b1245ccf1393dbe3d,,Flash,wall-boulders,793.8,
2020-03-11,Lime Green,V0,4cd7cb085c90b037ae290cedf5d4ced7,,Red Point,wall-slab,118.8,
2020-03-11,Lime Green,V0,4cd7cb085c90b037ae290cedf5d4ced7,,Flash,wall-slab,118.8,
2020-03-11,Black,V2,56a5cd7a8a5217bf028f720dd9e78c99,,Flash,wall-boulders,288.8,
2020-03-11,Blue,V2,926f37127d4b3cde2ec765052f6e60d9,,Flash,wall-boulders,161.2,
2020-03-11,Lime Green,V2,7ce1205ac4c620a612295cd383e92eb3,,Flash,wall-boulders,87.1,
2020-03-11,Lime Green,V1,cc169b12d0a723910aa3f8bf678abe42,,Flash,wall-boulders,288.8,
2020-03-11,Yellow,V1,4ffb93c44a7954338fffd567ea72392f,,Flash,wall-slab,192.9,
2020-03-11,Black,V0,62fc0c73c64e405b472b499578205cb0,,Red Point,wall-boulders,359.0,
2020-03-11,Black,V0,62fc0c73c64e405b472b499578205cb0,,Flash,wall-boulders,359.0,
2020-03-11,Yellow,V1,9e95f0c19bd9553f10cd1fd955491857,,Flash,wall-boulders,87.1,
2020-03-11,Blue,V0,8f2da238b66204d6a3c1725a66c69bdc,,Red Point,wall-boulders,87.1,
2020-03-11,Blue,V0,8f2da238b66204d6a3c1725a66c69bdc,,Flash,wall-boulders,87.1,
2020-03-04,Red,5.10d,af5b68c1c9b71e1216f055d774b97555,,Red Point,wall-back-wall,534.8,
2020-03-04,Blue,5.10c,1f28af14dc81f93083720236797340dd,,Red Point,wall-back-wall,588.1,
2020-03-04,Lime Green,5.11a,cef386d0204fe866526125ee670ab7c9,,Red Point,wall-back-wall,488.9,
2020-03-04,Red,5.11a,3e4a5964bf8701e189e2ed365b5943f7,,Onsight,wall-back-wall,1292.9,
2020-03-04,Purple,5.10d,8f4283e1e07bd9e600998014212bf639,,Red Point,wall-back-wall,124.1,
2020-03-04,Pink,5.9,17a1e26ab29b0bdd0bdac8b3ad7e4564,,Red Point,wall-back-wall,70.9,
2020-03-04,Tan,5.9,b9cb1cf9ec9f75709e1890d93aafbd6b,,Red Point,wall-back-wall,190.5,
2020-03-04,Yellow,5.8,d15738920cab1d3734559dbcc5d2b5a3,,Red Point,wall-back-wall,243.4,
