date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-01-19,Tan,5.10b,b889e573fdd03975288cf5953e91c427,,Attempt,wall-back-wall,1329.5,
2020-01-19,Yellow,5.8,185c9bc7ac481c3846a9be74c393aea9,,Red Point,wall-back-wall,1200.6,
2020-01-19,Lime Green,5.8,2f2e4224dfd0c1c3a389b0a5caaa7e82,,Red Point,wall-back-wall,1376.9,
2020-01-19,Blue,5.10a,ea8d63742931011672892927d3f449ae,,Red Point,wall-back-wall,1310.0,
2020-01-19,Tan,5.10b,b889e573fdd03975288cf5953e91c427,,Top Rope,wall-back-wall,1329.5,
2020-01-10,Lime Green,5.8,10594556371853f56dc06019bd232dea,,Red Point,wall-back-wall,870.9,
2020-01-10,Yellow,5.10a,530c23c47e18adaa0367e99939f78310,,Top Rope,wall-back-wall,894.6,
2020-01-10,Tan,5.9,33d82a40a523fa360c5acb8d846a2140,,Red Point,wall-back-wall,921.4,
2020-01-10,Purple,5.9,b78eed444ec9192dd2f96b804492abed,,Red Point,wall-back-wall,946.9,
2020-01-10,Black,5.10b,e3bb65d47c22cddc19048ed526c5d751,,Top Rope,wall-back-wall,1099.6,try to lead next time
2020-01-10,White,5.10a,ba03617a77e032e454377c3d58838db1,,Attempt,wall-back-wall,1069.1,
2020-01-10,Yellow,5.10a,a8168a0133f81754eab9895da2b1cae1,,Red Point,wall-red,109.7,
2020-01-10,Black,5.10a,b1ba2d4b313e01b10363cb543d2e8ac0,,Attempt,wall-red,155.6,
2020-01-10,Blue,5.10a,ea8d63742931011672892927d3f449ae,,Red Point,wall-back-wall,1310.0,
2020-01-03,Lime Green,5.8,10594556371853f56dc06019bd232dea,,Red Point,wall-back-wall,870.9,
2020-01-03,Black,5.8,2b526bae2172aa8cb06872c69ef840e4,,Red Point,wall-back-wall,994.6,
2020-01-03,Purple,5.9,b474a833dd5f9db46898ddcc1107db00,,Red Point,wall-back-wall,1251.0,
2020-01-03,Tan,5.10a,5a55c7baf808c358161efcea6269a18f,,Red Point,wall-back-wall,1228.7,
2020-01-03,Blue,5.10a,ea8d63742931011672892927d3f449ae,,Red Point,wall-back-wall,1310.0,
2020-01-03,Tan,5.10b,b889e573fdd03975288cf5953e91c427,,Top Rope,wall-back-wall,1329.5,"try one more time on top, then lead. you are really close to leading this. you may fall but would be a safe fall"
2020-01-03,Yellow,5.10a,c5b5d8e3f08d93cef18184d436a4334f,,Top Rope,wall-back-wall,243.4,"try to lead this one next time. do it early on the session before you get tired bc it's pumpy
"
2020-01-03,Blue,5.10b,4a8bb2e984e82fd6186479a8afd248c3,,Top Rope,wall-back-wall,141.7,still trying to figure this out
