date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2020-10-28,Yellow,V5,809653e92039564e6c899a6f13f3d8fd,,Flash,wall-boulders,288.8,
2020-10-28,Black,V5,4244391623e5c9221a26ddb3aae63b74,,Red Point,wall-boulders,161.2,
2020-10-28,Blue,V3,95778a3b09e56dc33b5adb3e8d97ea42,,Flash,wall-boulders,87.1,
2020-10-28,Lime Green,V0,48865bfac77a9d40b06a320c28deec62,,Flash,wall-boulders,87.1,
2020-10-28,Yellow,V1,9ee9f63a82057842befb11a2e9a6a117,,Flash,wall-boulders,87.1,
2020-10-28,Lime Green,V4,a73c3ed2208b2b2942738e3e79b5a6f9,,Flash,wall-boulders,161.2,
2020-10-28,Red,V8,8be774afddcfc19701e5c64b356bb72b,,Red Point,wall-boulders,581.0,
2020-10-17,White,V1,3f6a2325a0d2123f8aab1b8b5853976d,,Flash,wall-boulders,87.1,
2020-10-17,Red,V3,76e340da76fc9018cbb450d324d321fd,,Flash,wall-boulders,87.1,
2020-10-17,Pink,V0,d11410968f505b70a5af30b1ffabeeac,,Flash,wall-boulders,87.1,
2020-10-17,Yellow,V2,8d54bd55aedf0340b3de04f6814ae18c,,Flash,wall-boulders,87.1,
2020-10-17,Black,V4,2f63de778903c5770791c871d2f22ab4,,Flash,wall-boulders,161.2,
2020-10-17,Yellow,V4,5927410985663ed6d27238118bde71f1,,Flash,wall-boulders,581.0,
2020-10-17,Lime Green,V4,53b051eb5c92f4056114f268d1f0cd52,,Flash,wall-slab,48.7,
2020-10-17,White,V4,29e7fa3ad97aab88871403fcaace014f,,Flash,wall-boulders,793.8,
2020-10-17,Lime Green,V5,4b507132a13d8c38dfd16991fbfb5a73,,Red Point,wall-boulders,793.8,
2020-10-17,Red,V3,b290c73041f809cec8a1ad5619f899d5,,Flash,wall-boulders,793.8,
2020-10-17,Pink,V8,a399ec9ec51d3de2f8915ec881704bab,,Red Point,wall-boulders,423.0,
2020-10-14,Blue,V3,d73717caec5a2bcb73b7d5da38aa3933,,Flash,wall-mezzanine,39.7,
2020-10-14,Lime Green,V0,8d06857218d9570326674af1ec9e6880,,Red Point,wall-mezzanine,114.6,
2020-10-14,Lime Green,V0,8d06857218d9570326674af1ec9e6880,,Red Point,wall-mezzanine,114.6,
