date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-12-29,White,V3,d51b298911e6b78f0ec5883108d5f48a,5.0,Red Point,wall-slab,48.7,
2018-12-29,Lime Green,V4,3fa5897417c61e93642fdc0a585bdfac,5.0,Flash,wall-slab,48.7,
2018-12-29,Red,V1,9dcc0537dda258efd469981adb6b4e34,5.0,Flash,wall-slab,48.7,
2018-12-29,Tan,V4,1a38023822ee72d7452dec7e8c61007c,5.0,Flash,wall-slab,118.8,
2018-12-29,White,V0,ed608d9a90465c23c4fbbc487df63690,5.0,Flash,wall-slab,118.8,
2018-12-29,Black,V3,82c709dcc2a7d90fdb7fa51200be5274,5.0,Flash,wall-slab,118.8,
2018-12-29,Lime Green,V4,36565538f370cbe2c2fc0f5ef9f07597,4.0,Red Point,wall-slab,118.8,
2018-12-29,Yellow,V2,654b34556c11f875d455d2940dd10c7a,4.0,Flash,wall-slab,118.8,
2018-12-29,Tan,V6,3b0fa9ee6fee24028834849411c4f569,5.0,Red Point,wall-slab,192.9,
2018-12-29,Blue,V3,6a2f08d3f5bc19acf65fd0456eeefe75,5.0,Flash,wall-slab,192.9,
2018-12-29,Purple,V0,d7ac75b8b641f762e49162f6477f0b1b,5.0,Flash,wall-slab,192.9,
2018-12-29,Red,V2,2cd37c1240eeb2474ff10d8026a0a9a8,5.0,Flash,wall-slab,192.9,
2018-12-29,White,V3,4adeb546e2f9be85ac91e5d3d58a52c0,5.0,Flash,wall-slab,192.9,
2018-12-29,Blue,V4,3e3c763c392a94dd257e9758710681f0,4.0,Flash,wall-mezzanine,114.6,
2018-12-29,Lime Green Right,V1,a866aaf9aa0b72c8abb00b7f280a7c8c,3.0,Flash,wall-mezzanine,114.6,
2018-12-29,White,V5,65379c419e9bbde2b4c4fb2cdfcda7ef,5.0,Flash,wall-mezzanine,114.6,
2018-12-29,Yellow,V8,6bef7aa206c1397c69ea77d2ec75a811,5.0,Red Point,wall-slab,118.8,feels a lot easier than V8﹐ maybe because I'm tall and I can reach the last crimpy side pull from lower down. But extremely fun regardless of.the grade!!
2018-12-29,Yellow,V2,654b34556c11f875d455d2940dd10c7a,5.0,Flash,wall-slab,118.8,
